Pos   	     A	     C	     G	     T     N	Clean A	Clean C	Clean G	Clean T	Clean N
1    	13.75%	35.11%	39.91%	11.22%	 0.01%	13.69%	35.13%	39.94%	11.23%	 0.01%
2    	19.25%	19.75%	26.59%	34.41%	 0.00%	19.26%	19.76%	26.54%	34.43%	 0.00%
3    	22.35%	28.12%	26.53%	22.84%	 0.16%	22.37%	28.13%	26.55%	22.79%	 0.16%
4    	31.83%	20.06%	27.01%	21.10%	 0.00%	31.85%	20.00%	27.03%	21.12%	 0.00%
5    	31.99%	17.67%	26.88%	23.45%	 0.00%	32.02%	17.69%	26.83%	23.47%	 0.00%
6    	34.49%	18.14%	23.11%	24.26%	 0.00%	34.52%	18.15%	23.05%	24.28%	 0.00%
7    	19.32%	21.25%	19.95%	39.47%	 0.02%	19.26%	21.27%	19.96%	39.49%	 0.02%
8    	24.46%	24.78%	21.97%	28.79%	 0.00%	24.47%	24.80%	21.91%	28.81%	 0.00%
9    	24.40%	23.83%	22.51%	29.20%	 0.06%	24.42%	23.84%	22.46%	29.22%	 0.06%
10   	38.43%	17.04%	22.24%	22.27%	 0.01%	38.45%	16.98%	22.26%	22.29%	 0.01%
11   	29.51%	23.63%	27.52%	19.33%	 0.01%	29.53%	23.58%	27.54%	19.35%	 0.01%
12   	25.95%	23.42%	24.15%	26.49%	 0.00%	25.90%	23.43%	24.16%	26.51%	 0.00%
13   	28.41%	20.61%	22.25%	28.01%	 0.72%	28.36%	20.62%	22.26%	28.03%	 0.72%
14   	29.07%	20.92%	22.73%	27.27%	 0.00%	29.09%	20.93%	22.68%	27.29%	 0.00%
15   	28.73%	21.64%	23.20%	26.44%	 0.00%	28.75%	21.59%	23.21%	26.46%	 0.00%
16   	28.83%	21.49%	23.57%	26.11%	 0.00%	28.86%	21.50%	23.51%	26.13%	 0.00%
17   	29.14%	21.71%	23.62%	25.53%	 0.00%	29.16%	21.73%	23.57%	25.54%	 0.00%
18   	29.26%	21.64%	23.57%	25.52%	 0.00%	29.29%	21.65%	23.59%	25.47%	 0.00%
19   	29.16%	21.71%	23.81%	25.32%	 0.00%	29.18%	21.66%	23.83%	25.34%	 0.00%
20   	28.94%	21.48%	23.58%	25.35%	 0.64%	28.96%	21.50%	23.60%	25.30%	 0.64%
21   	29.06%	21.83%	23.40%	25.71%	 0.00%	29.08%	21.84%	23.42%	25.66%	 0.00%
22   	29.26%	21.67%	23.61%	25.41%	 0.06%	29.21%	21.68%	23.62%	25.43%	 0.06%
23   	29.35%	21.52%	23.80%	25.32%	 0.01%	29.37%	21.54%	23.75%	25.34%	 0.01%
24   	29.45%	21.52%	23.63%	25.40%	 0.00%	29.47%	21.53%	23.58%	25.42%	 0.00%
25   	29.29%	21.73%	23.67%	25.32%	 0.00%	29.24%	21.74%	23.68%	25.34%	 0.00%
26   	29.35%	21.63%	23.59%	25.43%	 0.00%	29.31%	21.65%	23.60%	25.45%	 0.00%
27   	29.23%	21.82%	23.62%	25.33%	 0.00%	29.25%	21.83%	23.57%	25.35%	 0.00%
28   	29.30%	21.69%	23.80%	25.21%	 0.00%	29.26%	21.70%	23.82%	25.22%	 0.00%
29   	29.06%	21.74%	24.06%	25.14%	 0.00%	29.07%	21.69%	24.08%	25.16%	 0.00%
30   	29.18%	21.96%	23.80%	24.90%	 0.16%	29.13%	21.97%	23.82%	24.92%	 0.16%
31   	29.02%	21.97%	23.85%	25.15%	 0.00%	28.97%	21.98%	23.87%	25.17%	 0.00%
32   	29.11%	22.10%	23.69%	25.06%	 0.03%	29.12%	22.05%	23.71%	25.08%	 0.03%
33   	29.23%	21.92%	23.72%	25.13%	 0.00%	29.19%	21.93%	23.74%	25.15%	 0.00%
34   	29.11%	21.95%	23.94%	25.00%	 0.00%	29.13%	21.90%	23.96%	25.01%	 0.00%
35   	29.27%	21.78%	23.85%	25.10%	 0.00%	29.29%	21.80%	23.87%	25.04%	 0.00%
36   	29.26%	21.78%	23.90%	25.06%	 0.00%	29.27%	21.79%	23.92%	25.01%	 0.00%
37   	28.96%	21.85%	23.85%	25.16%	 0.18%	28.92%	21.87%	23.86%	25.17%	 0.18%
38   	28.95%	21.76%	24.01%	25.29%	 0.00%	28.96%	21.77%	23.96%	25.30%	 0.00%
39   	29.06%	21.84%	23.76%	25.34%	 0.00%	29.08%	21.79%	23.78%	25.35%	 0.00%
40   	28.81%	21.96%	24.05%	25.17%	 0.00%	28.82%	21.98%	24.07%	25.13%	 0.00%
41   	29.07%	21.82%	24.08%	25.03%	 0.00%	29.03%	21.82%	24.10%	25.04%	 0.00%
42   	28.93%	22.00%	23.84%	25.01%	 0.21%	28.95%	21.95%	23.86%	25.03%	 0.21%
43   	29.01%	21.89%	23.83%	24.80%	 0.46%	28.96%	21.91%	23.85%	24.82%	 0.46%
44   	29.02%	21.91%	23.95%	25.12%	 0.00%	28.98%	21.92%	23.97%	25.13%	 0.00%
45   	28.97%	21.92%	23.87%	25.23%	 0.00%	28.99%	21.87%	23.89%	25.24%	 0.00%
46   	29.01%	21.85%	23.88%	25.26%	 0.00%	29.03%	21.86%	23.89%	25.21%	 0.00%
47   	28.97%	21.89%	23.76%	25.36%	 0.02%	28.99%	21.84%	23.78%	25.37%	 0.02%
48   	28.82%	21.92%	23.76%	25.34%	 0.16%	28.84%	21.87%	23.78%	25.35%	 0.16%
49   	28.96%	21.88%	23.92%	25.23%	 0.01%	28.98%	21.90%	23.94%	25.18%	 0.01%
50   	28.83%	22.01%	23.86%	25.31%	 0.00%	28.85%	22.02%	23.87%	25.26%	 0.00%
