Position in reads	Percentage of Q20+ bases	Percentage of Q30+ bases	Percentage of Clean Q20+	Percentage of Clean Q30+
1    	96.88%	82.90%	96.88%	82.89%
2    	97.15%	81.96%	97.15%	81.95%
3    	97.19%	81.94%	97.19%	81.93%
4    	97.48%	81.92%	97.48%	81.91%
5    	97.62%	81.90%	97.62%	81.89%
6    	97.68%	81.82%	97.68%	81.81%
7    	97.67%	81.90%	97.68%	81.90%
8    	97.71%	81.50%	97.71%	81.49%
9    	97.36%	80.70%	97.36%	80.69%
10   	97.43%	80.48%	97.43%	80.47%
11   	97.37%	79.92%	97.37%	79.91%
12   	97.53%	80.25%	97.53%	80.24%
13   	96.48%	78.91%	96.47%	78.90%
14   	97.34%	79.58%	97.34%	79.57%
15   	97.43%	79.67%	97.43%	79.66%
16   	97.37%	79.49%	97.37%	79.48%
17   	97.24%	79.10%	97.24%	79.09%
18   	97.11%	78.71%	97.11%	78.70%
19   	97.16%	78.72%	97.16%	78.72%
20   	96.25%	77.61%	96.25%	77.61%
21   	96.94%	77.99%	96.94%	77.98%
22   	96.58%	77.23%	96.58%	77.23%
23   	96.53%	77.02%	96.53%	77.02%
24   	96.48%	76.83%	96.48%	76.82%
25   	96.28%	76.27%	96.28%	76.27%
26   	95.89%	76.03%	95.89%	76.02%
27   	95.62%	75.40%	95.62%	75.39%
28   	95.51%	75.22%	95.51%	75.22%
29   	95.26%	74.55%	95.26%	74.55%
30   	94.91%	74.06%	94.90%	74.05%
31   	94.99%	73.92%	94.99%	73.92%
32   	94.66%	73.43%	94.66%	73.42%
33   	94.49%	72.87%	94.49%	72.86%
34   	94.28%	72.45%	94.28%	72.44%
35   	94.25%	72.32%	94.25%	72.31%
36   	93.92%	71.69%	93.92%	71.68%
37   	93.59%	71.25%	93.60%	71.26%
38   	93.37%	70.47%	93.37%	70.47%
39   	93.13%	69.96%	93.13%	69.95%
40   	92.93%	69.54%	92.93%	69.53%
41   	92.75%	69.09%	92.75%	69.11%
42   	92.08%	68.25%	92.08%	68.25%
43   	91.67%	67.70%	91.67%	67.70%
44   	91.81%	67.22%	91.81%	67.21%
45   	91.52%	66.73%	91.51%	66.73%
46   	91.35%	66.43%	91.35%	66.42%
47   	91.01%	65.84%	91.00%	65.83%
48   	90.59%	65.20%	90.58%	65.18%
49   	90.62%	64.94%	90.62%	64.93%
50   	90.13%	63.76%	90.13%	63.75%
