Pos   	     A	     C	     G	     T     N	Clean A	Clean C	Clean G	Clean T	Clean N
1    	13.58%	36.17%	39.00%	11.24%	 0.01%	13.52%	36.20%	39.03%	11.25%	 0.01%
2    	19.73%	19.81%	26.16%	34.31%	 0.00%	19.74%	19.82%	26.10%	34.33%	 0.00%
3    	22.51%	28.64%	26.07%	22.56%	 0.21%	22.53%	28.66%	26.09%	22.51%	 0.21%
4    	31.59%	20.75%	26.96%	20.70%	 0.00%	31.61%	20.69%	26.98%	20.72%	 0.00%
5    	31.29%	18.72%	26.61%	23.38%	 0.00%	31.31%	18.73%	26.56%	23.40%	 0.00%
6    	33.14%	19.48%	23.03%	24.35%	 0.00%	33.16%	19.50%	22.97%	24.37%	 0.00%
7    	18.00%	22.72%	20.03%	39.22%	 0.03%	17.95%	22.74%	20.04%	39.25%	 0.03%
8    	23.18%	26.45%	22.26%	28.11%	 0.00%	23.19%	26.46%	22.21%	28.13%	 0.00%
9    	23.27%	25.28%	22.80%	28.57%	 0.07%	23.28%	25.30%	22.75%	28.60%	 0.07%
10   	36.83%	18.39%	23.06%	21.70%	 0.02%	36.86%	18.34%	23.07%	21.72%	 0.02%
11   	27.44%	25.49%	28.12%	18.95%	 0.01%	27.46%	25.44%	28.14%	18.96%	 0.01%
12   	24.30%	25.01%	24.50%	26.18%	 0.00%	24.25%	25.03%	24.52%	26.20%	 0.00%
13   	26.79%	21.95%	22.64%	27.70%	 0.92%	26.74%	21.97%	22.65%	27.72%	 0.92%
14   	27.51%	22.36%	23.26%	26.87%	 0.00%	27.53%	22.37%	23.21%	26.89%	 0.00%
15   	27.12%	23.00%	23.74%	26.15%	 0.00%	27.13%	22.95%	23.75%	26.17%	 0.00%
16   	27.25%	22.84%	24.14%	25.77%	 0.00%	27.27%	22.85%	24.08%	25.79%	 0.00%
17   	27.58%	23.02%	24.28%	25.12%	 0.00%	27.60%	23.03%	24.23%	25.14%	 0.00%
18   	27.68%	22.93%	24.13%	25.25%	 0.00%	27.70%	22.95%	24.15%	25.20%	 0.00%
19   	27.52%	23.04%	24.47%	24.98%	 0.00%	27.54%	22.98%	24.48%	24.99%	 0.00%
20   	27.34%	22.65%	24.07%	25.09%	 0.85%	27.36%	22.66%	24.08%	25.04%	 0.85%
21   	27.42%	23.08%	24.05%	25.45%	 0.00%	27.44%	23.09%	24.07%	25.40%	 0.00%
22   	27.63%	23.03%	24.28%	24.99%	 0.07%	27.58%	23.05%	24.29%	25.01%	 0.07%
23   	27.75%	22.82%	24.35%	25.07%	 0.01%	27.77%	22.83%	24.30%	25.09%	 0.01%
24   	27.88%	22.95%	24.14%	25.03%	 0.00%	27.89%	22.97%	24.09%	25.05%	 0.00%
25   	27.61%	23.18%	24.30%	24.91%	 0.00%	27.56%	23.20%	24.31%	24.93%	 0.00%
26   	27.83%	23.02%	24.13%	25.02%	 0.00%	27.78%	23.04%	24.15%	25.03%	 0.00%
27   	27.59%	23.25%	24.18%	24.97%	 0.00%	27.61%	23.27%	24.13%	24.99%	 0.00%
28   	27.66%	23.07%	24.53%	24.74%	 0.00%	27.61%	23.09%	24.54%	24.76%	 0.00%
29   	27.52%	23.01%	24.71%	24.77%	 0.00%	27.53%	22.96%	24.72%	24.78%	 0.00%
30   	27.60%	23.23%	24.45%	24.53%	 0.19%	27.54%	23.25%	24.47%	24.55%	 0.19%
31   	27.50%	23.24%	24.50%	24.76%	 0.00%	27.45%	23.25%	24.52%	24.78%	 0.00%
32   	27.47%	23.36%	24.44%	24.68%	 0.04%	27.49%	23.38%	24.39%	24.70%	 0.04%
33   	27.60%	23.30%	24.31%	24.79%	 0.00%	27.62%	23.31%	24.26%	24.81%	 0.00%
34   	27.57%	23.17%	24.60%	24.66%	 0.00%	27.58%	23.19%	24.62%	24.61%	 0.00%
35   	27.78%	22.97%	24.56%	24.68%	 0.00%	27.74%	22.99%	24.58%	24.69%	 0.00%
36   	27.69%	23.02%	24.64%	24.64%	 0.00%	27.70%	23.04%	24.60%	24.66%	 0.00%
37   	27.42%	23.09%	24.53%	24.73%	 0.24%	27.37%	23.11%	24.54%	24.74%	 0.24%
38   	27.47%	22.98%	24.72%	24.83%	 0.00%	27.49%	23.00%	24.67%	24.84%	 0.00%
39   	27.65%	23.05%	24.36%	24.94%	 0.00%	27.61%	23.06%	24.37%	24.96%	 0.00%
40   	27.24%	23.25%	24.77%	24.74%	 0.00%	27.26%	23.26%	24.72%	24.75%	 0.00%
41   	27.60%	23.03%	24.62%	24.74%	 0.00%	27.61%	23.05%	24.64%	24.70%	 0.00%
42   	27.39%	23.28%	24.41%	24.63%	 0.28%	27.40%	23.23%	24.43%	24.65%	 0.28%
43   	27.45%	23.14%	24.51%	24.32%	 0.59%	27.40%	23.15%	24.53%	24.33%	 0.59%
44   	27.61%	23.08%	24.55%	24.76%	 0.00%	27.57%	23.09%	24.57%	24.78%	 0.00%
45   	27.43%	23.11%	24.53%	24.93%	 0.00%	27.44%	23.07%	24.54%	24.94%	 0.00%
46   	27.47%	23.03%	24.58%	24.91%	 0.00%	27.49%	23.04%	24.60%	24.87%	 0.00%
47   	27.57%	22.99%	24.40%	25.01%	 0.02%	27.59%	22.94%	24.42%	25.03%	 0.02%
48   	27.24%	23.03%	24.43%	25.09%	 0.21%	27.26%	22.98%	24.44%	25.11%	 0.21%
49   	27.45%	23.09%	24.60%	24.85%	 0.01%	27.47%	23.10%	24.62%	24.80%	 0.01%
50   	27.34%	23.16%	24.50%	25.00%	 0.00%	27.36%	23.18%	24.51%	24.95%	 0.00%
