Position in reads	Percentage of Q20+ bases	Percentage of Q30+ bases	Percentage of Clean Q20+	Percentage of Clean Q30+
1    	96.92%	82.85%	96.92%	82.84%
2    	97.03%	81.14%	97.03%	81.13%
3    	96.95%	80.79%	96.95%	80.78%
4    	97.34%	80.82%	97.34%	80.81%
5    	97.48%	80.78%	97.47%	80.77%
6    	97.60%	81.01%	97.60%	81.01%
7    	97.45%	80.38%	97.45%	80.39%
8    	97.59%	80.41%	97.58%	80.40%
9    	97.07%	79.04%	97.06%	79.03%
10   	97.13%	78.56%	97.12%	78.55%
11   	97.14%	78.22%	97.14%	78.21%
12   	97.35%	78.58%	97.34%	78.57%
13   	96.11%	77.46%	96.11%	77.45%
14   	97.07%	77.68%	97.07%	77.67%
15   	97.20%	77.80%	97.20%	77.80%
16   	97.10%	77.51%	97.10%	77.50%
17   	97.00%	77.07%	96.99%	77.06%
18   	96.79%	76.49%	96.79%	76.49%
19   	96.86%	76.58%	96.86%	76.58%
20   	95.66%	75.13%	95.66%	75.12%
21   	96.67%	76.02%	96.67%	76.01%
22   	96.27%	75.21%	96.27%	75.21%
23   	96.17%	74.73%	96.17%	74.73%
24   	96.13%	74.51%	96.13%	74.51%
25   	95.98%	74.23%	95.98%	74.24%
26   	95.50%	73.71%	95.50%	73.70%
27   	95.28%	73.33%	95.28%	73.32%
28   	95.03%	72.69%	95.03%	72.71%
29   	94.85%	72.46%	94.85%	72.46%
30   	94.47%	71.90%	94.47%	71.89%
31   	94.45%	71.34%	94.44%	71.34%
32   	94.10%	70.82%	94.10%	70.82%
33   	94.05%	70.67%	94.05%	70.66%
34   	93.68%	69.71%	93.68%	69.71%
35   	93.66%	69.71%	93.66%	69.72%
36   	93.21%	68.73%	93.21%	68.73%
37   	92.75%	68.07%	92.76%	68.09%
38   	92.62%	67.55%	92.62%	67.55%
39   	92.32%	66.96%	92.32%	66.97%
40   	92.06%	66.41%	92.06%	66.41%
41   	91.92%	66.05%	91.92%	66.05%
42   	91.08%	65.01%	91.08%	65.01%
43   	90.59%	64.39%	90.59%	64.40%
44   	90.93%	64.30%	90.93%	64.30%
45   	90.42%	63.37%	90.42%	63.37%
46   	90.29%	63.02%	90.29%	63.02%
47   	89.84%	62.29%	89.84%	62.30%
48   	89.27%	61.52%	89.26%	61.51%
49   	89.61%	61.85%	89.61%	61.86%
50   	88.90%	60.32%	88.90%	60.31%
