Pos   	     A	     C	     G	     T     N	Clean A	Clean C	Clean G	Clean T	Clean N
1    	14.39%	34.33%	40.25%	11.02%	 0.01%	14.35%	34.35%	40.27%	11.03%	 0.01%
2    	20.67%	18.93%	26.75%	33.65%	 0.00%	20.68%	18.94%	26.71%	33.67%	 0.00%
3    	23.96%	27.33%	26.19%	22.37%	 0.15%	23.98%	27.34%	26.21%	22.33%	 0.15%
4    	33.04%	19.53%	26.93%	20.50%	 0.00%	33.06%	19.49%	26.94%	20.51%	 0.00%
5    	32.66%	17.72%	26.59%	23.02%	 0.00%	32.68%	17.73%	26.55%	23.04%	 0.00%
6    	34.53%	18.59%	22.88%	24.00%	 0.00%	34.55%	18.60%	22.84%	24.01%	 0.00%
7    	18.67%	22.01%	20.19%	39.11%	 0.02%	18.63%	22.03%	20.19%	39.13%	 0.02%
8    	24.03%	25.68%	22.48%	27.81%	 0.00%	24.05%	25.69%	22.44%	27.83%	 0.00%
9    	24.19%	24.44%	22.99%	28.32%	 0.05%	24.20%	24.46%	22.95%	28.33%	 0.05%
10   	38.31%	17.37%	22.92%	21.38%	 0.01%	38.34%	17.33%	22.93%	21.40%	 0.01%
11   	28.66%	24.39%	28.28%	18.66%	 0.01%	28.68%	24.36%	28.29%	18.67%	 0.01%
12   	25.20%	24.14%	24.60%	26.05%	 0.00%	25.17%	24.15%	24.62%	26.07%	 0.00%
13   	27.97%	21.13%	22.56%	27.66%	 0.68%	27.93%	21.14%	22.57%	27.67%	 0.68%
14   	28.70%	21.40%	23.13%	26.77%	 0.00%	28.72%	21.41%	23.09%	26.78%	 0.00%
15   	28.30%	22.07%	23.70%	25.93%	 0.00%	28.32%	22.03%	23.71%	25.94%	 0.00%
16   	28.43%	21.87%	24.12%	25.58%	 0.00%	28.45%	21.88%	24.08%	25.59%	 0.00%
17   	28.76%	22.17%	24.16%	24.91%	 0.00%	28.78%	22.18%	24.12%	24.92%	 0.00%
18   	28.88%	22.06%	24.07%	24.99%	 0.00%	28.90%	22.07%	24.08%	24.95%	 0.00%
19   	28.78%	22.07%	24.39%	24.76%	 0.00%	28.79%	22.04%	24.40%	24.77%	 0.00%
20   	28.57%	21.83%	24.17%	24.82%	 0.61%	28.59%	21.84%	24.18%	24.78%	 0.61%
21   	28.67%	22.12%	23.97%	25.24%	 0.00%	28.68%	22.13%	23.98%	25.21%	 0.00%
22   	28.82%	22.06%	24.21%	24.85%	 0.05%	28.79%	22.07%	24.22%	24.87%	 0.05%
23   	29.00%	21.88%	24.33%	24.78%	 0.01%	29.01%	21.89%	24.30%	24.80%	 0.01%
24   	29.09%	21.92%	24.12%	24.87%	 0.00%	29.10%	21.93%	24.08%	24.89%	 0.00%
25   	28.82%	22.13%	24.31%	24.74%	 0.00%	28.78%	22.14%	24.33%	24.75%	 0.00%
26   	28.99%	22.00%	24.14%	24.87%	 0.00%	28.96%	22.01%	24.15%	24.88%	 0.00%
27   	28.86%	22.22%	24.14%	24.77%	 0.00%	28.88%	22.23%	24.10%	24.79%	 0.00%
28   	28.88%	22.02%	24.48%	24.63%	 0.00%	28.85%	22.03%	24.49%	24.64%	 0.00%
29   	28.72%	21.97%	24.72%	24.58%	 0.00%	28.73%	21.94%	24.74%	24.59%	 0.00%
30   	28.76%	22.27%	24.44%	24.38%	 0.16%	28.72%	22.28%	24.45%	24.39%	 0.16%
31   	28.66%	22.26%	24.46%	24.61%	 0.00%	28.63%	22.28%	24.47%	24.62%	 0.00%
32   	28.72%	22.36%	24.32%	24.57%	 0.03%	28.74%	22.37%	24.33%	24.53%	 0.03%
33   	28.77%	22.29%	24.28%	24.65%	 0.00%	28.79%	22.26%	24.29%	24.66%	 0.00%
34   	28.70%	22.25%	24.62%	24.43%	 0.00%	28.71%	22.21%	24.63%	24.45%	 0.00%
35   	28.90%	22.02%	24.51%	24.56%	 0.00%	28.91%	22.03%	24.53%	24.53%	 0.00%
36   	28.87%	22.05%	24.58%	24.50%	 0.00%	28.89%	22.06%	24.59%	24.46%	 0.00%
37   	28.57%	22.14%	24.43%	24.69%	 0.17%	28.58%	22.15%	24.44%	24.66%	 0.17%
38   	28.60%	22.02%	24.63%	24.75%	 0.00%	28.62%	22.02%	24.64%	24.72%	 0.00%
39   	28.76%	22.05%	24.37%	24.81%	 0.00%	28.78%	22.07%	24.34%	24.81%	 0.00%
40   	28.39%	22.26%	24.69%	24.65%	 0.01%	28.40%	22.27%	24.70%	24.62%	 0.00%
41   	28.72%	22.07%	24.67%	24.53%	 0.00%	28.69%	22.07%	24.69%	24.55%	 0.00%
42   	28.56%	22.25%	24.42%	24.55%	 0.21%	28.57%	22.22%	24.44%	24.56%	 0.21%
43   	28.61%	22.15%	24.49%	24.30%	 0.45%	28.58%	22.17%	24.50%	24.31%	 0.45%
44   	28.67%	22.10%	24.57%	24.66%	 0.00%	28.64%	22.11%	24.58%	24.68%	 0.00%
45   	28.59%	22.14%	24.50%	24.76%	 0.01%	28.61%	22.11%	24.51%	24.77%	 0.00%
46   	28.60%	22.09%	24.52%	24.78%	 0.01%	28.62%	22.09%	24.54%	24.74%	 0.00%
47   	28.66%	22.05%	24.40%	24.87%	 0.02%	28.68%	22.01%	24.41%	24.88%	 0.02%
48   	28.41%	22.08%	24.37%	24.98%	 0.16%	28.42%	22.05%	24.39%	24.99%	 0.16%
49   	28.58%	22.17%	24.55%	24.69%	 0.01%	28.60%	22.18%	24.56%	24.65%	 0.01%
50   	28.48%	22.20%	24.46%	24.85%	 0.01%	28.50%	22.21%	24.47%	24.81%	 0.01%
