Position in reads	Percentage of Q20+ bases	Percentage of Q30+ bases	Percentage of Clean Q20+	Percentage of Clean Q30+
1    	96.64%	81.37%	96.64%	81.37%
2    	96.91%	80.47%	96.91%	80.46%
3    	97.00%	80.51%	97.00%	80.51%
4    	97.19%	80.17%	97.19%	80.17%
5    	97.30%	79.98%	97.30%	79.98%
6    	97.36%	79.74%	97.36%	79.74%
7    	97.45%	80.36%	97.45%	80.37%
8    	97.39%	79.46%	97.39%	79.46%
9    	97.01%	78.69%	97.01%	78.68%
10   	97.04%	78.24%	97.04%	78.24%
11   	96.92%	77.51%	96.92%	77.51%
12   	97.09%	77.84%	97.09%	77.84%
13   	96.03%	76.37%	96.03%	76.37%
14   	96.81%	76.86%	96.81%	76.86%
15   	96.88%	76.81%	96.88%	76.81%
16   	96.78%	76.51%	96.78%	76.51%
17   	96.61%	76.00%	96.61%	76.01%
18   	96.43%	75.47%	96.43%	75.48%
19   	96.46%	75.45%	96.46%	75.45%
20   	95.54%	74.32%	95.54%	74.32%
21   	96.19%	74.70%	96.19%	74.70%
22   	95.77%	73.82%	95.77%	73.84%
23   	95.63%	73.39%	95.63%	73.40%
24   	95.53%	73.12%	95.53%	73.13%
25   	95.29%	72.60%	95.29%	72.61%
26   	94.75%	72.16%	94.75%	72.17%
27   	94.43%	71.54%	94.43%	71.55%
28   	94.22%	71.17%	94.23%	71.19%
29   	93.94%	70.61%	93.94%	70.62%
30   	93.55%	70.05%	93.56%	70.06%
31   	93.54%	69.78%	93.55%	69.78%
32   	93.15%	69.16%	93.15%	69.18%
33   	92.95%	68.74%	92.96%	68.75%
34   	92.63%	68.08%	92.63%	68.08%
35   	92.60%	67.97%	92.61%	67.98%
36   	92.11%	67.12%	92.11%	67.13%
37   	91.78%	66.67%	91.78%	66.68%
38   	91.48%	65.95%	91.48%	65.95%
39   	91.15%	65.34%	91.15%	65.35%
40   	90.90%	64.89%	90.90%	64.90%
41   	90.71%	64.46%	90.72%	64.48%
42   	89.96%	63.56%	89.96%	63.57%
43   	89.51%	63.04%	89.52%	63.05%
44   	89.58%	62.57%	89.58%	62.58%
45   	89.15%	61.92%	89.16%	61.93%
46   	88.95%	61.59%	88.96%	61.60%
47   	88.56%	60.99%	88.57%	61.00%
48   	88.09%	60.35%	88.09%	60.35%
49   	88.12%	60.21%	88.12%	60.21%
50   	87.56%	58.98%	87.56%	58.99%
