Pos   	     A	     C	     G	     T     N	Clean A	Clean C	Clean G	Clean T	Clean N
1    	14.79%	34.87%	39.66%	10.67%	 0.01%	14.77%	34.88%	39.67%	10.67%	 0.01%
2    	20.92%	18.23%	25.10%	35.74%	 0.00%	20.93%	18.24%	25.09%	35.75%	 0.00%
3    	24.35%	26.84%	25.02%	23.65%	 0.14%	24.36%	26.84%	25.02%	23.63%	 0.14%
4    	33.96%	19.02%	25.48%	21.53%	 0.00%	33.97%	19.01%	25.48%	21.54%	 0.00%
5    	33.30%	17.30%	25.41%	23.98%	 0.00%	33.31%	17.31%	25.40%	23.99%	 0.00%
6    	35.01%	18.09%	21.64%	25.26%	 0.00%	35.02%	18.09%	21.62%	25.27%	 0.00%
7    	18.84%	21.49%	19.11%	40.53%	 0.02%	18.83%	21.50%	19.11%	40.54%	 0.02%
8    	24.41%	25.09%	21.48%	29.02%	 0.00%	24.41%	25.10%	21.46%	29.03%	 0.00%
9    	24.58%	23.98%	21.91%	29.48%	 0.06%	24.58%	23.98%	21.89%	29.48%	 0.06%
10   	39.06%	16.81%	21.97%	22.15%	 0.01%	39.07%	16.79%	21.97%	22.15%	 0.01%
11   	29.44%	23.75%	27.40%	19.40%	 0.01%	29.45%	23.73%	27.40%	19.41%	 0.01%
12   	25.87%	23.55%	23.55%	27.04%	 0.00%	25.85%	23.55%	23.55%	27.05%	 0.00%
13   	28.51%	20.54%	21.60%	28.69%	 0.65%	28.50%	20.55%	21.61%	28.70%	 0.65%
14   	29.25%	20.81%	22.13%	27.81%	 0.00%	29.26%	20.81%	22.12%	27.81%	 0.00%
15   	28.87%	21.49%	22.66%	26.98%	 0.00%	28.87%	21.48%	22.66%	26.98%	 0.00%
16   	29.05%	21.31%	23.05%	26.59%	 0.00%	29.06%	21.31%	23.03%	26.60%	 0.00%
17   	29.41%	21.50%	23.17%	25.92%	 0.00%	29.41%	21.50%	23.16%	25.93%	 0.00%
18   	29.54%	21.41%	23.12%	25.93%	 0.00%	29.54%	21.42%	23.12%	25.92%	 0.00%
19   	29.47%	21.41%	23.42%	25.70%	 0.00%	29.48%	21.40%	23.43%	25.70%	 0.00%
20   	29.27%	21.20%	23.24%	25.70%	 0.59%	29.28%	21.20%	23.25%	25.68%	 0.59%
21   	29.37%	21.53%	23.05%	26.06%	 0.00%	29.37%	21.53%	23.05%	26.04%	 0.00%
22   	29.53%	21.45%	23.21%	25.76%	 0.05%	29.52%	21.45%	23.21%	25.77%	 0.05%
23   	29.70%	21.27%	23.26%	25.76%	 0.01%	29.71%	21.27%	23.24%	25.77%	 0.01%
24   	29.79%	21.31%	23.08%	25.83%	 0.00%	29.79%	21.32%	23.06%	25.83%	 0.00%
25   	29.50%	21.50%	23.30%	25.70%	 0.00%	29.49%	21.51%	23.30%	25.70%	 0.00%
26   	29.68%	21.40%	23.13%	25.79%	 0.00%	29.67%	21.40%	23.13%	25.80%	 0.00%
27   	29.55%	21.55%	23.18%	25.72%	 0.00%	29.56%	21.56%	23.16%	25.73%	 0.00%
28   	29.53%	21.42%	23.51%	25.54%	 0.00%	29.51%	21.43%	23.52%	25.54%	 0.00%
29   	29.44%	21.36%	23.71%	25.49%	 0.00%	29.44%	21.34%	23.72%	25.50%	 0.00%
30   	29.47%	21.66%	23.44%	25.30%	 0.14%	29.46%	21.66%	23.45%	25.30%	 0.13%
31   	29.36%	21.68%	23.50%	25.46%	 0.00%	29.35%	21.69%	23.50%	25.47%	 0.00%
32   	29.38%	21.75%	23.44%	25.40%	 0.03%	29.39%	21.75%	23.42%	25.40%	 0.03%
33   	29.54%	21.60%	23.37%	25.49%	 0.00%	29.55%	21.60%	23.36%	25.50%	 0.00%
34   	29.43%	21.55%	23.70%	25.32%	 0.00%	29.43%	21.55%	23.69%	25.32%	 0.00%
35   	29.63%	21.37%	23.59%	25.41%	 0.00%	29.64%	21.37%	23.59%	25.39%	 0.00%
36   	29.58%	21.44%	23.62%	25.35%	 0.00%	29.59%	21.43%	23.63%	25.36%	 0.00%
37   	29.27%	21.49%	23.55%	25.52%	 0.17%	29.27%	21.50%	23.56%	25.51%	 0.17%
38   	29.35%	21.41%	23.66%	25.58%	 0.00%	29.35%	21.40%	23.66%	25.58%	 0.00%
39   	29.49%	21.43%	23.38%	25.69%	 0.00%	29.50%	21.44%	23.39%	25.68%	 0.00%
40   	29.16%	21.64%	23.72%	25.48%	 0.00%	29.16%	21.65%	23.72%	25.47%	 0.00%
41   	29.46%	21.41%	23.72%	25.41%	 0.00%	29.45%	21.41%	23.72%	25.41%	 0.00%
42   	29.34%	21.62%	23.48%	25.36%	 0.20%	29.35%	21.60%	23.48%	25.36%	 0.20%
43   	29.33%	21.54%	23.57%	25.15%	 0.40%	29.32%	21.54%	23.58%	25.15%	 0.40%
44   	29.41%	21.47%	23.59%	25.53%	 0.00%	29.40%	21.47%	23.60%	25.53%	 0.00%
45   	29.36%	21.50%	23.52%	25.62%	 0.00%	29.37%	21.49%	23.52%	25.62%	 0.00%
46   	29.42%	21.46%	23.54%	25.57%	 0.00%	29.42%	21.47%	23.55%	25.56%	 0.00%
47   	29.44%	21.45%	23.42%	25.67%	 0.01%	29.45%	21.44%	23.42%	25.67%	 0.01%
48   	29.23%	21.50%	23.39%	25.73%	 0.15%	29.23%	21.49%	23.40%	25.74%	 0.15%
49   	29.41%	21.51%	23.54%	25.52%	 0.01%	29.42%	21.52%	23.55%	25.51%	 0.01%
50   	29.25%	21.62%	23.47%	25.65%	 0.00%	29.26%	21.63%	23.47%	25.64%	 0.00%
