Position in reads	Percentage of Q20+ bases	Percentage of Q30+ bases	Percentage of Clean Q20+	Percentage of Clean Q30+
1    	96.33%	80.81%	96.33%	80.81%
2    	96.66%	79.76%	96.66%	79.76%
3    	96.84%	80.00%	96.84%	79.99%
4    	97.05%	79.65%	97.05%	79.64%
5    	97.17%	79.37%	97.17%	79.37%
6    	97.25%	79.29%	97.25%	79.29%
7    	97.30%	79.57%	97.30%	79.58%
8    	97.32%	79.18%	97.32%	79.17%
9    	96.97%	78.41%	96.97%	78.41%
10   	97.11%	78.48%	97.11%	78.48%
11   	96.97%	77.68%	96.97%	77.67%
12   	97.17%	78.09%	97.17%	78.09%
13   	96.22%	76.90%	96.22%	76.90%
14   	96.96%	77.36%	96.96%	77.36%
15   	97.02%	77.36%	97.02%	77.36%
16   	96.97%	77.16%	96.97%	77.15%
17   	96.83%	76.71%	96.83%	76.71%
18   	96.68%	76.29%	96.68%	76.29%
19   	96.72%	76.35%	96.72%	76.35%
20   	95.86%	75.28%	95.86%	75.28%
21   	96.54%	75.85%	96.54%	75.85%
22   	96.19%	75.12%	96.19%	75.13%
23   	96.07%	74.69%	96.08%	74.70%
24   	96.04%	74.57%	96.04%	74.57%
25   	95.89%	74.27%	95.89%	74.27%
26   	95.42%	73.81%	95.42%	73.81%
27   	95.19%	73.40%	95.19%	73.40%
28   	95.00%	72.95%	95.00%	72.96%
29   	94.81%	72.67%	94.81%	72.67%
30   	94.48%	72.12%	94.48%	72.12%
31   	94.48%	71.80%	94.49%	71.80%
32   	94.12%	71.24%	94.12%	71.25%
33   	94.03%	71.02%	94.03%	71.02%
34   	93.74%	70.30%	93.75%	70.30%
35   	93.77%	70.37%	93.77%	70.38%
36   	93.30%	69.46%	93.30%	69.46%
37   	93.01%	69.00%	93.01%	69.00%
38   	92.82%	68.46%	92.82%	68.47%
39   	92.55%	67.90%	92.55%	67.90%
40   	92.31%	67.43%	92.31%	67.43%
41   	92.19%	67.10%	92.19%	67.11%
42   	91.51%	66.25%	91.51%	66.25%
43   	91.13%	65.68%	91.13%	65.69%
44   	91.25%	65.42%	91.25%	65.42%
45   	90.85%	64.70%	90.85%	64.70%
46   	90.70%	64.37%	90.70%	64.37%
47   	90.36%	63.83%	90.36%	63.83%
48   	89.94%	63.21%	89.94%	63.21%
49   	90.02%	63.19%	90.02%	63.19%
50   	89.45%	61.79%	89.45%	61.79%
