Pos   	     A	     C	     G	     T     N	Clean A	Clean C	Clean G	Clean T	Clean N
1    	13.73%	36.33%	39.40%	10.54%	 0.01%	13.69%	36.34%	39.41%	10.54%	 0.01%
2    	19.41%	18.86%	26.90%	34.82%	 0.00%	19.42%	18.87%	26.87%	34.84%	 0.00%
3    	22.23%	29.14%	25.73%	22.77%	 0.14%	22.24%	29.15%	25.74%	22.74%	 0.14%
4    	31.62%	20.42%	27.18%	20.78%	 0.00%	31.63%	20.38%	27.19%	20.79%	 0.00%
5    	31.25%	18.42%	27.06%	23.27%	 0.00%	31.26%	18.42%	27.03%	23.28%	 0.00%
6    	33.28%	19.16%	23.19%	24.37%	 0.00%	33.30%	19.16%	23.16%	24.38%	 0.00%
7    	18.22%	22.27%	20.41%	39.09%	 0.02%	18.18%	22.28%	20.41%	39.10%	 0.02%
8    	23.36%	26.16%	22.45%	28.03%	 0.00%	23.37%	26.17%	22.42%	28.04%	 0.00%
9    	23.21%	24.87%	23.03%	28.83%	 0.05%	23.22%	24.88%	23.00%	28.85%	 0.05%
10   	36.98%	18.00%	23.19%	21.82%	 0.01%	37.00%	17.96%	23.20%	21.83%	 0.01%
11   	27.69%	25.00%	28.22%	19.09%	 0.01%	27.70%	24.97%	28.23%	19.10%	 0.01%
12   	24.40%	24.58%	24.72%	26.29%	 0.00%	24.37%	24.59%	24.73%	26.31%	 0.00%
13   	27.05%	21.65%	22.81%	27.87%	 0.62%	27.02%	21.66%	22.82%	27.88%	 0.62%
14   	27.64%	22.05%	23.34%	26.97%	 0.00%	27.65%	22.06%	23.31%	26.98%	 0.00%
15   	27.26%	22.79%	23.83%	26.12%	 0.00%	27.27%	22.76%	23.84%	26.13%	 0.00%
16   	27.43%	22.54%	24.33%	25.70%	 0.00%	27.44%	22.55%	24.30%	25.71%	 0.00%
17   	27.77%	22.72%	24.40%	25.10%	 0.00%	27.79%	22.73%	24.37%	25.11%	 0.00%
18   	27.83%	22.67%	24.35%	25.14%	 0.00%	27.85%	22.68%	24.36%	25.11%	 0.00%
19   	27.70%	22.70%	24.70%	24.90%	 0.00%	27.71%	22.67%	24.71%	24.91%	 0.00%
20   	27.65%	22.46%	24.43%	24.91%	 0.55%	27.66%	22.47%	24.44%	24.88%	 0.55%
21   	27.64%	22.80%	24.28%	25.29%	 0.00%	27.65%	22.81%	24.29%	25.25%	 0.00%
22   	27.82%	22.72%	24.51%	24.91%	 0.05%	27.79%	22.73%	24.52%	24.92%	 0.05%
23   	27.99%	22.50%	24.64%	24.87%	 0.01%	28.00%	22.51%	24.60%	24.88%	 0.01%
24   	28.08%	22.60%	24.36%	24.96%	 0.00%	28.09%	22.61%	24.33%	24.97%	 0.00%
25   	27.84%	22.80%	24.59%	24.76%	 0.00%	27.81%	22.81%	24.60%	24.77%	 0.00%
26   	28.04%	22.61%	24.42%	24.93%	 0.00%	28.01%	22.62%	24.43%	24.94%	 0.00%
27   	27.87%	22.86%	24.39%	24.87%	 0.00%	27.88%	22.87%	24.36%	24.88%	 0.00%
28   	27.86%	22.74%	24.72%	24.68%	 0.00%	27.83%	22.75%	24.73%	24.69%	 0.00%
29   	27.76%	22.64%	24.92%	24.68%	 0.00%	27.77%	22.61%	24.93%	24.69%	 0.00%
30   	27.78%	22.93%	24.68%	24.47%	 0.14%	27.75%	22.93%	24.69%	24.48%	 0.14%
31   	27.67%	22.92%	24.75%	24.66%	 0.00%	27.64%	22.93%	24.76%	24.67%	 0.00%
32   	27.79%	22.96%	24.57%	24.66%	 0.03%	27.80%	22.97%	24.58%	24.63%	 0.03%
33   	27.84%	22.95%	24.49%	24.72%	 0.00%	27.85%	22.96%	24.46%	24.73%	 0.00%
34   	27.84%	22.88%	24.83%	24.46%	 0.00%	27.81%	22.88%	24.84%	24.47%	 0.00%
35   	27.97%	22.73%	24.73%	24.56%	 0.00%	27.99%	22.70%	24.74%	24.57%	 0.00%
36   	27.95%	22.74%	24.78%	24.52%	 0.00%	27.96%	22.75%	24.79%	24.49%	 0.00%
37   	27.69%	22.81%	24.72%	24.62%	 0.16%	27.66%	22.82%	24.73%	24.63%	 0.16%
38   	27.74%	22.65%	24.89%	24.71%	 0.00%	27.75%	22.66%	24.87%	24.72%	 0.00%
39   	27.90%	22.76%	24.57%	24.77%	 0.00%	27.87%	22.77%	24.58%	24.78%	 0.00%
40   	27.51%	22.98%	24.94%	24.57%	 0.00%	27.52%	22.95%	24.95%	24.58%	 0.00%
41   	27.82%	22.76%	24.86%	24.56%	 0.00%	27.83%	22.73%	24.87%	24.57%	 0.00%
42   	27.66%	22.93%	24.63%	24.59%	 0.19%	27.67%	22.90%	24.64%	24.60%	 0.19%
43   	27.69%	22.85%	24.73%	24.32%	 0.40%	27.66%	22.86%	24.74%	24.33%	 0.40%
44   	27.77%	22.76%	24.78%	24.68%	 0.00%	27.75%	22.77%	24.79%	24.69%	 0.00%
45   	27.67%	22.79%	24.76%	24.77%	 0.00%	27.69%	22.76%	24.77%	24.78%	 0.00%
46   	27.72%	22.75%	24.78%	24.75%	 0.01%	27.73%	22.76%	24.79%	24.72%	 0.00%
47   	27.78%	22.68%	24.66%	24.87%	 0.02%	27.79%	22.65%	24.67%	24.88%	 0.01%
48   	27.54%	22.71%	24.62%	24.99%	 0.14%	27.55%	22.68%	24.63%	25.00%	 0.14%
49   	27.63%	22.84%	24.82%	24.69%	 0.01%	27.64%	22.85%	24.83%	24.66%	 0.01%
50   	27.56%	22.85%	24.76%	24.83%	 0.01%	27.57%	22.86%	24.77%	24.80%	 0.01%
