Position in reads	Percentage of Q20+ bases	Percentage of Q30+ bases	Percentage of Clean Q20+	Percentage of Clean Q30+
1    	96.65%	81.74%	96.65%	81.73%
2    	96.83%	80.33%	96.83%	80.32%
3    	96.87%	80.05%	96.86%	80.05%
4    	97.13%	79.83%	97.13%	79.83%
5    	97.26%	79.67%	97.26%	79.66%
6    	97.40%	79.94%	97.40%	79.94%
7    	97.46%	80.37%	97.46%	80.37%
8    	97.42%	79.62%	97.42%	79.61%
9    	97.07%	78.75%	97.07%	78.75%
10   	97.21%	78.97%	97.21%	78.97%
11   	97.07%	78.06%	97.07%	78.06%
12   	97.25%	78.40%	97.25%	78.39%
13   	96.25%	77.20%	96.25%	77.19%
14   	97.01%	77.58%	97.01%	77.57%
15   	97.09%	77.61%	97.09%	77.61%
16   	97.02%	77.38%	97.02%	77.37%
17   	96.88%	76.93%	96.88%	76.93%
18   	96.73%	76.50%	96.73%	76.50%
19   	96.78%	76.55%	96.78%	76.55%
20   	95.87%	75.41%	95.87%	75.41%
21   	96.56%	75.94%	96.56%	75.93%
22   	96.19%	75.13%	96.19%	75.13%
23   	96.07%	74.70%	96.07%	74.70%
24   	96.03%	74.53%	96.03%	74.53%
25   	95.86%	74.18%	95.86%	74.18%
26   	95.39%	73.70%	95.39%	73.70%
27   	95.13%	73.24%	95.13%	73.24%
28   	94.94%	72.77%	94.94%	72.78%
29   	94.75%	72.43%	94.75%	72.43%
30   	94.39%	71.85%	94.39%	71.85%
31   	94.36%	71.51%	94.36%	71.51%
32   	94.01%	70.94%	94.01%	70.94%
33   	93.87%	70.64%	93.87%	70.65%
34   	93.58%	69.92%	93.58%	69.92%
35   	93.60%	69.95%	93.59%	69.94%
36   	93.13%	69.03%	93.12%	69.03%
37   	92.80%	68.56%	92.80%	68.56%
38   	92.59%	67.96%	92.59%	67.97%
39   	92.29%	67.37%	92.29%	67.37%
40   	92.04%	66.87%	92.04%	66.88%
41   	91.91%	66.56%	91.91%	66.56%
42   	91.19%	65.66%	91.19%	65.66%
43   	90.78%	65.09%	90.78%	65.09%
44   	90.90%	64.77%	90.90%	64.77%
45   	90.51%	64.07%	90.51%	64.07%
46   	90.33%	63.74%	90.33%	63.74%
47   	89.96%	63.15%	89.96%	63.14%
48   	89.52%	62.49%	89.52%	62.49%
49   	89.59%	62.48%	89.58%	62.47%
50   	89.04%	61.17%	89.04%	61.17%
