Pos   	     A	     C	     G	     T     N	Clean A	Clean C	Clean G	Clean T	Clean N
1    	13.13%	36.90%	40.17%	 9.79%	 0.01%	13.08%	36.92%	40.19%	 9.80%	 0.01%
2    	19.03%	19.29%	26.52%	35.16%	 0.00%	19.04%	19.31%	26.48%	35.18%	 0.00%
3    	22.50%	28.62%	26.10%	22.64%	 0.14%	22.51%	28.63%	26.11%	22.60%	 0.14%
4    	31.91%	20.03%	27.61%	20.45%	 0.00%	31.93%	19.98%	27.62%	20.46%	 0.00%
5    	31.22%	18.53%	27.46%	22.78%	 0.00%	31.24%	18.54%	27.42%	22.79%	 0.00%
6    	32.91%	19.43%	23.51%	24.15%	 0.00%	32.92%	19.44%	23.47%	24.17%	 0.00%
7    	17.67%	22.75%	20.88%	38.68%	 0.02%	17.63%	22.76%	20.89%	38.71%	 0.02%
8    	22.71%	26.85%	22.94%	27.51%	 0.00%	22.72%	26.86%	22.90%	27.52%	 0.00%
9    	22.80%	25.31%	23.64%	28.20%	 0.05%	22.81%	25.32%	23.60%	28.21%	 0.05%
10   	36.57%	18.34%	23.90%	21.17%	 0.01%	36.59%	18.30%	23.91%	21.18%	 0.01%
11   	26.91%	25.77%	28.81%	18.50%	 0.01%	26.92%	25.73%	28.83%	18.51%	 0.01%
12   	23.77%	25.15%	25.26%	25.82%	 0.00%	23.74%	25.16%	25.27%	25.83%	 0.00%
13   	26.50%	22.10%	23.38%	27.35%	 0.66%	26.47%	22.11%	23.39%	27.37%	 0.66%
14   	27.04%	22.58%	23.95%	26.43%	 0.00%	27.06%	22.59%	23.91%	26.45%	 0.00%
15   	26.74%	23.37%	24.43%	25.46%	 0.00%	26.75%	23.33%	24.44%	25.48%	 0.00%
16   	26.86%	23.00%	25.06%	25.07%	 0.00%	26.88%	23.01%	25.02%	25.09%	 0.00%
17   	27.23%	23.25%	25.09%	24.43%	 0.00%	27.25%	23.26%	25.05%	24.44%	 0.00%
18   	27.28%	23.14%	25.06%	24.52%	 0.00%	27.29%	23.15%	25.07%	24.48%	 0.00%
19   	27.16%	23.20%	25.45%	24.20%	 0.00%	27.17%	23.16%	25.46%	24.21%	 0.00%
20   	27.15%	22.89%	25.12%	24.26%	 0.58%	27.16%	22.90%	25.13%	24.22%	 0.58%
21   	27.17%	23.24%	24.97%	24.61%	 0.00%	27.19%	23.25%	24.98%	24.58%	 0.00%
22   	27.39%	23.21%	25.13%	24.21%	 0.05%	27.36%	23.22%	25.14%	24.23%	 0.05%
23   	27.54%	22.95%	25.29%	24.21%	 0.01%	27.55%	22.96%	25.25%	24.22%	 0.01%
24   	27.63%	23.01%	25.02%	24.35%	 0.00%	27.64%	23.02%	24.98%	24.36%	 0.00%
25   	27.42%	23.20%	25.23%	24.14%	 0.00%	27.38%	23.22%	25.24%	24.16%	 0.00%
26   	27.56%	23.08%	25.05%	24.31%	 0.00%	27.52%	23.09%	25.06%	24.32%	 0.00%
27   	27.39%	23.31%	25.04%	24.25%	 0.00%	27.40%	23.32%	25.00%	24.27%	 0.00%
28   	27.43%	23.18%	25.35%	24.04%	 0.00%	27.39%	23.19%	25.36%	24.06%	 0.00%
29   	27.26%	23.08%	25.62%	24.04%	 0.00%	27.27%	23.05%	25.63%	24.05%	 0.00%
30   	27.35%	23.37%	25.34%	23.80%	 0.14%	27.31%	23.38%	25.36%	23.81%	 0.14%
31   	27.22%	23.37%	25.40%	24.01%	 0.00%	27.18%	23.38%	25.41%	24.02%	 0.00%
32   	27.45%	23.41%	25.14%	23.97%	 0.03%	27.42%	23.42%	25.15%	23.98%	 0.03%
33   	27.40%	23.41%	25.04%	24.15%	 0.00%	27.41%	23.42%	25.05%	24.12%	 0.00%
34   	27.34%	23.40%	25.39%	23.87%	 0.01%	27.35%	23.41%	25.40%	23.83%	 0.00%
35   	27.56%	23.14%	25.35%	23.95%	 0.00%	27.57%	23.15%	25.31%	23.96%	 0.00%
36   	27.51%	23.24%	25.38%	23.86%	 0.00%	27.52%	23.25%	25.35%	23.87%	 0.00%
37   	27.16%	23.35%	25.28%	24.04%	 0.17%	27.17%	23.32%	25.29%	24.05%	 0.17%
38   	27.32%	23.13%	25.39%	24.15%	 0.00%	27.29%	23.14%	25.40%	24.16%	 0.00%
39   	27.44%	23.19%	25.15%	24.21%	 0.00%	27.41%	23.20%	25.16%	24.22%	 0.00%
40   	27.01%	23.48%	25.54%	23.96%	 0.01%	27.02%	23.45%	25.56%	23.97%	 0.00%
41   	27.37%	23.14%	25.46%	24.02%	 0.01%	27.38%	23.15%	25.47%	23.99%	 0.00%
42   	27.17%	23.37%	25.25%	24.01%	 0.20%	27.18%	23.34%	25.26%	24.02%	 0.20%
43   	27.27%	23.27%	25.27%	23.76%	 0.43%	27.23%	23.28%	25.29%	23.77%	 0.43%
44   	27.32%	23.23%	25.35%	24.10%	 0.01%	27.29%	23.24%	25.36%	24.11%	 0.00%
45   	27.22%	23.26%	25.32%	24.20%	 0.01%	27.23%	23.22%	25.33%	24.21%	 0.01%
46   	27.26%	23.25%	25.31%	24.17%	 0.01%	27.27%	23.26%	25.33%	24.14%	 0.01%
47   	27.28%	23.20%	25.17%	24.34%	 0.02%	27.29%	23.16%	25.19%	24.35%	 0.02%
48   	27.08%	23.16%	25.15%	24.46%	 0.15%	27.10%	23.12%	25.16%	24.47%	 0.15%
49   	27.15%	23.35%	25.40%	24.09%	 0.01%	27.16%	23.36%	25.41%	24.05%	 0.01%
50   	27.04%	23.39%	25.33%	24.23%	 0.01%	27.05%	23.40%	25.34%	24.19%	 0.01%
