Position in reads	Percentage of Q20+ bases	Percentage of Q30+ bases	Percentage of Clean Q20+	Percentage of Clean Q30+
1    	97.43%	85.00%	97.43%	85.00%
2    	98.16%	84.22%	98.16%	84.21%
3    	98.10%	82.94%	98.10%	82.94%
4    	97.79%	80.96%	97.79%	80.96%
5    	97.90%	81.01%	97.90%	81.01%
6    	97.95%	80.84%	97.95%	80.84%
7    	98.43%	83.36%	98.43%	83.36%
8    	98.19%	82.11%	98.19%	82.10%
9    	98.13%	81.72%	98.12%	81.72%
10   	97.48%	79.08%	97.48%	79.08%
11   	97.67%	79.63%	97.66%	79.62%
12   	97.96%	80.79%	97.96%	80.80%
13   	97.79%	80.13%	97.79%	80.14%
14   	97.64%	79.56%	97.64%	79.55%
15   	97.51%	79.05%	97.52%	79.06%
16   	97.37%	78.58%	97.37%	78.59%
17   	97.25%	78.12%	97.25%	78.12%
18   	97.00%	77.57%	97.01%	77.58%
19   	96.84%	77.05%	96.84%	77.07%
20   	96.63%	76.46%	96.64%	76.49%
21   	96.51%	76.17%	96.52%	76.19%
22   	96.34%	75.83%	96.36%	75.87%
23   	96.03%	75.14%	96.04%	75.16%
24   	95.66%	74.35%	95.66%	74.35%
25   	95.46%	74.02%	95.48%	74.06%
26   	94.29%	72.61%	94.30%	72.62%
27   	93.97%	71.99%	93.97%	72.00%
28   	93.53%	71.27%	93.56%	71.30%
29   	93.26%	70.69%	93.27%	70.71%
30   	92.87%	70.05%	92.88%	70.08%
31   	92.53%	69.42%	92.53%	69.42%
32   	91.89%	68.39%	91.90%	68.42%
33   	91.37%	67.54%	91.38%	67.55%
34   	91.14%	67.19%	91.15%	67.22%
35   	90.38%	65.94%	90.39%	65.96%
36   	90.00%	65.25%	90.01%	65.29%
37   	89.44%	64.39%	89.45%	64.41%
38   	88.82%	63.42%	88.83%	63.44%
39   	88.75%	63.33%	88.75%	63.34%
40   	87.99%	62.15%	87.99%	62.16%
41   	87.49%	61.41%	87.50%	61.43%
42   	87.01%	60.77%	87.02%	60.79%
43   	86.44%	59.90%	86.45%	59.92%
44   	86.11%	59.46%	86.12%	59.48%
45   	85.29%	58.25%	85.30%	58.27%
46   	84.92%	57.77%	84.94%	57.80%
47   	84.43%	57.02%	84.44%	57.04%
48   	83.98%	56.46%	83.97%	56.46%
49   	83.49%	55.73%	83.51%	55.76%
50   	84.02%	55.67%	84.03%	55.68%
