Term	Sample	Enrichment	Bonferroni
Ribosome	DA	1.8930615663828005	5.4073430866078715E-15
Wnt signaling pathway	DA	1.486084671689412	1.0313521654481406E-6
TGF-beta signaling pathway	DA	1.4907859835264554	0.0024399007777382575
Proteasome	DA	1.6644844517184945	0.003948286488416164
Neurotrophin signaling pathway	DA	1.3946062426537809	0.00435836444269222
VEGF signaling pathway	DA	1.5097165991902832	0.005540269484871629
Ubiquitin mediated proteolysis	DA	1.3674606223588166	0.006077778535658829
Cell cycle	DA	1.3834493927125506	0.006853944259069267
MAPK signaling pathway	DA	1.2413910749215302	0.016403043233374603
Colorectal cancer	DA	1.4459947946790053	0.02001570858497892
Thyroid cancer	DA	1.7747452184838755	0.02876095916173127
Pancreatic cancer	DA	1.458248987854251	0.04729052479972484
Alzheimer's disease	DA	1.2882690444847371	0.061627470709686216
Apoptosis	DA	1.3961329052073155	0.08418414564974785
Oocyte meiosis	DA	1.3475156422524843	0.08740386443523962
Pyrimidine metabolism	DA	1.3652461112294907	0.12579862105567996
Epithelial cell signaling in Helicobacter pylori infection	DA	1.4229280781138367	0.18971548765059398
p53 signaling pathway	DA	1.4229280781138367	0.18971548765059398
DNA replication	DA	1.6012145748987856	0.19275746761369705
Homologous recombination	DA	1.6910786581839217	0.19608753741617324
