Term	Enrichment	Bonferroni
cell adhesion	1.4960848249914491	5.305755834683623E-12
biological adhesion	1.4939506098345423	6.484812686835539E-12
cell motion	1.5986379356211757	2.53497223212662E-11
neuron projection development	1.7994147379622238	3.619704536106383E-10
cell morphogenesis involved in differentiation	1.769916135700548	9.84807235759888E-9
neuron development	1.6348664875880972	1.9816997820498727E-8
cell morphogenesis	1.6174514498536845	2.1007255712746087E-8
neuron differentiation	1.544703062725562	3.777285417783105E-8
neuron projection morphogenesis	1.7909667814459693	8.730620848496073E-8
cell projection organization	1.5549290398695306	9.975629543523823E-7
cellular component morphogenesis	1.531995419222246	1.03518779936973E-6
cell morphogenesis involved in neuron differentiation	1.7391472587003314	2.2400811200418147E-6
cell projection morphogenesis	1.6598682888957659	6.207475715225286E-6
axonogenesis	1.734150990989501	1.4125564340439212E-5
cell migration	1.590786942256459	3.08593208488972E-5
regulation of cell motion	1.7155042061401513	3.407777156916314E-5
protein amino acid phosphorylation	1.3596777030479172	5.008373519010956E-5
cell part morphogenesis	1.6026037509976057	6.16531148498467E-5
extracellular structure organization	1.7662966753003424	7.326536009011342E-5
DNA replication	1.704708699122107	7.396330035203125E-5
