Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007155~cell adhesion	291	5.466842006387376	1.0436851339652814E-15	DLC1, ITGB3BP, PVR, LOC646079, CADM3, CADM4, CADM1, NELL2, L1CAM, RADIL, S1PR1, CD44, CTGF, LOC100129652, ILK, COL12A1, CDH24, ADAM9, F11R, TYRO3, PTPRM, PDPN, EFNB1, CDHR1, F8, PTPRS, PTPRT, SSPN, MYH9, SSPO, CTNNA3, BCL2L11, CTNNA2, JUP, HES1, RND3, ROR2, LAMC2, RAB13, LAMC1, TGFB1I1, ITGA2B, DCBLD2, DCBLD1, CDK5R1, ITGA11, ITGA10, PXN, SCRIB, ALCAM, NPHP4, LAMB3, PVRL1, KAL1, BAI1, LAMB1, SPP1, RPSA, BMP1, PCDH10, PPFIBP1, CELSR3, RPSAP8, CELSR2, CELSR1, RPSAP9, MCAM, COL16A1, ECM2, PCDH18, LAMA2, LAMA1, LAMA4, COL14A1, NLGN4X, CD58, FCGBP, ENG, NRP2, PCDHA6, PCDHA7, PCDHA8, NRP1, COL21A1, PCDHA3, MYBPC1, PCDHA4, BCAR1, CUZD1, PCDHA1, CD151, CDSN, SRPX, CHST10, COL11A1, CYR61, ICAM1, PCDHB8, PCDHB5, PCDHB3, FLOT2, SDK2, PCDHB4, CPXM2, CD164, GPR98, AMIGO2, ARVCF, SLC26A6, SEMA4D, ADAM12, PARVA, ADAM15, LIMS1, COL3A1, PCDHB13, NEO1, DCHS1, CLDN14, EZR, COL7A1, PTK2B, COL6A3, FAT2, COL6A2, PKD1, CD24, THBS1, THBS2, THBS3, THBS4, LOC284620, FLRT3, FLRT2, FLRT1, HAPLN4, RPSAP19, HAPLN3, RPSAP18, RPSAP15, CLDN22, NLGN2, NLGN3, NID1, NID2, RPSAP12, CDH12, CDH13, ERBB2IP, CDON, FBLN5, FBLN7, COL29A1, CDH10, CDH11, CTNNAL1, LMO7, CXCL12, VCL, APOA4, NRCAM, DAB1, ROBO1, TGFBI, ROBO2, NEGR1, SPON1, DSCAM, CIB1, EGFR, PCDHGA12, PCDHGA10, RET, LOC642132, COL22A1, ACTN1, MFGE8, ACTN3, CERCAM, NCAM2, PODXL2, TESK2, EDA, COL24A1, RPSAP29, CXADRP2, DST, PKHD1, TNFRSF12A, ASTN1, NINJ1, NEDD9, IL32, ITGB3, CX3CL1, SOX9, ITGB1, LOC100131294, SRC, PCDHAC2, PCDHAC1, RPSAP61, ITGB8, RPSAP58, ITGAV, TTYH1, PCDHA10, SCARB1, PCDHA11, SSX2IP, SCARB2, PCDHA13, FN1, B4GALT1, LPP, ADAM23, ITGA1, EFS, ITGA2, ITGA3, ITGA4, TPBG, MUC4, ITGA9, OMD, TMEM8B, ITGA5, FREM2, FREM1, TROAP, ANTXR1, ADAM22, PDZD2, OMG, ABL2, C1ORF38, CLDN7, AEBP1, CLSTN2, CLDN3, IGFBP7, CLDN6, BCAN, BCAM, FER, PCDHGA5, CXADR, CD97, ARHGAP6, DGCR2, PCDH1, WISP1, CD93, DGCR6, CNTNAP2, RHOB, ESAM, MSN, LOXL2, KIRREL2, BOC, DLG1, NRXN2, NRXN3, CNTNAP5, CNTN6, LEF1, PCDH9, PCDH8, NRXN1, PCDHGB3, PCDHGB4, ITGB1BP1, CNTN2, CLDN1, CNTN1, NCAN, AOC3, ADAMTS13, TNC, LOC100133944, CD24L4, CTNND2, PCDHGC5, SPOCK1, PCDHGC4, CDH1, PCDHGC3, CDH3, CDH5, SCARF1, LOC100133690, SCARF2, APLP1, CDH6, VCAM1, CDH8, CDH7, CD9, COL9A1, CDH9, COL27A1, TNN, COL8A1, SELPLG, SVEP1, TNXB, TNXA, COL13A1, NFASC, CD99, COL5A1, COL4A6, VWF, SNED1, BMPR1B, NTM, MUC16, FEZ1	3759	700	13528	1.4960848249914491	5.305755834683623E-12	5.305755834683623E-12	1.9095836023552692E-12
GOTERM_BP_FAT	GO:0022610~biological adhesion	291	5.466842006387376	1.2741611565316805E-15	DLC1, ITGB3BP, PVR, LOC646079, CADM3, CADM4, CADM1, NELL2, L1CAM, RADIL, S1PR1, CD44, CTGF, LOC100129652, ILK, COL12A1, CDH24, ADAM9, F11R, TYRO3, PTPRM, PDPN, EFNB1, CDHR1, F8, PTPRS, PTPRT, SSPN, MYH9, SSPO, CTNNA3, BCL2L11, CTNNA2, JUP, HES1, RND3, ROR2, LAMC2, RAB13, LAMC1, TGFB1I1, ITGA2B, DCBLD2, DCBLD1, CDK5R1, ITGA11, ITGA10, PXN, SCRIB, ALCAM, NPHP4, LAMB3, PVRL1, KAL1, BAI1, LAMB1, SPP1, RPSA, BMP1, PCDH10, PPFIBP1, CELSR3, RPSAP8, CELSR2, CELSR1, RPSAP9, MCAM, COL16A1, ECM2, PCDH18, LAMA2, LAMA1, LAMA4, COL14A1, NLGN4X, CD58, FCGBP, ENG, NRP2, PCDHA6, PCDHA7, PCDHA8, NRP1, COL21A1, PCDHA3, MYBPC1, PCDHA4, BCAR1, CUZD1, PCDHA1, CD151, CDSN, SRPX, CHST10, COL11A1, CYR61, ICAM1, PCDHB8, PCDHB5, PCDHB3, FLOT2, SDK2, PCDHB4, CPXM2, CD164, GPR98, AMIGO2, ARVCF, SLC26A6, SEMA4D, ADAM12, PARVA, ADAM15, LIMS1, COL3A1, PCDHB13, NEO1, DCHS1, CLDN14, EZR, COL7A1, PTK2B, COL6A3, FAT2, COL6A2, PKD1, CD24, THBS1, THBS2, THBS3, THBS4, LOC284620, FLRT3, FLRT2, FLRT1, HAPLN4, RPSAP19, HAPLN3, RPSAP18, RPSAP15, CLDN22, NLGN2, NLGN3, NID1, NID2, RPSAP12, CDH12, CDH13, ERBB2IP, CDON, FBLN5, FBLN7, COL29A1, CDH10, CDH11, CTNNAL1, LMO7, CXCL12, VCL, APOA4, NRCAM, DAB1, ROBO1, TGFBI, ROBO2, NEGR1, SPON1, DSCAM, CIB1, EGFR, PCDHGA12, PCDHGA10, RET, LOC642132, COL22A1, ACTN1, MFGE8, ACTN3, CERCAM, NCAM2, PODXL2, TESK2, EDA, COL24A1, RPSAP29, CXADRP2, DST, PKHD1, TNFRSF12A, ASTN1, NINJ1, NEDD9, IL32, ITGB3, CX3CL1, SOX9, ITGB1, LOC100131294, SRC, PCDHAC2, PCDHAC1, RPSAP61, ITGB8, RPSAP58, ITGAV, TTYH1, PCDHA10, SCARB1, PCDHA11, SSX2IP, SCARB2, PCDHA13, FN1, B4GALT1, LPP, ADAM23, ITGA1, EFS, ITGA2, ITGA3, ITGA4, TPBG, MUC4, ITGA9, OMD, TMEM8B, ITGA5, FREM2, FREM1, TROAP, ANTXR1, ADAM22, PDZD2, OMG, ABL2, C1ORF38, CLDN7, AEBP1, CLSTN2, CLDN3, IGFBP7, CLDN6, BCAN, BCAM, FER, PCDHGA5, CXADR, CD97, ARHGAP6, DGCR2, PCDH1, WISP1, CD93, DGCR6, CNTNAP2, RHOB, ESAM, MSN, LOXL2, KIRREL2, BOC, DLG1, NRXN2, NRXN3, CNTNAP5, CNTN6, LEF1, PCDH9, PCDH8, NRXN1, PCDHGB3, PCDHGB4, ITGB1BP1, CNTN2, CLDN1, CNTN1, NCAN, AOC3, ADAMTS13, TNC, LOC100133944, CD24L4, CTNND2, PCDHGC5, SPOCK1, PCDHGC4, CDH1, PCDHGC3, CDH3, CDH5, SCARF1, LOC100133690, SCARF2, APLP1, CDH6, VCAM1, CDH8, CDH7, CD9, COL9A1, CDH9, COL27A1, TNN, COL8A1, SELPLG, SVEP1, TNXB, TNXA, COL13A1, NFASC, CD99, COL5A1, COL4A6, VWF, SNED1, BMPR1B, NTM, MUC16, FEZ1	3759	701	13528	1.4939506098345423	6.484812686835539E-12	3.2424063434177697E-12	2.3425705819590803E-12
GOTERM_BP_FAT	GO:0006928~cell motion	211	3.9639301145970323	4.731778218758422E-15	PVR, CTHRC1, LOC646079, EFNA2, L1CAM, MYLIP, PRKG1, CTTNBP2, BDNF, APOB, GAB2, CD44, CTGF, PTPRM, MDGA1, EFNB1, BARHL1, EMX2, KIF5C, MYH9, CTNNA2, PLAUR, VEGFC, C14ORF104, PDGFRB, EFNA5, LAMC1, DNAH11, PALM, CDK5R1, ENPP2, ERBB2, ITGA11, EPHB3, SCRIB, ARX, ALCAM, MACF1, PVRL1, LOC652799, KAL1, LHX4, SBDSP1, PLAT, KLF7, NTF3, GAS1, LOC442308, KDR, EPHA4, SEMA6A, LAMA1, EPHA7, SEMA6C, PARP9, ETS1, ENG, PLAU, NRP2, NRP1, ACVRL1, WASF1, BCAR1, CUZD1, GLI2, ACTR3, ACTR2, SEMA3C, SEMA3A, CAP1, NR2F2, FGF2, ICAM1, MMP14, SLIT1, TNFSF12-TNFSF13, ALOX12, ABI3, KIT, DNALI1, PTK2B, CD24, THBS1, ETV4, THBS4, TBX1, LMX1A, LSP1, CDH13, TUBBP2, TUBBP1, LOC731751, HBEGF, KPTN, APBB2, FGF19, NRTN, PDGFB, IL16, PLXNA2, HMGCR, LOC729841, CAPZA2, CAPZA1, TNFSF13, TNFSF12, ENPEP, GDNF, CXCL12, TGFB1, TGFB2, VCL, NRCAM, WNT1, DAB1, APOA1, UNC5B, ROBO1, ROBO2, UNC5C, RET, PLXNB1, LOC642132, VAX1, CERCAM, ARPC1B, HIF1A, TNS1, LYST, SIX1, SDCBP, HSPB1, LOC653882, C1ORF187, CAV2, SOX1, TNFRSF12A, DRD2, ASTN1, GIPC1, CX3CL1, ARPC5, ITGB1, SRC, TUBB, DOCK2, HOXA2, ARPC3, ARPC2, ADRA2A, SCARB1, STRBP, ARHGDIA, FN1, ARHGDIB, B4GALT1, VAV3, PODXL, MET, ITGA1, ITGA2, NEUROG2, ITGA4, NTN1, FEZF1, FEZF2, ITGA5, ULK1, LTB4R2, TLN1, PAX6, PEX5, CXCR2, DSTN, PEX7, CD97, SBDS, CXCR4, ANG, PAK4, LOC729494, POU4F1, MSN, PRKCA, EGR2, NRXN3, FOXJ1, ARID5B, OTX2, NRXN1, ESR2, VASP, SMO, BTG1, ITGB1BP1, CNTN2, NGFR, GAP43, DCC, CALD1, VIM, CD24L4, HSPBL2, DNAH3, PRKDC, SPOCK1, DNAH2, TPM1, DNAH5, LOC653888, TPM4, LOC100133690, VCAM1, CD9, POU3F2, TNN, DCX, PPAP2B, SELPLG, SCG2, ANXA1, DPYSL5, NFASC, COL5A1, JAK2, BMPR1B, FEZ2, FEZ1	3759	475	13528	1.5986379356211757	2.53497223212662E-11	8.449907440422066E-12	9.137135492665038E-12
GOTERM_BP_FAT	GO:0031175~neuron projection development	128	2.4046590268645502	6.815828760152348E-14	NRTN, S100A6, EFNA2, L1CAM, PRKG1, GDNF, CXCL12, NRCAM, BDNF, UNC5B, CD44, ROBO1, ILK, ROBO2, UNC5C, DSCAM, EGFR, PTPRM, STMN3, LOC642132, RXRA, EFNB1, KIF5C, LIFR, VAX1, CTNNA2, SLITRK2, SLITRK1, NCAM2, SLITRK3, RASGRF1, EFNA5, SLITRK5, IGSF9, DST, C1ORF187, NGF, FGFR1, CDK5R1, PKHD1, DRD2, ERBB2, EPHB3, ARX, ALCAM, HOXA2, MACF1, PVRL1, RAC3, KAL1, DMD, BAI1, LHX4, LAMB1, KLF7, NTF3, SPTBN4, ITGA1, CELSR3, DOCK7, NEUROG2, CELSR2, GAS1, NTN1, FEZF1, ATP7A, FEZF2, EPHA4, SEMA6A, EPHA7, SEMA6C, ULK1, NEDD4, DLX5, MAP2, CACNA1F, CACNA1A, NRP2, LOC100129095, NRP1, PAX6, PAX2, GLI2, EFHD1, CXCR4, POU4F1, SEMA3A, PRKCA, EGR2, NRXN3, OTX2, CHST3, NRXN1, SLIT1, VASP, BBS1, SMO, SLC26A6, ADM, CNTN2, NGFR, GAP43, DCC, RTN4RL1, CD24L4, CDH1, SCARF1, LOC100133690, LINGO1, PTK2B, BCL11B, RTN4RL2, TNN, CD24, DCX, SNAP25, ETV4, KLK8, GNAO1, PTPRZ1, MAP1B, DPYSL5, NTNG1, NFASC, RTN4R, LMX1A, MAP1S, PHGDH, JAK2, APBB2, BMPR1B, FEZ2, FEZ1	3759	256	13528	1.7994147379622238	3.619704536106383E-10	9.049261340265957E-11	1.3055112546567216E-10
GOTERM_BP_FAT	GO:0000904~cell morphogenesis involved in differentiation	120	2.2543678376855154	1.8546601397061426E-12	S100A4, S100A6, NOG, EFNA2, L1CAM, CXCL12, TGFB1, TGFB2, NRCAM, DAB2, BDNF, UNC5B, ROBO1, ILK, ROBO2, UNC5C, DSCAM, PTPRM, EFNB1, LOC642132, RXRA, KIF5C, VAX1, MYH9, PROX1, CTNNA2, SLITRK2, HES1, SLITRK1, NCAM2, SLITRK3, HIF1A, EFNA5, LAMC1, SLITRK5, DST, C1ORF187, CDK5R1, PKHD1, DRD2, ERBB2, EPHB3, SOX9, ARX, ALCAM, HOXA2, PVRL1, MACF1, KAL1, BAI1, LHX4, LAMB1, FN1, HNRNPAB, BMP2, KLF7, NTF3, SPTBN4, CELSR3, NEUROG2, CELSR2, DOCK7, GAS1, NTN1, FEZF1, EPHA4, SEMA6A, FEZF2, EPHA7, SEMA6C, ULK1, DLX5, CACNA1F, ANTXR1, CACNA1A, NRP2, LOC100129095, NRP1, MYO7A, PAX6, PAX2, GLI2, SLC1A3, CXCR4, POU4F1, SEMA3A, PRKCA, EGR2, NRXN3, OTX2, LEF1, CHST3, NRXN1, SLIT1, VASP, BBS1, SLC26A6, CNTN2, NGFR, GAP43, DCC, RTN4RL1, LOC100133690, BCL11B, TNN, RTN4RL2, DCX, SNAP25, ETV4, NFATC1, PTPRZ1, TRIM28, MAP1B, NTNG1, NFASC, RTN4R, DPYSL5, LMX1A, SOD1, JAK2, APBB2, BMPR1B, FEZ2, FEZ1	3759	244	13528	1.769916135700548	9.84807235759888E-9	1.969614471519776E-9	3.5518143981505546E-9
GOTERM_BP_FAT	GO:0048666~neuron development	154	2.8931053916964116	3.7319885358644564E-12	NRTN, S100A6, EFNA2, RORB, L1CAM, PRKG1, GDNF, CXCL12, TGFB2, NRCAM, ZFP91, BDNF, UNC5B, CD44, ROBO1, ILK, ROBO2, UNC5C, DSCAM, EGFR, RET, PTPRM, STMN3, LOC642132, RXRA, EFNB1, KIF5C, LIFR, VAX1, CTNNA2, SLITRK2, HES1, SLITRK1, NCAM2, SLITRK3, RND1, RASGRF1, EFNA5, SLITRK5, IGSF9, DST, C1ORF187, NGF, FGFR1, CDK5R1, SOX1, DRD2, PKHD1, ERBB2, ONECUT2, PPT1, EPHB3, ARX, LIF, ALCAM, HOXA2, MACF1, PVRL1, RAC3, KAL1, DMD, BAI1, LHX4, OLFM3, LAMB1, KLF7, NTF3, SPTBN4, NTN4, ITGA1, CELSR3, ALMS1, DOCK7, NEUROG2, CELSR2, GAS1, NTN1, GNAT2, SALL3, FEZF1, ATP7A, FEZF2, EPHA4, SEMA6A, EPHA7, SEMA6C, ULK1, NEDD4, DLX5, MAP2, NTRK2, CACNA1F, CACNA1A, NRP2, LOC100129095, NRP1, MYO7A, PAX6, GLI2, PAX2, EFHD1, SLC1A3, CXCR4, DYNLL2, CNTNAP2, POU4F1, SEMA3A, PRKCA, EGR2, NRXN3, OTX2, CHST3, NRXN1, SLIT1, GPR98, VASP, BBS1, SMO, SLC26A6, ADM, CNTN2, NGFR, CLN5, GAP43, DCC, IRX5, RTN4RL1, CD24L4, CDH1, SCARF1, LOC100133690, LINGO1, PTK2B, BCL11B, RTN4RL2, TNN, CD24, DCX, SNAP25, ETV4, ZFP91-CNTF, KLK8, GNAO1, PTPRZ1, MAP1B, DPYSL5, NTNG1, NFASC, RTN4R, LMX1A, SOD1, TP73, CNTF, MAP1S, PHGDH, JAK2, APBB2, BMPR1B, NTM, FEZ2, FEZ1	3759	339	13528	1.6348664875880972	1.9816997820498727E-8	3.3028330070905554E-9	7.147216152247893E-9
GOTERM_BP_FAT	GO:0000902~cell morphogenesis	160	3.005823783580688	3.956217420630536E-12	S100A4, S100A6, NOG, EFNA2, L1CAM, CXCL12, TGFB1, TGFB2, NRCAM, WNT1, DAB2, BDNF, UNC5B, LOC100129652, ROBO1, FOXF1, ILK, CDC42P2, ROBO2, UNC5C, IDUA, DSCAM, EGFR, PTPRM, CD3G, PDPN, LOC642132, RXRA, EFNB1, KIF5C, VANGL2, LIFR, VAX1, MYH9, PROX1, CTNNA2, SLITRK2, HES1, SLITRK1, NCAM2, SLITRK3, HIF1A, EFNA5, LAMC1, SLITRK5, DST, C1ORF187, CDK5R1, DRD2, PKHD1, ERBB2, ONECUT2, EPHB3, SOX9, SCRIB, LLGL1, ARX, ALCAM, DOCK2, HOXA2, MACF1, PVRL1, KAL1, DMD, BAI1, LHX4, LAMB1, FN1, HNRNPAB, KLF7, BMP2, NTF3, SPTBN4, ITGA1, CELSR3, ALMS1, DOCK7, NEUROG2, CELSR2, GAS1, NTN1, FEZF1, ATP7A, FEZF2, LAMA1, EPHA4, SEMA6A, EPHA7, SEMA6C, ULK1, DLX5, PRICKLE2, MAP7, CACNA1F, ANTXR1, CACNA1A, NRP2, LOC100129095, NRP1, MYO7A, PAX6, GLI2, PAX2, CDC42, SLC1A3, CXCR4, POU4F1, SEMA3A, CAP1, DLG1, PRKCA, EGR2, NRXN3, FOXJ1, OTX2, LEF1, CHST3, NRXN1, SLIT1, BBS10, VASP, BBS1, SMO, SLC26A6, ADM, CNTN2, NGFR, GAP43, DCC, LIMS1, SHROOM4, RTN4RL1, BRSK2, BRSK1, LOC100133690, EZR, CENPA, BCL11B, BCL6, RTN4RL2, TNN, DCX, SNAP25, ETV4, NFATC1, NOX4, KLK8, CAP2, LIPA, PTPRZ1, TRIM28, MAP1B, DPYSL5, NTNG1, NFASC, RTN4R, LMX1A, WWTR1, SOD1, ERBB2IP, MAP1S, JAK2, APBB2, BMPR1B, FEZ2, FEZ1	3759	356	13528	1.6174514498536845	2.1007255712746087E-8	3.001036530392298E-9	7.576494986949456E-9
GOTERM_BP_FAT	GO:0030182~neuron differentiation	188	3.5318429457073077	7.113550061314077E-12	S100A6, EFNA2, L1CAM, RORB, PRKG1, ZFP91, BDNF, S1PR1, CD44, MC1R, ILK, PTPRM, MDGA1, EFNB1, RXRA, KIF5C, EMX2, LIFR, PTPRR, CTNNA2, HES1, RND1, EFNA5, CDK5R1, ERBB2, PPT1, EPHB3, LIF, ALCAM, ARX, PVRL1, MACF1, LHX1, RAC3, DMD, KAL1, BAI1, LHX4, LHX5, LAMB1, OLFM3, BMP4, KLF7, NTF3, CELSR3, ALMS1, CELSR2, GAS1, LOC442308, EPHA2, NKX6-1, GNAT2, NTRK3, NOTCH3, SEMA6A, EPHA4, EPHA7, SEMA6C, DLX5, NTRK2, MAP2, NRP2, NRP1, MYO7A, GLI2, RTN1, GLI3, EFHD1, DYNLL2, SEMA3A, TUBB3, KCNMA1, SLIT1, GPR98, SLC26A6, ADM, CLN5, PTK2B, BCL11B, PCSK9, CD24, SNAP25, ETV4, ZFP91-CNTF, DFNA5, PTPRZ1, NTNG1, RTN4R, LMX1A, SOD1, TP73, CNTF, TUBBP2, TUBBP1, PHGDH, APBB2, NRTN, JAG1, CXCL12, GDNF, TGFB2, NRCAM, WNT1, UNC5B, ROBO1, CDC42P2, ROBO2, UNC5C, DSCAM, EGFR, RET, STMN3, STMN2, LOC642132, VAX1, SLITRK2, NCAM2, SLITRK1, SLITRK3, RASGRF1, SMARCA1, DST, IGSF9, SLITRK5, C1ORF187, NGF, FGFR1, SOX1, PKHD1, DRD2, ONECUT2, SOX2, HOXA2, TUBB, C17ORF28, SPTBN4, ITGA1, NTN4, NEUROG2, DOCK7, NTN1, ATP7A, FEZF1, SALL3, FEZF2, ULK1, NEDD4, CACNA1F, CACNA1A, LOC100129095, PAX6, PEX5, PAX2, CDC42, GPC2, SLC1A3, CXCR4, PAX7, CNTNAP2, POU4F1, PRKCA, EGR2, NRXN3, OTX2, CHST3, NRXN1, VASP, BBS1, PRKCQ, SMO, CNTN2, NGFR, GAP43, DCC, IRX5, RTN4RL1, CD24L4, BRSK2, CDH1, BRSK1, SCARF1, LOC100133690, LINGO1, ALDH1A2, TNN, RTN4RL2, POU3F2, DCX, KLK8, GNAO1, MAP1B, NFASC, DPYSL5, MAP1S, ID4, JAK2, BMPR1B, FEZ2, NTM, FEZ1	3759	438	13528	1.544703062725562	3.777285417783105E-8	4.721606883251184E-9	1.3623191463807416E-8
GOTERM_BP_FAT	GO:0048812~neuron projection morphogenesis	106	1.9913582566222054	1.6441794122607475E-11	S100A6, EFNA2, L1CAM, CXCL12, NRCAM, BDNF, UNC5B, ROBO1, ILK, ROBO2, UNC5C, DSCAM, EGFR, PTPRM, EFNB1, LOC642132, RXRA, KIF5C, LIFR, VAX1, CTNNA2, SLITRK2, SLITRK1, NCAM2, SLITRK3, EFNA5, SLITRK5, DST, C1ORF187, CDK5R1, PKHD1, DRD2, ERBB2, EPHB3, ARX, ALCAM, HOXA2, PVRL1, MACF1, DMD, KAL1, BAI1, LHX4, KLF7, NTF3, SPTBN4, ITGA1, CELSR3, CELSR2, NEUROG2, DOCK7, GAS1, NTN1, ATP7A, FEZF1, SEMA6A, EPHA4, FEZF2, EPHA7, SEMA6C, ULK1, DLX5, CACNA1F, CACNA1A, NRP2, NRP1, LOC100129095, PAX6, PAX2, GLI2, CXCR4, POU4F1, SEMA3A, PRKCA, EGR2, NRXN3, OTX2, CHST3, NRXN1, SLIT1, VASP, SMO, SLC26A6, ADM, CNTN2, NGFR, GAP43, DCC, RTN4RL1, LOC100133690, BCL11B, TNN, RTN4RL2, DCX, SNAP25, ETV4, KLK8, PTPRZ1, MAP1B, NFASC, NTNG1, RTN4R, DPYSL5, LMX1A, MAP1S, JAK2, APBB2, BMPR1B, FEZ2, FEZ1	3759	213	13528	1.7909667814459693	8.730620848496073E-8	9.700690251079891E-9	3.1487923379813765E-8
GOTERM_BP_FAT	GO:0030030~cell projection organization	159	2.9870373849333083	1.878650872332818E-10	NRTN, S100A6, PDGFB, PDGFA, CROCC, EFNA2, LPAR3, L1CAM, LPAR1, PRKG1, GDNF, CXCL12, VCL, NRCAM, BDNF, UNC5B, CD44, ROBO1, ILK, CDC42P2, ROBO2, UNC5C, DSCAM, EGFR, PTPRM, STMN3, LOC642132, RXRA, EFNB1, KIF5C, VANGL2, LIFR, VAX1, MYH9, CTNNA2, SLITRK2, SLITRK1, NCAM2, SLITRK3, RASGRF1, SDCBP, EFNA5, SLITRK5, IGSF9, DST, C1ORF187, NGF, FGFR1, CDK5R1, DRD2, PKHD1, ERBB2, ONECUT2, EPHB3, ARX, ALCAM, HOXA2, MACF1, PVRL1, RAC2, RAC3, KAL1, DMD, BAI1, LHX4, LAMB1, FGD5, FGD4, KLF5, KLF7, VAV3, NTF3, SPTBN4, ITGA1, CELSR3, ALMS1, DOCK7, NEUROG2, CELSR2, GAS1, NTN1, FEZF1, ATP7A, FEZF2, EPHA4, SEMA6A, EPHA7, SEMA6C, ULK1, NEDD4, DLX5, MAP2, CACNA1F, MTOR, CACNA1A, NRP2, LIMA1, LOC100129095, NRP1, MYO7A, PAX6, GLI2, PAX2, CDC42, EFHD1, CXCR4, POU4F1, SEMA3A, PRKCA, EGR2, NRXN3, FOXJ1, OTX2, CHST3, NRXN1, LPIN1, SLIT1, BBS10, GPR98, VASP, BBS1, SMO, SLC26A6, ADM, CNTN2, NGFR, GAP43, DCC, RTN4RL1, CD24L4, CDH1, TPM1, SCARF1, LOC100133690, LINGO1, PTK2B, BCL11B, RTN4RL2, TNN, CD24, DCX, SNAP25, ETV4, THBS4, KLK8, GNAO1, BAIAP2L2, PTPRZ1, MAP1B, DPYSL5, NTNG1, NFASC, RTN4R, LMX1A, WWTR1, SOD1, CDH13, MAP1S, CAPG, PHGDH, JAK2, APBB2, BMPR1B, FEZ2, FEZ1	3759	368	13528	1.5549290398695306	9.975629543523823E-7	9.975634018832835E-8	3.597820152911879E-7
