Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04510:Focal adhesion	102	1.9162126620326883	1.257060132653367E-11	LOC646079, PDGFB, PDGFA, PGF, VCL, ILK, CDC42P2, PIK3CA, PDGFC, PIK3CG, EGFR, ACTN4, ROCK2, MYLK2, ACTN1, ACTN3, VEGFB, VEGFC, RASGRF1, JUN, COL1A2, PDGFRA, PDGFRB, LAMC2, COL1A1, LAMC1, ITGA2B, CAV2, CAV1, ERBB2, ITGA11, ITGA10, ITGB3, ITGB1, PXN, SRC, MYL9, LAMB3, RAC2, RAC3, ITGB8, ITGAV, LAMB1, SPP1, FN1, VAV3, MET, ITGA1, ITGA2, ITGA3, MYL12B, ITGA4, MYL12A, KDR, LAMA2, LAMA1, ITGA9, LAMA4, ITGA5, RAP1A, MYLK, TLN1, BCAR1, CDC42, PAK7, PAK4, SHC1, PAK1, SHC3, COL11A1, AKT3, PRKCA, PRKCG, FLNC, FLNB, VASP, PRKCB, CCND1, CRKL, CCND3, CCND2, PARVA, TNC, COL3A1, SOS2, COL6A3, COL6A2, PIK3R5, TNN, THBS1, THBS2, THBS3, THBS4, COL4A4, COL4A2, TNXB, COL4A1, TNXA, MAPK10, CAPN2, BIRC2, COL5A2, COL5A1, COL4A6, VWF	1434	201	5085	1.7994754262161996	2.413557353975193E-9	2.413557353975193E-9	1.5650591933535907E-8
KEGG_PATHWAY	hsa05200:Pathways in cancer	144	2.705241405222619	4.765462730448571E-10	FGF19, PDGFB, PGF, PDGFA, MMP9, FGF17, ARNT2, STAT5B, TGFB3, FOXO1, FGF12, MMP2, TGFB1, TGFB2, WNT1, CDKN2A, CDKN2B, SLC2A1, CDC42P2, RALB, PIK3CA, FAS, PIK3CG, EGFR, RET, WNT10B, PLD1, BCR, RXRA, MECOM, CTNNA3, CTNNA2, VEGFB, JUP, VEGFC, EP300, HIF1A, PIAS4, JUN, PDGFRA, PDGFRB, LAMC2, LOC653882, LAMC1, ITGA2B, WNT5A, FGFR2, FGFR1, TRAF2, FGFR3, ERBB2, ITGB1, LAMB3, RAC2, RAC3, ITGAV, LOC652799, LAMB1, AXIN2, RUNX1, FN1, AXIN1, BMP4, BMP2, EPAS1, CREBBP, MET, TGFBR2, ITGA2, BRCA2, ITGA3, LAMA2, LAMA1, CDKN1A, LAMA4, CDKN1B, PLCG1, ETS1, PLCG2, MTOR, E2F1, E2F2, FGF8, FGF9, MITF, PPARG, NFKB1, GLI2, GLI3, GLI1, CDC42, CCNE1, ACVR1B, CASP3, PAX8, NOS2, FGF1, FGF2, AKT3, PRKCA, CTBP1, TP53, LEF1, CDK6, PRKCG, RB1, PRKCB, DAPK1, RAD51, SMO, CCND1, CRKL, NCOA4, MDM2, DCC, CKS1B, APC2, EGLN3, EGLN1, CDH1, ZBTB16, KIT, SOS2, PIK3R5, WNT8A, WNT8B, FZD9, CEBPA, COL4A4, MSH6, FZD8, COL4A2, COL4A1, FLT3, FZD3, BIRC5, MAPK10, FZD5, BIRC2, COL4A6, FZD7, WNT2B, FZD6, FZD10, HSP90B1, JAK1, PTCH1	1434	328	5085	1.5567915093376876	9.149687518750227E-8	4.574843870397416E-8	5.933070479358094E-7
KEGG_PATHWAY	hsa04512:ECM-receptor interaction	47	0.8829607364268269	2.2500822346922244E-7	TNC, COL3A1, ITGA11, ITGA10, ITGB3, SDC4, ITGB1, SDC2, LAMB3, CD44, ITGB8, ITGAV, COL6A3, COL6A2, TNN, SV2A, LAMB1, THBS1, COL11A1, THBS2, THBS3, SPP1, FN1, THBS4, COL4A4, COL4A2, TNXB, COL4A1, TNXA, ITGA1, ITGA2, ITGA3, ITGA4, COL5A2, COL5A1, COL4A6, LAMA2, ITGA9, VWF, LAMA1, LAMA4, SDC1, ITGA5, COL1A2, LAMC2, LAMC1, COL1A1, ITGA2B	1434	84	5085	1.984085475194262	4.320065059693068E-5	1.440042423683785E-5	2.8013816772975986E-4
KEGG_PATHWAY	hsa03030:DNA replication	26	0.4884463648318617	3.004792712782232E-7	LIG1, POLE, POLA1, MCM2, POLA2, MCM3, RNASEH2A, MCM4, MCM5, RPA3, MCM6, PRIM1, POLD3, RPA1, RFC5, POLD4, DNA2, RPA2, RFC3, MCM7, RFC4, POLE2, POLD1, PRIM2, PCNA, FEN1	1434	36	5085	2.5610181311018128	5.769036459313259E-5	1.4422903175437263E-5	3.741004431234707E-4
KEGG_PATHWAY	hsa04360:Axon guidance	63	1.1835431147848958	9.73032771561171E-7	NRP1, PLXNA2, EFNA2, EFNA3, L1CAM, LRRC4C, FES, CXCL12, CDC42, PAK7, UNC5B, ROBO1, CXCR4, SEMA3G, PAK4, SEMA7A, SEMA3E, CDC42P2, SEMA3C, UNC5D, ROBO2, PAK1, RHOD, UNC5C, SEMA3A, ROCK2, PLXNB1, LOC642132, EFNB1, ARHGEF12, SLIT1, RND1, CFL2, SEMA4C, SRGAP3, SEMA4B, EFNA5, SEMA4D, DCC, ABLIM3, EPHB3, ITGB1, EPHB4, SEMA5B, EPHB6, RAC2, RAC3, NFAT5, PPP3CC, PPP3CA, NFATC1, MET, NTN4, NTNG1, DPYSL5, NTN1, EPHA1, EPHA2, SEMA6A, EPHA4, EPHA7, SEMA6B, SEMA6C, SEMA6D, RGS3	1434	129	5085	1.7317797022477375	1.868049328205279E-4	3.736377856367046E-5	0.0012114332809787243
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	107	2.0101446552695847	2.0176888507813264E-5	FGF19, MEF2C, ZAK, PDGFB, PDGFA, FGF17, TGFB3, FGF12, TGFB1, TGFB2, MAP3K6, MAP3K5, BDNF, CDC42P2, RRAS, PRKACB, FAS, MAP2K7, MAP2K6, EGFR, RELB, PTPRR, MECOM, ARRB2, RASGRF1, ARRB1, JUN, PDGFRA, PLA2G2A, PDGFRB, HSPB1, MAPK7, NGF, FGFR2, FGFR1, TRAF2, FGFR4, FGFR3, MAPKAPK3, DUSP10, MAP4K1, CACNB4, RAC2, RAC3, DUSP16, CACNA2D1, NTF3, PTPN5, TGFBR2, TAOK3, LOC100131098, NR4A1, CACNA2D3, CACNA2D2, CACNA2D4, NTRK2, CACNA1G, CACNA1H, RAP1A, CACNA1E, CACNA1F, CACNA1C, CACNA1D, PLA2G4B, CACNA1A, CACNA1B, FGF8, FGF9, NFKB1, DAXX, CDC42, ACVR1B, CASP3, PAK1, FGF1, FGF2, AKT3, PRKCA, TP53, LOC100127984, PRKCG, FLNC, ECSIT, FLNB, PRKCB, CRKL, PLA2G6, PLA2G3, MAP3K14, GADD45B, HSPBL2, GNG12, TNFRSF1A, JMJD7-PLA2G4B, HSPA2, RASGRP1, SOS2, PPP3CC, PPP3CA, MAPK11, MAPK10, DUSP5, RPS6KA5, DUSP4, DUSP3, DUSP2, RPS6KA4, RPS6KA1, DUSP1, RPS6KA2, JMJD7, DUSP8, DUSP6	1434	267	5085	1.4210662404212309	0.0038665074125170396	6.454585480001329E-4	0.025117619671810587
KEGG_PATHWAY	hsa04110:Cell cycle	55	1.0332519256058614	1.9481539337558713E-4	E2F1, E2F2, MAD1L1, CDC14A, DBF4, TGFB3, PKMYT1, TTK, PTTG2, PTTG1, TGFB1, TGFB2, CCNE1, CDC45, MCM7, CDKN2A, CDKN2B, CDKN2C, CCNA2, CDC7, CDC6, TP53, CDK6, ESPL1, RB1, MCM2, MCM3, MCM4, MCM5, ORC1L, MCM6, CCND1, EP300, MAD2L1, CCND3, CCND2, BUB1B, MDM2, GADD45B, MAD2L2, LOC100133012, YWHAZ, PRKDC, CHEK1, CHEK2, BUB1, CREBBP, CDC20, CDC25C, CDC25A, CCNB1, CDKN1A, CDKN1B, CCNB2, LOC646096, PLK1, PCNA, LOC731751, SMC1A	1434	125	5085	1.5602510460251047	0.03671715648458207	0.005329774581118163	0.24227767543030243
KEGG_PATHWAY	hsa05410:Hypertrophic cardiomyopathy (HCM)	39	0.7326695472477927	7.62684948794897E-4	PRKAG2, ITGA11, TGFB3, ITGA10, ITGB3, CACNB4, TPM2, ITGB1, TPM1, TGFB1, TPM4, TGFB2, ITGB8, ITGAV, DMD, PRKAA1, PRKAA2, CACNA2D1, ACTC1, SLC8A1, ITGA1, LMNA, ITGA2, LOC100131098, ITGA3, ITGA4, TNNI3, CACNA2D3, CACNA2D2, CACNA2D4, TNNT2, LAMA2, ITGA9, ITGA5, SGCD, RYR2, CACNA1F, CACNA1C, CACNA1D, ITGA2B	1434	85	5085	1.6269997538764462	0.13626682288562353	0.018144787144553476	0.9454187516075852
KEGG_PATHWAY	hsa04514:Cell adhesion molecules (CAMs)	55	1.0332519256058614	9.747786297324042E-4	PVR, CLDN7, CADM3, CADM1, CLDN3, CLDN6, LOC100133583, L1CAM, HLA-DMB, SDC4, HLA-DMA, SDC2, NRCAM, CNTNAP2, ESAM, NEGR1, ICAM1, F11R, PTPRM, NRXN2, NRXN3, HLA-C, HLA-B, NRXN1, PDCD1LG2, NCAM2, SDC1, CLDN1, CNTN2, CNTN1, HLA-DRA, HLA-DQB1, HLA-DRB1, CDH1, NEO1, CDH3, ITGB1, CLDN14, CDH5, LOC100133690, VCAM1, ALCAM, PVRL1, ITGB8, ITGAV, HLA-DRB4, HLA-DRB5, HLA-DOA, SELPLG, LOC284620, NFASC, NLGN2, CLDN22, CD99, NLGN3, ITGA4, ITGA9, NLGN4X, CD274, CD58	1434	132	5085	1.4775104602510463	0.1707625826453495	0.0205904798994746	1.2068638046343283
KEGG_PATHWAY	hsa05414:Dilated cardiomyopathy	41	0.7702423445425512	0.0010968297303814122	ADCY3, ADCY1, ADCY5, ITGA11, TGFB3, ITGA10, ITGB3, CACNB4, TPM2, ITGB1, TPM1, TGFB1, TPM4, TGFB2, ITGB8, ITGAV, DMD, PRKACB, CACNA2D1, ACTC1, SLC8A1, ITGA1, LMNA, ITGA2, LOC100131098, ITGA3, ITGA4, TNNI3, CACNA2D3, CACNA2D2, CACNA2D4, LAMA2, TNNT2, ITGA9, ITGA5, PLN, SGCD, RYR2, CACNA1F, CACNA1C, CACNA1D, ITGA2B	1434	92	5085	1.580293796616336	0.18998854071984728	0.020850252421249826	1.3570267352506882
