Term	Enrichment	Bonferroni
axon guidance	5.626922127045611	8.15347789284715E-12
neuron differentiation	2.8351401299369368	9.206635454006573E-11
cell motion	2.7331293463143256	1.3657075470518976E-10
axonogenesis	3.9969733438065247	1.9806156714707868E-10
neuron projection morphogenesis	3.79833754497313	2.8129498730322666E-10
cell morphogenesis involved in differentiation	3.469983355753665	1.921502956747645E-9
neuron projection development	3.3808240611961056	2.670603738152977E-9
cell morphogenesis involved in neuron differentiation	3.6909849538500445	3.0466829059605516E-9
neuron development	2.997082969217325	3.073181709112305E-9
cell adhesion	2.2578025034770515	7.9605122493831E-9
biological adhesion	2.2545816725163137	8.601239720462672E-9
blood vessel development	3.379024154863614	9.147183011037896E-9
cell projection morphogenesis	3.379024154863614	9.147183011037896E-9
skeletal system development	3.0080440877045356	1.264366600306488E-8
vasculature development	3.298250669089982	2.1117167792183977E-8
cell part morphogenesis	3.2338317107093184	4.1636073699891085E-8
cell morphogenesis	2.7482614742698197	2.3110656721669898E-7
sensory organ development	3.28646652616747	2.456408174644764E-7
ear development	4.9513212795549375	2.8572975896423713E-7
cellular component morphogenesis	2.6066149809243875	4.60651011224833E-7
