Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007411~axon guidance	32	3.3057851239669422	2.6784658194990215E-15	DCC, NRP2, ARX, HOXA2, UNC5B, UNC5A, LHX2, LHX4, GBX2, ROBO2, SEMA3A, UNC5C, ROBO3, ETV4, PTPRM, NTF3, OTX2, NFASC, VAX1, LMX1A, SLIT1, SLIT2, SLIT3, FEZF1, FEZF2, EPHA4, EPHA7, FOXG1, NGFR, BMPR1B, C1ORF187, GAP43	719	107	13528	5.626922127045611	8.15347789284715E-12	8.15347789284715E-12	4.807265696626928E-12
GOTERM_BP_FAT	GO:0030182~neuron differentiation	66	6.8181818181818175	3.010291252681109E-14	NRP2, PAX2, WNT1, UNC5B, UNC5A, PAX7, POU4F1, ROBO2, SEMA3A, ROBO3, UNC5C, RET, PTPRM, EMX1, STMN2, OTX2, VAX1, SLIT1, SLIT2, SLIT3, PRKCQ, SLITRK1, BTG2, ADM, HES5, FOXG1, CNTN2, NGFR, C1ORF187, GAP43, NGF, DCC, IRX5, SOX1, RTN4RL1, ONECUT2, ARX, HOXA2, LHX2, DMD, BCL2, LHX4, GBX2, LHX5, PCSK9, TNN, OLFM3, ETV4, GNAO1, NTF3, NFASC, NTN4, LMX1A, EPHA2, NKX6-1, FEZF1, SALL3, EPHA4, FEZF2, EPHA7, NOTCH1, DLX5, MAP2, NTRK2, ID4, BMPR1B	719	438	13528	2.8351401299369368	9.206635454006573E-11	4.6033177270032866E-11	5.4301008134416406E-11
GOTERM_BP_FAT	GO:0006928~cell motion	69	7.128099173553719	4.458480201417688E-14	FGF19, NRP2, CTHRC1, PDGFB, CUZD1, TNFSF13, ZEB2, TNFSF12, ENPEP, TGFB1, WNT1, UNC5B, CTGF, UNC5A, POU4F1, ROBO2, SEMA3A, ROBO3, UNC5C, NR2F1, RET, PTPRM, BARHL1, ARID5B, OTX2, VAX1, SLIT1, SLIT2, SLIT3, TNS1, FOXG1, SIX1, CNTN2, PDGFRB, TNFSF12-TNFSF13, NGFR, C1ORF187, GAP43, DCC, SOX1, TNFRSF12A, CALD1, KITLG, SPOCK1, ITGB1, ARX, HOXA2, LHX2, LHX4, GBX2, ADRA2A, TNN, THBS1, ETV4, THBS4, NTF3, PODXL, ANXA1, NFASC, LMX1A, ITGA4, FEZF1, EPHA4, FEZF2, CDH13, EPHA7, ITGA6, ETS1, HBEGF, BMPR1B, PLAU	719	475	13528	2.7331293463143256	1.3657075470518976E-10	4.552358490172992E-11	8.054668043655511E-11
GOTERM_BP_FAT	GO:0007409~axonogenesis	41	4.235537190082645	6.473540117289435E-14	NRP2, DCC, RTN4RL1, PAX2, ARX, HOXA2, UNC5B, UNC5A, BCL2, LHX2, GBX2, LHX4, ROBO2, POU4F1, TNN, ROBO3, UNC5C, SEMA3A, ETV4, PTPRM, NTF3, OTX2, NFASC, VAX1, LMX1A, SLIT1, SLIT2, SLIT3, FEZF1, SLITRK1, FEZF2, EPHA4, NOTCH1, EPHA7, DLX5, FOXG1, CNTN2, NGFR, BMPR1B, C1ORF187, GAP43	719	193	13528	3.9969733438065247	1.9806156714707868E-10	4.951539178676967E-11	1.1680656442081272E-10
GOTERM_BP_FAT	GO:0048812~neuron projection morphogenesis	43	4.4421487603305785	9.188074792543298E-14	NRP2, DCC, RTN4RL1, PAX2, ARX, HOXA2, UNC5B, UNC5A, DMD, BCL2, LHX2, GBX2, LHX4, ROBO2, POU4F1, TNN, ROBO3, UNC5C, SEMA3A, ETV4, PTPRM, NTF3, OTX2, NFASC, VAX1, LMX1A, SLIT1, SLIT2, SLIT3, FEZF1, SLITRK1, FEZF2, EPHA4, EPHA7, NOTCH1, ADM, DLX5, FOXG1, CNTN2, NGFR, BMPR1B, C1ORF187, GAP43	719	213	13528	3.79833754497313	2.8129498730322666E-10	5.625899746064533E-11	1.658895243394909E-10
GOTERM_BP_FAT	GO:0000904~cell morphogenesis involved in differentiation	45	4.648760330578512	6.279475106722609E-13	NRP2, DCC, NOG, RTN4RL1, SOX9, PAX2, TGFB1, ARX, HOXA2, UNC5B, UNC5A, LHX2, BCL2, GBX2, LHX4, ROBO2, POU4F1, TNN, ROBO3, UNC5C, SEMA3A, ETV4, BMP2, PTPRM, NTF3, OTX2, NFASC, VAX1, LMX1A, SLIT1, SLIT2, SLIT3, FEZF1, SLITRK1, FEZF2, EPHA4, EPHA7, NOTCH1, DLX5, FOXG1, CNTN2, NGFR, BMPR1B, C1ORF187, GAP43	719	244	13528	3.469983355753665	1.921502956747645E-9	3.2025049279127416E-10	1.1332157434651435E-9
GOTERM_BP_FAT	GO:0031175~neuron projection development	46	4.75206611570248	8.727090091538148E-13	NRP2, DCC, RTN4RL1, PAX2, ARX, HOXA2, UNC5B, UNC5A, LHX2, BCL2, DMD, GBX2, LHX4, ROBO2, POU4F1, TNN, ROBO3, UNC5C, SEMA3A, ETV4, GNAO1, PTPRM, NTF3, OTX2, NFASC, VAX1, LMX1A, SLIT1, SLIT2, SLIT3, FEZF1, SLITRK1, FEZF2, EPHA4, EPHA7, NOTCH1, ADM, DLX5, FOXG1, MAP2, CNTN2, NGFR, BMPR1B, C1ORF187, GAP43, NGF	719	256	13528	3.3808240611961056	2.670603738152977E-9	3.8151481973613954E-10	1.5749956894239858E-9
GOTERM_BP_FAT	GO:0048667~cell morphogenesis involved in neuron differentiation	41	4.235537190082645	9.9568743458105E-13	NRP2, DCC, RTN4RL1, PAX2, ARX, HOXA2, UNC5B, UNC5A, BCL2, LHX2, GBX2, LHX4, ROBO2, POU4F1, TNN, ROBO3, UNC5C, SEMA3A, ETV4, PTPRM, NTF3, OTX2, NFASC, VAX1, LMX1A, SLIT1, SLIT2, SLIT3, FEZF1, SLITRK1, FEZF2, EPHA4, NOTCH1, EPHA7, DLX5, FOXG1, CNTN2, NGFR, BMPR1B, C1ORF187, GAP43	719	209	13528	3.6909849538500445	3.0466829059605516E-9	3.8083536324506895E-10	1.7967849430533533E-9
GOTERM_BP_FAT	GO:0048666~neuron development	54	5.578512396694215	1.0042977572180548E-12	NRP2, PAX2, UNC5B, UNC5A, POU4F1, ROBO2, ROBO3, UNC5C, SEMA3A, RET, PTPRM, OTX2, VAX1, SLIT1, SLIT2, SLIT3, SLITRK1, ADM, FOXG1, CNTN2, NGFR, C1ORF187, GAP43, NGF, DCC, IRX5, SOX1, RTN4RL1, ONECUT2, ARX, HOXA2, BCL2, DMD, LHX2, GBX2, LHX4, TNN, OLFM3, ETV4, GNAO1, NTF3, NTN4, NFASC, LMX1A, SALL3, FEZF1, EPHA4, FEZF2, NOTCH1, EPHA7, DLX5, MAP2, NTRK2, BMPR1B	719	339	13528	2.997082969217325	3.073181709112305E-9	3.4146463434581165E-10	1.8124168832400755E-9
GOTERM_BP_FAT	GO:0007155~cell adhesion	84	8.677685950413224	2.6014794923828084E-12	NRP2, CADM3, CLDN4, CADM1, COL21A1, MYBPC1, CLDN3, NELL2, PCDHGA8, CUZD1, MMRN1, DDR2, MEGF10, PCDHGA1, APOA4, CTGF, COL12A1, RHOB, ROBO2, KIRREL2, COL11A1, CYR61, RET, PTPRM, CNTN6, CDHR1, PCDH9, PTPRT, PCDH8, PCDH7, AMIGO2, RND3, HES5, LSAMP, GPR56, CNTN2, ADAM12, TNFRSF12A, COL3A1, NEDD9, ITGB5, KITLG, SPOCK1, COL2A1, SOX9, ITGB1, CDH5, APLP1, CDH6, CDH9, FAT3, FAT4, ITGAV, BCL2, TEK, TNN, COL8A1, THBS1, THBS2, APBA1, SPP1, THBS4, FLRT2, HAPLN1, FLRT1, COL13A1, NFASC, NID1, ITGA3, ITGA4, COL16A1, MCAM, PCDH19, EMILIN1, MUC4, CDH13, VWF, COL14A1, ITGA6, CDON, ITGA7, BMPR1B, CDH10, CDH11	719	700	13528	2.2578025034770515	7.9605122493831E-9	7.9605122493831E-10	4.694733490850922E-9
