Term	Enrichment	Bonferroni
cell adhesion	2.233625269203159	1.1336187408130615E-27
biological adhesion	2.230438927877619	1.4071542985546652E-27
cell motion	2.194438860971524	1.5720994497483053E-16
neuron differentiation	2.1211384165882685	4.718447854656915E-13
regulation of cell proliferation	1.7659609639330351	8.021361352916756E-12
cell migration	2.3809385089699706	1.887379141862766E-11
cell projection organization	2.1346345252834222	1.0522138715884921E-10
axon guidance	3.317814409534693	1.1465828286816304E-10
cell motility	2.2389326291246316	2.514932706532136E-10
localization of cell	2.2389326291246316	2.514932706532136E-10
vasculature development	2.3472475258096592	1.2980450048161174E-9
blood vessel development	2.3430713658997937	2.982530888928636E-9
neuron projection development	2.301402847571189	4.0144554347421035E-9
neuron projection morphogenesis	2.4468508426325677	4.035216605302594E-9
cell-cell adhesion	2.244102962477444	4.358902128132058E-9
neuron development	2.0944315151634934	7.007366908950985E-9
cell morphogenesis involved in differentiation	2.321717879012549	7.115419364822628E-9
forebrain development	2.733109994416527	8.137907014926782E-9
extracellular structure organization	2.595006388452145	5.3604869099110886E-8
blood vessel morphogenesis	2.3626505354576994	7.565039972234899E-8
