Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007155~cell adhesion	207	8.28994793752503	2.667338213677792E-31	DLC1, LOC646079, POSTN, L1CAM, EDIL3, CD2AP, MEGF10, CD47, CDH20, S1PR1, CD44, LOC100129652, CTGF, COL12A1, CDH24, ADAM9, PTPRM, MAGI1, PDPN, EFNB1, F8, PTPRS, MYH9, SSPO, BCL2L11, CTNNA3, THY1, RND3, NME2, LAMC3, NME1, ROR2, LAMC2, MADCAM1, RAB13, TGFB1I1, LAMC1, PXN, SEMA5A, PVRL4, LOC652798, LGALS3BP, NPHP1, SPP1, COL18A1, PCDH10, CNKSR3, CELSR2, CELSR1, EMILIN2, COL16A1, PCDH17, MCAM, PCDH19, PCDH18, EMILIN1, LAMA1, LAMA3, NLGN4Y, PKP1, LAMA5, PKP2, PKP3, NLGN4X, FCGBP, NRP2, PCDHA7, NRP1, PCDHA2, MYBPC1, PCDHA3, BCAR1, CUZD1, SRPX, CHST10, COL11A1, CYR61, PCDHB9, PCDHB7, PCDHB8, PCDHB3, PCDHB4, SDK2, CPXM2, GPR98, CPXM1, VCAN, ADAM12, EPDR1, COL3A1, PCDHB15, COL2A1, PCDHB12, CLDN11, PCDHB11, CLDN12, PCDHB10, DCHS1, EZR, COL7A1, FAT3, FAT4, PCDHB16, COL6A3, COL6A2, CD24, THBS1, THBS4, FLRT3, HAPLN1, NLGN1, NLGN3, NID2, CDH12, CDH13, FBLN5, FBLN7, CDH11, MTSS1, THRA, LMO7, CXCL12, VCL, NRCAM, ROBO1, TGFBI, ROBO2, SPON1, PCDHGA12, EGFR, PCDHGA11, LOC642132, ACTN1, ACTN2, AJAP1, NCAM1, LSAMP, GPR56, RELN, ACHE, C21ORF29, TNFRSF12A, ASTN1, ITGB4, NEDD9, NINJ1, IL32, SOX9, ITGB1, LOC100131294, TEK, TTYH1, SCARB1, FN1, ITGA1, ITGA2, EFS, ITGA3, ITGA4, TPBG, ITGA9, ITGA5, FREM1, ANTXR1, PDZD2, CLDN7, CLDN4, IGFBP7, BCAM, SDC3, CNTNAP3, RHOB, CNTNAP2, CNTNAP1, ZYX, BOC, NRXN2, NRXN3, PCDHGB7, LEF1, PCDHGB6, CHST4, CD99L2, CNTN2, CNTN1, NCAN, ADAMTS13, CD24L4, LOC100133944, CTNND2, KITLG, CNTNAP3B, PCDHGC5, SPOCK1, CDH1, PCDHGC4, CDH2, PCDHGC3, CDH3, CDH5, APLP1, CDH6, SCARF2, VCAM1, CDH7, CD9, RGMB, COL17A1, CDH9, COL8A1, COL8A2, SVEP1, GMDS, COL13A1, NFASC, COL4A6, VWF, NME1-NME2, SNED1, DSC2, MUC16, FEZ1	1791	700	13528	2.233625269203159	1.1336187408130615E-27	1.1336187408130615E-27	4.9892420877498765E-28
GOTERM_BP_FAT	GO:0022610~biological adhesion	207	8.28994793752503	3.310951290716859E-31	DLC1, LOC646079, POSTN, L1CAM, EDIL3, CD2AP, MEGF10, CD47, CDH20, S1PR1, CD44, LOC100129652, CTGF, COL12A1, CDH24, ADAM9, PTPRM, MAGI1, PDPN, EFNB1, F8, PTPRS, MYH9, SSPO, BCL2L11, CTNNA3, THY1, RND3, NME2, LAMC3, NME1, ROR2, LAMC2, MADCAM1, RAB13, TGFB1I1, LAMC1, PXN, SEMA5A, PVRL4, LOC652798, LGALS3BP, NPHP1, SPP1, COL18A1, PCDH10, CNKSR3, CELSR2, CELSR1, EMILIN2, COL16A1, PCDH17, MCAM, PCDH19, PCDH18, EMILIN1, LAMA1, LAMA3, NLGN4Y, PKP1, LAMA5, PKP2, PKP3, NLGN4X, FCGBP, NRP2, PCDHA7, NRP1, PCDHA2, MYBPC1, PCDHA3, BCAR1, CUZD1, SRPX, CHST10, COL11A1, CYR61, PCDHB9, PCDHB7, PCDHB8, PCDHB3, PCDHB4, SDK2, CPXM2, GPR98, CPXM1, VCAN, ADAM12, EPDR1, COL3A1, PCDHB15, COL2A1, PCDHB12, CLDN11, PCDHB11, CLDN12, PCDHB10, DCHS1, EZR, COL7A1, FAT3, FAT4, PCDHB16, COL6A3, COL6A2, CD24, THBS1, THBS4, FLRT3, HAPLN1, NLGN1, NLGN3, NID2, CDH12, CDH13, FBLN5, FBLN7, CDH11, MTSS1, THRA, LMO7, CXCL12, VCL, NRCAM, ROBO1, TGFBI, ROBO2, SPON1, PCDHGA12, EGFR, PCDHGA11, LOC642132, ACTN1, ACTN2, AJAP1, NCAM1, LSAMP, GPR56, RELN, ACHE, C21ORF29, TNFRSF12A, ASTN1, ITGB4, NEDD9, NINJ1, IL32, SOX9, ITGB1, LOC100131294, TEK, TTYH1, SCARB1, FN1, ITGA1, ITGA2, EFS, ITGA3, ITGA4, TPBG, ITGA9, ITGA5, FREM1, ANTXR1, PDZD2, CLDN7, CLDN4, IGFBP7, BCAM, SDC3, CNTNAP3, RHOB, CNTNAP2, CNTNAP1, ZYX, BOC, NRXN2, NRXN3, PCDHGB7, LEF1, PCDHGB6, CHST4, CD99L2, CNTN2, CNTN1, NCAN, ADAMTS13, CD24L4, LOC100133944, CTNND2, KITLG, CNTNAP3B, PCDHGC5, SPOCK1, CDH1, PCDHGC4, CDH2, PCDHGC3, CDH3, CDH5, APLP1, CDH6, SCARF2, VCAM1, CDH7, CD9, RGMB, COL17A1, CDH9, COL8A1, COL8A2, SVEP1, GMDS, COL13A1, NFASC, COL4A6, VWF, NME1-NME2, SNED1, DSC2, MUC16, FEZ1	1791	701	13528	2.230438927877619	1.4071542985546652E-27	7.035771492773326E-28	6.193116960356271E-28
GOTERM_BP_FAT	GO:0006928~cell motion	138	5.52663195835002	3.699057528819542E-20	FGF19, LOC646079, MTSS1, PDGFB, L1CAM, ENPEP, CXCL12, CD2AP, TGFB1, VCL, NRCAM, WNT1, CTTNBP2, APOB, BDNF, UNC5B, CD44, ROBO1, UNC5A, CTGF, ROBO2, ROBO3, TWIST1, SATB2, PTPRM, MDGA1, LOC642132, EFNB1, BARHL1, EMX2, MYH9, TNS3, TNS1, HSPB1, PDGFRB, RELN, EFNA5, LAMC1, C1ORF187, ZFAND5, SOX1, ENPP2, TNFRSF12A, ASTN1, ITGB1, EPHB1, EPHB2, ARX, SEMA5A, DOCK2, HOXA2, OVOL2, LHX2, B3GNT1, LHX4, LHX6, SCARB1, B3GNT2, FN1, KLF7, VAV3, NTF3, TGFBR1, PODXL, ITGA1, ITGA2, ITGA4, GAS1, NTN1, FEZF1, FEZF2, EPHA4, SEMA6A, LAMA1, EPHA7, LAMA5, ETS1, ITGA5, PLAU, NRP2, NEURL, NRP1, BCAR1, PAX6, ZEB2, CUZD1, PAX3, GLI2, EDNRB, CXCR4, ANG, LOC732229, SEMA3B, POU4F1, NR2F2, FGF2, NR2F1, NRXN3, ARID5B, OTX2, CHST4, MMP14, SLIT1, ELMO1, BTG1, CNTN2, VCAN, NGFR, NDN, CALD1, HSPBL2, CD24L4, KITLG, SPOCK1, CDH2, TPM1, DNAH5, VCAM1, CD9, DNALI1, DNER, POU3F2, CD24, DCX, PPAP2A, THBS1, DCLK1, ETV4, SCG2, THBS4, IL6, FLT1, DPYSL5, NFASC, ANXA1, TBX1, LMX1A, ISL1, CDH13, ID1, HBEGF, LRP8, APBB1, FEZ1	1791	475	13528	2.194438860971524	1.5720994497483053E-16	5.240331499161018E-17	6.919067635726488E-17
GOTERM_BP_FAT	GO:0030182~neuron differentiation	123	4.925911093311974	8.542259206168767E-17	S100A6, EFNA1, STRN, L1CAM, RORB, JAG1, CXCL12, NRCAM, GATA2, WNT1, BDNF, S1PR1, UNC5B, CD44, HTRA2, ROBO1, UNC5A, ROBO2, ROBO3, EGFR, PTPRM, STMN3, EMX1, STMN2, MDGA1, LOC642132, EFNB1, EMX2, LIFR, THY1, SLITRK3, RASGRF1, RELN, EFNA5, SLITRK6, SLITRK5, C1ORF187, SOX1, SOX2, SOX5, EPHB1, EPHB2, ARX, LIF, SEMA5A, HOXA2, LHX2, DMD, B3GNT1, LHX4, LHX5, LHX6, B3GNT2, OLFM3, C17ORF28, BMP4, KLF7, NTF3, TGFBR1, ITGA1, NTN4, CELSR2, GAS1, GAS7, NTN1, NKX6-1, EPHA2, NTRK3, FEZF1, DLX2, EPHA4, SEMA6A, FEZF2, EPHA7, NOTCH1, NTRK2, MAP2, NRP2, NRP1, PAX6, PAX3, PAX2, KCNIP2, GLI2, GLI3, RTN1, CXCR4, PAX7, CNTNAP2, SEMA3B, POU4F1, KCNMA1, NRXN3, OTX2, SLIT1, GPR98, BBS1, ADM, CNTN2, VCAN, NGFR, CLN5, IRX5, NDN, CD24L4, CDH1, ALDH1A2, PCSK9, POU3F2, CD24, DCX, DCLK1, ETV4, IL6, DPYSL5, NTNG1, NFASC, NTNG2, LMX1A, ISL1, TP73, ID4, ID3, PBX3, APBB1, FEZ1	1791	438	13528	2.1211384165882685	4.718447854656915E-13	1.1790568521519162E-13	2.1094237467877974E-13
GOTERM_BP_FAT	GO:0042127~regulation of cell proliferation	184	7.36884261113336	1.879838398599098E-15	DLC1, S100A6, PDGFB, PGF, PDGFA, FGF17, EDN1, ARNT2, PTGS1, FOXO1, STRN, JAG1, PNP, TGFB1, IL11, IL31RA, CD47, CTTNBP2, TDGF3, BDNF, CDKN2A, S1PR1, MYOCD, CDKN2B, LOC643778, TDGF1, SERPINE1, PDGFC, RARB, ASPH, ODZ1, GNL3, EGFR, PTPRM, EFNB1, LIFR, SIX5, VASH2, PROX1, VASH1, TNS3, NME2, MSX1, ADAMTS8, NME1, SSTR1, F3, JUN, PDGFRA, PDGFRB, TGFB1I1, LAMC1, PMP22, SMARCA2, FGFR4, CAV1, FGFR3, ERBB4, SOX2, CNTFR, SOX9, IL34, ITGB1, SESN1, ARX, LIF, OVOL2, TEK, RTKN2, GRPR, LHX5, AXIN2, RUNX2, KLF5, COL18A1, BMP4, PTPN6, TP53I11, TESC, BMP2, TGFBR1, KLF11, SPHK1, S100A11, ITGA2, GAS1, GUCY2C, TAX1BP3, AGER, NTN1, NOTCH2, LAMA1, CDKN1A, NOTCH1, CDKN1B, ATF3, LAMA5, ETS1, DLX6, FABP3, FABP7, MAB21L2, PLAU, KLF4, BMI1, NRP1, IGFBP7, IGFBP6, PAX6, PRRX1, ZEB1, PAX3, PAWR, GLI2, GLI3, EDNRB, GPC3, TNFRSF11A, ANG, HMOX1, TGFA, NOS2, FGF1, NRG1, FOSL1, MYC, FGF2, DHCR24, CDC7, LYN, CCKBR, GAL, MXD4, CARD11, ADM, BTG1, SCIN, BTG3, MDM2, NGFR, ICOSLG, CXCL1, ING4, CXCL5, NDN, CD24L4, EGLN3, KITLG, TNFRSF8, ZBTB16, SFN, COMT, S100A11P1, CDH5, VCAM1, MSX2, ALDH1A2, CD9, TGM2, PTN, POU3F2, INPP5D, CD24, PPAP2A, THBS1, SCG2, TXNIP, IL6, NACC2, FLT1, KAT2B, TBX3, JARID2, ANXA1, SPARC, IDO1, CDH13, NME1-NME2, IRF6, DBP, BNC1, GDF11, HBEGF, PTCH1, ID4, NR5A2, SCAND1, NFIB, BMPR1A, IGFBP5	1791	787	13528	1.7659609639330351	8.021361352916756E-12	1.6042722705833512E-12	3.530509218307998E-12
GOTERM_BP_FAT	GO:0016477~cell migration	87	3.4841810172206644	4.465940554312914E-15	FGF19, NRP2, LOC646079, NRP1, PDGFB, BCAR1, PAX6, CUZD1, ZEB2, PAX3, ENPEP, CXCL12, CD2AP, TGFB1, NRCAM, EDNRB, WNT1, CTTNBP2, CD44, CTGF, ANG, ROBO1, CXCR4, LOC732229, POU4F1, NR2F2, FGF2, NR2F1, TWIST1, SATB2, MDGA1, EFNB1, BARHL1, ARID5B, LOC642132, EMX2, MYH9, MMP14, TNS3, TNS1, BTG1, CNTN2, PDGFRB, VCAN, RELN, LAMC1, ZFAND5, NDN, SOX1, TNFRSF12A, CD24L4, ASTN1, KITLG, CDH2, ITGB1, ARX, VCAM1, DOCK2, OVOL2, DNER, LHX6, SCARB1, POU3F2, CD24, DCX, THBS1, PPAP2A, DCLK1, FN1, THBS4, SCG2, IL6, VAV3, FLT1, PODXL, TGFBR1, ITGA1, TBX1, ITGA4, ISL1, NTN1, FEZF1, CDH13, LAMA1, LAMA5, ITGA5, ID1, HBEGF, LRP8, APBB1, PLAU	1791	276	13528	2.3809385089699706	1.887379141862766E-11	3.145594895670456E-12	8.304468224196171E-12
GOTERM_BP_FAT	GO:0030030~cell projection organization	104	4.1649979975971165	2.4757405727642273E-14	MTSS1, S100A6, PDGFB, PDGFA, CROCC, DYNC2LI1, STRN, L1CAM, LPAR1, CXCL12, CD2AP, VCL, NRCAM, BDNF, UNC5B, CD44, UNC5A, ROBO1, ROBO2, ROBO3, EGFR, PTPRM, STMN3, EFNB1, LOC642132, LIFR, ACTN2, MYH9, SLITRK3, SPAG6, RASGRF1, RELN, EFNA5, SLITRK6, SLITRK5, C1ORF187, ITGB4, FXYD5, EPHB1, EPHB2, ARX, SEMA5A, HOXA2, LHX2, DMD, LHX4, B3GNT1, B3GNT2, FGD5, KLF5, KLF7, VAV3, NTF3, ITGA1, CELSR2, GAS1, GAS7, NTN1, FEZF1, SEMA6A, EPHA4, FEZF2, EPHA7, NOTCH1, LAMA5, MAP2, NRP2, NEURL, NRP1, PAX6, PAX2, GLI2, CXCR4, TTC30A, TTC30B, POU4F1, SEMA3B, NRXN3, OTX2, SLIT1, GPR98, BBS1, ADM, CNTN2, VCAN, NGFR, NDN, CD24L4, CDH1, TPM1, CD24, DCX, ETV4, DCLK1, THBS4, DNM3, IL6, NTNG1, NFASC, DPYSL5, NTNG2, LMX1A, ISL1, CDH13, CAPG, APBB1, FEZ1	1791	368	13528	2.1346345252834222	1.0522138715884921E-10	1.5031642597307382E-11	4.630740235711528E-11
GOTERM_BP_FAT	GO:0007411~axon guidance	47	1.8822587104525432	2.7021690787875025E-14	NRP2, NRP1, PAX6, L1CAM, GLI2, CXCL12, EPHB1, EPHB2, ARX, SEMA5A, HOXA2, BDNF, UNC5B, CXCR4, ROBO1, UNC5A, LHX2, LHX4, B3GNT1, ROBO2, SEMA3B, ROBO3, B3GNT2, ETV4, KLF7, PTPRM, NTF3, NRXN3, LOC642132, EFNB1, OTX2, NFASC, DPYSL5, LMX1A, GAS1, ISL1, NTN1, SLIT1, FEZF1, FEZF2, EPHA4, SEMA6A, EPHA7, RELN, EFNA5, NGFR, APBB1, C1ORF187, FEZ1	1791	107	13528	3.317814409534693	1.1465828286816304E-10	1.4332313114095996E-11	5.0459636469213365E-11
GOTERM_BP_FAT	GO:0048870~cell motility	91	3.644373247897477	5.91262640045696E-14	FGF19, NRP2, LOC646079, NEURL, NRP1, PDGFB, BCAR1, PAX6, CUZD1, ZEB2, PAX3, ENPEP, CXCL12, CD2AP, TGFB1, NRCAM, EDNRB, WNT1, CTTNBP2, APOB, CD44, CTGF, ANG, CXCR4, ROBO1, LOC732229, POU4F1, NR2F2, FGF2, NR2F1, TWIST1, SATB2, MDGA1, EFNB1, BARHL1, ARID5B, LOC642132, EMX2, MYH9, MMP14, TNS3, TNS1, BTG1, CNTN2, PDGFRB, VCAN, RELN, LAMC1, ZFAND5, SOX1, NDN, TNFRSF12A, CD24L4, ASTN1, KITLG, CDH2, ITGB1, DNAH5, ARX, VCAM1, DOCK2, OVOL2, DNER, LHX6, SCARB1, POU3F2, CD24, DCX, THBS1, PPAP2A, DCLK1, FN1, THBS4, SCG2, IL6, VAV3, FLT1, PODXL, TGFBR1, ITGA1, TBX1, ITGA4, ISL1, NTN1, FEZF1, CDH13, LAMA1, LAMA5, ITGA5, ETS1, ID1, HBEGF, LRP8, APBB1, PLAU	1791	307	13528	2.2389326291246316	2.514932706532136E-10	2.7943647396000415E-11	1.1068923555512811E-10
GOTERM_BP_FAT	GO:0051674~localization of cell	91	3.644373247897477	5.91262640045696E-14	FGF19, NRP2, LOC646079, NEURL, NRP1, PDGFB, BCAR1, PAX6, CUZD1, ZEB2, PAX3, ENPEP, CXCL12, CD2AP, TGFB1, NRCAM, EDNRB, WNT1, CTTNBP2, APOB, CD44, CTGF, ANG, CXCR4, ROBO1, LOC732229, POU4F1, NR2F2, FGF2, NR2F1, TWIST1, SATB2, MDGA1, EFNB1, BARHL1, ARID5B, LOC642132, EMX2, MYH9, MMP14, TNS3, TNS1, BTG1, CNTN2, PDGFRB, VCAN, RELN, LAMC1, ZFAND5, SOX1, NDN, TNFRSF12A, CD24L4, ASTN1, KITLG, CDH2, ITGB1, DNAH5, ARX, VCAM1, DOCK2, OVOL2, DNER, LHX6, SCARB1, POU3F2, CD24, DCX, THBS1, PPAP2A, DCLK1, FN1, THBS4, SCG2, IL6, VAV3, FLT1, PODXL, TGFBR1, ITGA1, TBX1, ITGA4, ISL1, NTN1, FEZF1, CDH13, LAMA1, LAMA5, ITGA5, ETS1, ID1, HBEGF, LRP8, APBB1, PLAU	1791	307	13528	2.2389326291246316	2.514932706532136E-10	2.7943647396000415E-11	1.1068923555512811E-10
