Term	Enrichment	Bonferroni
cell adhesion	1.590016420361248	1.3909132003034097E-14
biological adhesion	1.5877482086346268	1.731213936587327E-14
cell morphogenesis	1.5862068965517244	9.157707821283445E-6
regulation of cell proliferation	1.3778498298500053	9.63341679127705E-6
neuron projection development	1.694324712643678	1.3768961417359726E-5
cellular component morphogenesis	1.5357711572425374	2.5815578022836405E-5
cell projection organization	1.55672163918041	2.880495382751036E-5
cell motion	1.4817180883242589	3.339030192128778E-5
neuron differentiation	1.485435364509526	1.0814301808748095E-4
cell projection morphogenesis	1.6534834623504573	2.0789453171476957E-4
extracellular structure organization	1.8074888935900146	3.0114953416293666E-4
neuron projection morphogenesis	1.6905725540985377	3.902321091826533E-4
cell morphogenesis involved in differentiation	1.62671942717166	7.258112033922126E-4
cytoskeleton organization	1.4547084256037117	7.677067345147615E-4
neuron development	1.5209032651815684	8.168380943270881E-4
negative regulation of cell differentiation	1.6670923797360582	8.220574656777613E-4
tissue morphogenesis	1.727713920817369	0.0011769087815745038
regulation of cell development	1.6767031118587048	0.0012085976109765806
extracellular matrix organization	1.967285587975243	0.0019468325680987997
regulation of nervous system development	1.683668582375479	0.002346726802126109
