Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007155~cell adhesion	272	5.840669959201202	2.7192828940438117E-18	DLC1, ITGB3BP, CADM1, NELL2, POSTN, L1CAM, EDIL3, RADIL, MEGF10, CD47, CDH20, S1PR1, CD44, LOC100129652, ILK, ADAM9, F11R, MAGI1, CDHR1, PTPRS, PTPRT, SSPN, MYH9, CTNNA3, THY1, CTNNA2, NME2, LAMC3, NME1, CD34, NPTN, MADCAM1, LAMC1, TGFB1I1, ITGA2B, DCBLD2, DCBLD1, CDK5R1, ITGA11, ITGA10, SCRIB, ALCAM, SEMA5A, LOC652798, PVRL4, LGALS3BP, LAMB3, PVRL1, KAL1, BAI1, LAMB1, SPP1, RPSA, BMP1, CNKSR3, CELSR3, RPSAP8, CELSR2, RPSAP9, CELSR1, PMF1, EMILIN2, PCDH17, MCAM, ECM2, PCDH19, PCDH18, LAMA1, LAMA4, COL14A1, NLGN4Y, PKP1, LAMA5, PKP2, PKP3, NLGN4X, CD58, PKP4, ENG, NRP2, NRP1, MYBPC2, PCDHA2, PCDHA4, PCDHA1, CD151, SRPX, COL11A1, PCDHB9, ICAM1, PCDHB8, INPPL1, PCDH11X, SDK2, ICAM3, CPXM2, CD164, GPR98, AMIGO2, SLC26A6, SUSD5, SGCE, SEMA4D, ADAM12, PARVA, ADAM15, LIMS1, COL3A1, PCDHB14, PCDHB13, COL2A1, CLDN10, CLDN11, PCDHB11, PCDHB10, DCHS1, CLDN14, EZR, FAT4, PCDHB16, COL6A3, CD24, THBS2, THBS3, APBA1, THBS4, LOC284620, FLRT2, HAPLN1, RPSAP19, FLRT1, HAPLN4, HAPLN3, RPSAP18, RPSAP15, COL15A1, NLGN3, RPSAP12, CLDN23, ERBB2IP, COL29A1, CDH10, CDH11, CTNNAL1, MTSS1, THRA, LMO7, PNN, DAB1, TGFBI, ROBO2, NEGR1, FNDC3A, DSCAM, CIB1, EGFR, PCDHGA12, PCDHGA10, RET, COL22A1, ACTN2, MFGE8, AJAP1, ACTN3, CERCAM, NCAM1, NCAM2, PODXL2, LSAMP, GPR56, TESK2, EDA, RPSAP29, COL24A1, CXADRP2, DST, ACHE, C21ORF29, PKHD1, ITGB4, ASTN1, NEDD9, IL32, ITGB3, CX3CL1, SOX9, ITGB1, PCDHAC2, RPSAP61, PCDHAC1, ITGB8, RPSAP58, TRO, ITGAV, TEK, TTYH1, PCDHA10, SSX2IP, SCARB2, PCDHA13, FN1, B4GALT1, ADAM23, ITGA1, EFS, ITGA2, ITGA3, ITGA4, MUC4, OMD, CASS4, ITGA6, TMEM8B, ITGA5, FREM2, FREM1, TROAP, ADAM22, TRIP6, OMG, ABL2, C1ORF38, CLDN7, AEBP1, CLDN9, CLSTN2, CLDN4, CLDN3, IGFBP7, CLDN6, BCAM, CXADR, SDC3, CD97, ARHGAP6, PCDH1, WISP1, CD93, DGCR6, CNTNAP3, ESAM, CNTNAP1, MSN, LOXL2, KIRREL2, BOC, DLG1, NRXN2, CNTN6, CNTNAP5, PCDHGB7, LEF1, PCDH9, PCDHGB6, CHST4, PCDH8, NRXN1, PCDHGB4, ITGB1BP1, CD99L2, CNTN2, CLDN1, NCAN, AOC3, CD24L4, CTNND2, PCDHGC5, CNTNAP3B, KITLG, SPOCK1, PCDHGC4, CDH1, PCDHGC3, CDH2, CDH3, SCARF1, CDH5, LOC100133690, SCARF2, CDH6, CDH8, COL9A1, RGMB, COL17A1, ANXA9, COL27A1, COL8A1, SELPLG, BGLAP, SVEP1, TNXB, TNXA, GMDS, COL13A1, NFASC, CD99, COL5A1, COL4A6, NME1-NME2, NTM, MUC16, FEZ1	3306	700	13528	1.590016420361248	1.3909132003034097E-14	1.3909132003034097E-14	5.187341005618675E-15
GOTERM_BP_FAT	GO:0022610~biological adhesion	272	5.840669959201202	3.384582476221558E-18	DLC1, ITGB3BP, CADM1, NELL2, POSTN, L1CAM, EDIL3, RADIL, MEGF10, CD47, CDH20, S1PR1, CD44, LOC100129652, ILK, ADAM9, F11R, MAGI1, CDHR1, PTPRS, PTPRT, SSPN, MYH9, CTNNA3, THY1, CTNNA2, NME2, LAMC3, NME1, CD34, NPTN, MADCAM1, LAMC1, TGFB1I1, ITGA2B, DCBLD2, DCBLD1, CDK5R1, ITGA11, ITGA10, SCRIB, ALCAM, SEMA5A, LOC652798, PVRL4, LGALS3BP, LAMB3, PVRL1, KAL1, BAI1, LAMB1, SPP1, RPSA, BMP1, CNKSR3, CELSR3, RPSAP8, CELSR2, RPSAP9, CELSR1, PMF1, EMILIN2, PCDH17, MCAM, ECM2, PCDH19, PCDH18, LAMA1, LAMA4, COL14A1, NLGN4Y, PKP1, LAMA5, PKP2, PKP3, NLGN4X, CD58, PKP4, ENG, NRP2, NRP1, MYBPC2, PCDHA2, PCDHA4, PCDHA1, CD151, SRPX, COL11A1, PCDHB9, ICAM1, PCDHB8, INPPL1, PCDH11X, SDK2, ICAM3, CPXM2, CD164, GPR98, AMIGO2, SLC26A6, SUSD5, SGCE, SEMA4D, ADAM12, PARVA, ADAM15, LIMS1, COL3A1, PCDHB14, PCDHB13, COL2A1, CLDN10, CLDN11, PCDHB11, PCDHB10, DCHS1, CLDN14, EZR, FAT4, PCDHB16, COL6A3, CD24, THBS2, THBS3, APBA1, THBS4, LOC284620, FLRT2, HAPLN1, RPSAP19, FLRT1, HAPLN4, HAPLN3, RPSAP18, RPSAP15, COL15A1, NLGN3, RPSAP12, CLDN23, ERBB2IP, COL29A1, CDH10, CDH11, CTNNAL1, MTSS1, THRA, LMO7, PNN, DAB1, TGFBI, ROBO2, NEGR1, FNDC3A, DSCAM, CIB1, EGFR, PCDHGA12, PCDHGA10, RET, COL22A1, ACTN2, MFGE8, AJAP1, ACTN3, CERCAM, NCAM1, NCAM2, PODXL2, LSAMP, GPR56, TESK2, EDA, RPSAP29, COL24A1, CXADRP2, DST, ACHE, C21ORF29, PKHD1, ITGB4, ASTN1, NEDD9, IL32, ITGB3, CX3CL1, SOX9, ITGB1, PCDHAC2, RPSAP61, PCDHAC1, ITGB8, RPSAP58, TRO, ITGAV, TEK, TTYH1, PCDHA10, SSX2IP, SCARB2, PCDHA13, FN1, B4GALT1, ADAM23, ITGA1, EFS, ITGA2, ITGA3, ITGA4, MUC4, OMD, CASS4, ITGA6, TMEM8B, ITGA5, FREM2, FREM1, TROAP, ADAM22, TRIP6, OMG, ABL2, C1ORF38, CLDN7, AEBP1, CLDN9, CLSTN2, CLDN4, CLDN3, IGFBP7, CLDN6, BCAM, CXADR, SDC3, CD97, ARHGAP6, PCDH1, WISP1, CD93, DGCR6, CNTNAP3, ESAM, CNTNAP1, MSN, LOXL2, KIRREL2, BOC, DLG1, NRXN2, CNTN6, CNTNAP5, PCDHGB7, LEF1, PCDH9, PCDHGB6, CHST4, PCDH8, NRXN1, PCDHGB4, ITGB1BP1, CD99L2, CNTN2, CLDN1, NCAN, AOC3, CD24L4, CTNND2, PCDHGC5, CNTNAP3B, KITLG, SPOCK1, PCDHGC4, CDH1, PCDHGC3, CDH2, CDH3, SCARF1, CDH5, LOC100133690, SCARF2, CDH6, CDH8, COL9A1, RGMB, COL17A1, ANXA9, COL27A1, COL8A1, SELPLG, BGLAP, SVEP1, TNXB, TNXA, GMDS, COL13A1, NFASC, CD99, COL5A1, COL4A6, NME1-NME2, NTM, MUC16, FEZ1	3306	701	13528	1.5877482086346268	1.731213936587327E-14	8.656069682936634E-15	6.4564755304637354E-15
GOTERM_BP_FAT	GO:0000902~cell morphogenesis	138	2.9632810822417865	1.790371444643697E-9	S100A4, PLXNA3, S100A6, NOG, EFNA2, DYNC2LI1, L1CAM, TGFB1, TGFB2, DAB2, ANK1, UNC5B, LOC100129652, FOXF1, ILK, ROBO2, UNC5C, DSCAM, EGFR, RXRA, KIF5C, VANGL2, VAX2, VAX1, MYH9, MARK2, CTNNA2, NCAM2, SLITRK4, SLITRK3, HIF1A, FOXG1, EFNA5, LAMC1, SLITRK6, DST, C1ORF187, CDK5R1, SSH1, DRD2, PKHD1, TFCP2L1, ERBB2, ONECUT2, ARPC4, TTC8, SOX6, EPHB3, SOX9, SCRIB, EPHB2, SEMA5A, ALCAM, MACF1, PVRL1, KAL1, LHX2, BAI1, B3GNT1, B3GNT2, LAMB1, RUNX3, FN1, HNRNPAB, BMP2, NTF3, ITGA1, CELSR3, ALMS1, DOCK7, NDC80, CELSR2, GAS7, ATP7A, FEZF2, SEMA6A, LAMA1, EPHA7, NOTCH1, LAMA5, ULK2, DLX5, PRICKLE2, MAP7, CACNA1F, CACNA1A, NRP2, NRP1, PAX6, GJA1, TTLL3, SLC1A3, SEMA3B, SEMA3A, CAP1, DLG1, PRKCA, EGR2, FOXJ1, OTX2, LEF1, NRXN1, BBS10, VASP, SMO, SLC26A6, ADM, CNTN2, NGFR, IFT88, GAP43, DCC, RAB3A, LIMS1, NDN, BRSK2, BRSK1, LOC100133690, EZR, CENPA, BCL11B, NEFL, DCLK1, NFATC1, NOX4, KLK8, CAP2, LIPA, PTPRZ1, TRIM28, MAP1B, NTNG1, NFASC, RTN4R, WWTR1, ISL1, ISL2, ERBB2IP, MAP1S, JAK2, APBB2, APBB1, FEZ1	3306	356	13528	1.5862068965517244	9.157707821283445E-6	3.0525785920110238E-6	3.4153367689526704E-6
GOTERM_BP_FAT	GO:0042127~regulation of cell proliferation	265	5.690358599957054	1.8833749788018E-9	DLC1, NOG, S100A6, IL6ST, OSMR, PGF, FGFRL1, ADORA1, MAGED1, CD47, CTTNBP2, S1PR3, ZFP91, CDCA7, S1PR1, DDX11, APOE, KIFAP3, ILK, CHRNA7, CCNA2, CAPNS1, RARG, RXRA, LIG4, CD40, MECOM, VASH2, VASH1, PDCD1LG2, VEGFC, NME2, MSX1, ADAMTS8, NOP2, SSTR1, NME1, FOXG1, PLA2G2A, TGIF1, PDGFRB, LAMC1, TGFB1I1, PMP22, GNAI2, ERBB2, LOC729342, PTH1R, IFI30, CALR, ADA, LIF, RAC2, LHX1, LOC652799, BAI1, PEMT, LHX5, LAMB1, TCF3, KLF5, BMP4, BMP2, SPHK2, CRIP2, TGFBR1, TGFBR2, KLF11, NPM1P21, S100A11, SMAD1, TAX1BP3, GUCY2C, LAMA1, NOTCH2, NOTCH1, C19ORF10, LAMA5, ETS1, DLX6, DLX5, ENG, PLAU, KLF4, ACVRL1, NRP1, PPARG, MITF, GJA1, ZEB1, GLI1, LOC399804, EDNRB, TNFRSF11A, CHST11, TICAM1, MTBP, TGFA, NOS2, IL13RA1, FGF1, CHRFAM7A, FGF2, FANCA, CDC7, CDC6, STS, ADAM10, CCKBR, CD164, MYCN, MXD4, ADM, TBX18, CXCL1, LOC100131044, CXCL5, TBC1D8, SFN, KIT, FTHL3, SPEG, BCL11B, CD24, LOC440577, ZFP91-CNTF, IL6, TBX3, JARID2, TRIM24, CNTF, BNC1, HBEGF, PBX1, PTCH1, NR5A2, TOB1, PDGFA, ATP6AP1, TGFB3, FOXO1, TTK, IL15, JAG1, PNP, TGFB1, IL31RA, IL11, TGFB2, TDGF3, CDKN2A, MYOCD, CDKN2B, CDKN2C, LOC100129500, LOC643778, TDGF1, PDGFC, ASPH, ODZ1, INSR, MATK, GNL3, EGFR, IRS2, RELA, MFGE8, VAX1, PTHLH, TNS3, HIF1A, TIMELESS, LOC653882, EMP3, CXADRP2, SMARCA2, NGF, FGFR2, CAV2, FGFR1, DERL2, FGFR4, CAV1, FGFR3, IFITM1, BLM, MVD, DRD2, SOX2, TIPIN, BMPR2, SOX9, IL34, TIMP2, SESN1, ITGB1, FTH1, TIMP1, IL12RB2, VDR, OVOL2, TEK, NPM1, ADRA2A, GRPR, RUNX2, RUNX3, B4GALT1, PTPN6, GNRH1, ITGA2, HDAC4, ATF3, LEPRE1, CD274, FABP3, BMI1, FOSL2, IGFBP7, IGFBP6, PAX6, PAWR, PRRX2, PAX3, CXADR, TENC1, GPC3, HMOX1, HEY2, PRKCA, LOC729686, FOXJ1, CDK6, RB1, GAL, SMO, PRKCQ, ADRB2, CTH, BTG2, NGFR, ICOSLG, ING5, PRKCZ, ING4, NDN, FOXM1, CD24L4, EGLN3, TNFRSF8, KITLG, S100A11P1, CDH5, TRIB1, MSX2, TGM2, FTHL16, INPP5D, PPAP2A, ING1, PINX1, SCG2, NOX4, CEBPA, NACC1, KAT2B, FLT1, NACC2, ANXA1, IDO1, SPARC, SIRT1, PPP1R9B, ID2, NME1-NME2, IRF6, DBP, ATP8A2, SP6, ID4, JAK2, IGFBP3, FTHL20, NFIB, IGFBP5, BMPR1A, LOC100129733, F2R	3306	787	13528	1.3778498298500053	9.63341679127705E-6	2.4083628981097505E-6	3.592751707248709E-6
GOTERM_BP_FAT	GO:0031175~neuron projection development	106	2.2761434399828215	2.6918975661501723E-9	PLXNA3, S100A6, EFNA2, L1CAM, PRKG1, GDNF, CD44, UNC5B, ILK, ROBO2, UNC5C, DSCAM, EGFR, STMN3, RXRA, KIF5C, VAX2, VAX1, CTNNA2, NCAM2, SLITRK4, SLITRK3, FOXG1, EFNA5, SLITRK6, DST, IGSF9, C1ORF187, NGF, FGFR1, CDK5R1, PKHD1, DRD2, ERBB2, EPHB3, EPHB2, SEMA5A, ALCAM, PVRL1, MACF1, LHX2, KAL1, BAI1, B3GNT1, B3GNT2, LAMB1, RUNX3, NTF3, ITGA1, CELSR3, CELSR2, DOCK7, GAS7, ATP7A, SEMA6A, FEZF2, EPHA7, NOTCH1, NEDD4, ULK2, DLX5, CACNA1F, CACNA1A, NRP2, NRP1, PAX6, GJA1, EFHD1, SEMA3B, SEMA3A, PRKCA, EGR2, OTX2, NRXN1, VASP, SMO, SLC26A6, ADM, CNTN2, NGFR, GAP43, DCC, RAB3A, NDN, CD24L4, CDH1, SCARF1, LOC100133690, LINGO1, BCL11B, CD24, NEFL, DCLK1, IL6, KLK8, GNAO1, PTPRZ1, MAP1B, NFASC, NTNG1, RTN4R, ISL1, PPP1R9B, ISL2, MAP1S, PHGDH, JAK2, APBB2, APBB1, FEZ1	3306	256	13528	1.694324712643678	1.3768961417359726E-5	2.753807450295298E-6	5.135100311637331E-6
GOTERM_BP_FAT	GO:0032989~cellular component morphogenesis	149	3.199484646768306	5.047098950740972E-9	S100A4, PLXNA3, S100A6, NOG, EFNA2, DYNC2LI1, L1CAM, TGFB1, TGFB2, DAB2, ANK1, UNC5B, LOC100129652, FOXF1, ILK, ROBO2, UNC5C, DSCAM, EGFR, RXRA, KIF5C, VANGL2, VAX2, MYH6, VAX1, MYH9, MARK2, CTNNA2, NCAM2, KRT19, SLITRK4, SLITRK3, HIF1A, FOXG1, EFNA5, LAMC1, SLITRK6, PMP22, DST, C1ORF187, CDK5R1, SSH1, DRD2, PKHD1, TFCP2L1, ERBB2, ONECUT2, ARPC4, TTC8, SOX6, EPHB3, SOX9, ITGB1, SCRIB, EPHB2, SEMA5A, ALCAM, C19ORF20, MACF1, PVRL1, KAL1, LHX2, BAI1, B3GNT1, OBSL1, B3GNT2, LAMB1, RUNX3, FN1, HNRNPAB, BMP2, NTF3, ITGA1, CELSR3, ALMS1, DOCK7, NDC80, CELSR2, MYOZ1, GAS7, ATP7A, FEZF2, LAMA1, SEMA6A, EPHA7, NOTCH1, LAMA5, ULK2, DLX5, PRICKLE2, MAP7, CACNA1F, CACNA1A, NRP2, NEURL, NRP1, PAX6, GJA1, TTLL3, SLC1A3, SEMA3B, SEMA3A, CAP1, DLG1, PRKCA, EGR2, ACTA1, FOXJ1, OTX2, LEF1, NRXN1, BBS10, VASP, SMO, SLC26A6, ADM, CNTN2, NGFR, IFT88, GAP43, DCC, RAB3A, LIMS1, NDN, BRSK2, BRSK1, LOC100133690, EZR, CENPA, BCL11B, NEFL, DCLK1, ERCC2, NFATC1, NOX4, KLK8, ACTC1, CAP2, LIPA, PTPRZ1, TRIM28, MAP1B, NTNG1, NFASC, RTN4R, WWTR1, ISL1, ISL2, ERBB2IP, MAP1S, JAK2, APBB2, APBB1, FEZ1	3306	397	13528	1.5357711572425374	2.5815578022836405E-5	4.302642618747576E-6	9.62791413261499E-6
GOTERM_BP_FAT	GO:0030030~cell projection organization	140	3.006227184882972	5.6315480836606164E-9	MTSS1, PLXNA3, S100A6, PDGFA, EFNA2, DYNC2LI1, LPAR3, L1CAM, PRKG1, GDNF, UNC5B, CD44, ILK, ROBO2, UNC5C, DSCAM, EGFR, STMN3, RXRA, KIF5C, VANGL2, VAX2, ACTN2, VAX1, MYH9, CTNNA2, NCAM2, SLITRK4, SLITRK3, FOXG1, SDCBP, EFNA5, SLITRK6, IGSF9, DST, C1ORF187, NGF, FGFR1, CDK5R1, DRD2, PKHD1, ERBB2, ONECUT2, ITGB4, ARPC4, TTC8, EPHB3, EPHB2, SEMA5A, ALCAM, C19ORF20, MACF1, RAC2, PVRL1, KAL1, LHX2, BAI1, B3GNT1, B3GNT2, LAMB1, FGD5, RUNX3, FGD4, KLF5, VAV3, NTF3, ITGA1, CELSR3, ALMS1, DOCK7, CELSR2, GAS7, ATP7A, FEZF2, SEMA6A, EPHA7, NOTCH1, ITGA6, LAMA5, NEDD4, ULK2, DLX5, CACNA1F, CACNA1A, NRP2, LIMA1, NEURL, NRP1, PAX6, GJA1, TTLL3, EFHD1, TTC30A, SEMA3B, SEMA3A, PRKCA, EGR2, FOXJ1, OTX2, NRXN1, LPIN1, BBS10, GPR98, VASP, SMO, SLC26A6, ADM, CNTN2, NGFR, IFT88, GAP43, DCC, RAB3A, NDN, CD24L4, CDH1, SCARF1, LOC100133690, LINGO1, BCL11B, CD24, NEFL, DCLK1, THBS4, DNM3, IL6, KLK8, GNAO1, BAIAP2L2, PTPRZ1, BAIAP2L1, MAP1B, NTNG1, NFASC, RTN4R, WWTR1, ISL1, PPP1R9B, ISL2, MAP1S, PHGDH, JAK2, APBB2, APBB1, FEZ1	3306	368	13528	1.55672163918041	2.880495382751036E-5	4.115044204389129E-6	1.0742817180275921E-5
GOTERM_BP_FAT	GO:0006928~cell motion	172	3.6933648271419366	6.528027278784327E-9	CTHRC1, MTSS1, PLXNA3, PLXNA2, EFNA2, LOC729841, CAPZA1, L1CAM, PRKG1, GDNF, TGFB1, TGFB2, CTTNBP2, APOB, DAB1, APOA1, UNC5B, CD44, ROBO2, UNC5C, TWIST1, RET, SATB2, PLXNB1, MDGA1, KIF5C, EMX2, VAX1, CERCAM, MYH9, CTNNA2, PLAUR, VEGFC, TNS3, HIF1A, TNS1, C14ORF104, CD34, LYST, SIX1, FOXG1, SDCBP, PDGFRB, LOC653882, EFNA5, LAMC1, C1ORF187, DNAH11, CAV2, CDK5R1, DRD2, ERBB2, ASTN1, ITGA11, GIPC1, CX3CL1, ARPC5, EPHB3, ITGB1, SCRIB, EPHB2, ALCAM, SEMA5A, MACF1, ARPC3, PVRL1, OVOL2, ARPC2, KAL1, LOC652799, LHX2, ADRA2A, SBDSP1, B3GNT1, LHX6, STRBP, B3GNT2, RUNX3, ARHGDIA, FN1, ARHGDIB, B4GALT1, PLAT, VAV3, NTF3, TGFBR1, PODXL, MET, ITGA1, ITGA2, ITGA4, FEZF2, LAMA1, SEMA6A, EPHA7, PARP9, ITGA6, LAMA5, ETS1, ITGA5, ENG, PLAU, NRP2, NEURL, TLN1, NRP1, ACVRL1, PAX6, PEX5, ZEB2, PAX3, PEX7, CD97, ACTR3, ACTR2, EDNRB, SBDS, LOC729494, SEMA3C, SEMA3B, SEMA3A, MSN, CAP1, NR2F2, FGF2, NR2F1, PRKCA, ICAM1, EGR2, FOXJ1, ARID5B, OTX2, CHST4, NRXN1, MMP14, VASP, SMO, HIST1H1T, ITGB1BP1, CNTN2, NGFR, GAP43, DCC, NDN, CXCL3, VIM, CD24L4, ABI3, KITLG, SPOCK1, DNAH1, KIT, CDH2, DNAH5, LOC100133690, DNER, CD24, SCNN1G, PPAP2A, PPAP2B, SELPLG, DCLK1, THBS4, SCG2, IL6, FLT1, NFASC, ANXA1, TBX1, ISL1, COL5A1, LSP1, ISL2, ID1, HBEGF, KPTN, JAK2, APBB2, APBB1, FEZ1	3306	475	13528	1.4817180883242589	3.339030192128778E-5	4.173848713207029E-6	1.2452952724562039E-5
GOTERM_BP_FAT	GO:0030182~neuron differentiation	159	3.414215159974232	2.114347311842184E-8	PLXNA3, S100A6, TUBB2A, EFNA1, EFNA2, L1CAM, JAG1, PRKG1, GDNF, TGFB2, ZFP91, GATA2, S1PR1, UNC5B, CD44, MC1R, MCOLN3, ILK, ROBO2, UNC5C, DSCAM, EGFR, RET, STMN3, EMX1, STMN2, MDGA1, RXRA, KIF5C, EMX2, VAX2, VAX1, CTNNA2, THY1, NCAM2, SLITRK4, SLITRK3, RND1, FOXG1, EFNA5, SLITRK6, SMARCA1, IGSF9, DST, C1ORF187, NGF, FGFR1, CDK5R1, DRD2, PKHD1, ERBB2, SOX2, ONECUT2, SOX5, PPT1, EPHB3, EPHB2, SEMA5A, LIF, ALCAM, MACF1, PVRL1, LHX1, KAL1, LHX2, BAI1, B3GNT1, LHX5, LHX6, B3GNT2, LAMB1, RUNX3, C17ORF28, BMP4, NTF3, TGFBR1, ITGA1, CELSR3, ALMS1, DOCK7, CELSR2, GAS7, EPHA2, GNAT2, NOTCH3, SALL3, ATP7A, FEZF2, SEMA6A, EPHA7, NOTCH1, NEDD4, ULK2, DLX5, NTRK2, CACNA1F, CACNA1A, NRP2, NRP1, USH1G, PAX6, GJA1, PEX5, PAX3, EFHD1, GPC2, SLC1A3, DYNLL2, SEMA3B, SEMA3A, TUBB3, PRKCA, EGR2, OTX2, NRXN1, GPR98, VASP, SMO, PRKCQ, SLC26A6, BTG2, ADM, CNTN2, NGFR, CLN5, GAP43, DCC, RAB3A, NDN, CD24L4, BRSK2, CDH1, BRSK1, SCARF1, LOC100133690, LINGO1, BCL11B, PCSK9, CD24, NEFL, DCLK1, ZFP91-CNTF, DFNA5, KLK8, IL6, GNAO1, PTPRZ1, MAP1B, NTNG1, NFASC, RTN4R, ISL1, TP73, PPP1R9B, ISL2, CNTF, MAP1S, PHGDH, JAK2, ID4, ID3, PBX3, APBB2, APBB1, NTM, FEZ1	3306	438	13528	1.485435364509526	1.0814301808748095E-4	1.2016468464493002E-5	4.033356889587836E-5
GOTERM_BP_FAT	GO:0048858~cell projection morphogenesis	99	2.125832080738673	4.0648316874747696E-8	S100A6, PLXNA3, EFNA2, DYNC2LI1, L1CAM, UNC5B, ILK, ROBO2, UNC5C, DSCAM, EGFR, RXRA, VANGL2, KIF5C, VAX2, VAX1, CTNNA2, NCAM2, SLITRK4, SLITRK3, FOXG1, EFNA5, SLITRK6, DST, C1ORF187, CDK5R1, PKHD1, DRD2, ERBB2, ONECUT2, ARPC4, TTC8, EPHB3, EPHB2, SEMA5A, ALCAM, PVRL1, MACF1, LHX2, KAL1, BAI1, B3GNT1, B3GNT2, RUNX3, NTF3, ITGA1, CELSR3, ALMS1, CELSR2, DOCK7, GAS7, ATP7A, SEMA6A, FEZF2, NOTCH1, EPHA7, LAMA5, ULK2, DLX5, CACNA1F, CACNA1A, NRP2, NRP1, PAX6, GJA1, TTLL3, SEMA3B, SEMA3A, PRKCA, EGR2, FOXJ1, OTX2, NRXN1, BBS10, VASP, SMO, SLC26A6, ADM, CNTN2, NGFR, IFT88, GAP43, DCC, RAB3A, NDN, LOC100133690, BCL11B, NEFL, DCLK1, KLK8, PTPRZ1, MAP1B, NFASC, NTNG1, RTN4R, ISL1, WWTR1, ISL2, MAP1S, JAK2, APBB2, APBB1, FEZ1	3306	245	13528	1.6534834623504573	2.0789453171476957E-4	2.0791398333774858E-5	7.754125312953164E-5
