Term	Sample	Enrichment	Bonferroni
Ribosome	H9	1.884658691062632	2.1871393585115584E-14
Wnt signaling pathway	H9	1.4844708744424924	1.6030757684637464E-6
Proteasome	H9	1.6780720798957882	0.0031335070185841696
VEGF signaling pathway	H9	1.5220408163265304	0.00414280439739978
Cell cycle	H9	1.394742857142857	0.004707897218461987
TGF-beta signaling pathway	H9	1.4790992258972555	0.004721533664745592
Ubiquitin mediated proteolysis	H9	1.3634738566959632	0.008623140753237668
Neurotrophin signaling pathway	H9	1.3725148123765636	0.014162812313291306
Colorectal cancer	H9	1.457798833819242	0.01504192598704479
MAPK signaling pathway	H9	1.2437514331575328	0.016057398539184753
Pancreatic cancer	H9	1.4701530612244897	0.036953875427188754
Alzheimer's disease	H9	1.2987855264805308	0.04260195536585676
p53 signaling pathway	H9	1.4650660264105642	0.06715799010533108
Pyrimidine metabolism	H9	1.376390977443609	0.09744888865474932
Apoptosis	H9	1.383673469387755	0.13724774810773144
Epithelial cell signaling in Helicobacter pylori infection	H9	1.4345438175270109	0.15533301101614772
DNA replication	H9	1.6142857142857143	0.16708551070367839
Homologous recombination	H9	1.7048833819241984	0.1730797837186696
Amyotrophic lateral sclerosis (ALS)	H9	1.4881016557566424	0.19665870664653085
T cell receptor signaling pathway	H9	1.3260204081632654	0.21833136260888186
