Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa03010:Ribosome	79	0.8043987373994501	1.4774688116693157E-16	RPL18, RPL17, RPS27P13, RPS8P10, RPL19, RPL14, RPS27P19, RPL13, RPL15, RPLP2, RPL39P27, RPS27P6, RPS4XP6, RPS27P7, RPS27P9, RPS18P12, RPL39P32, RPL12P14, RPS25P8, RPLP0, RPLP1, RPL23P6, RPL26L1, RPL12P19, RPL10, RPL10AP9, RPL11, RPL29P26, RPL12, RPL10AP6, RSL24D1P11, SNORA7A, SNORA7B, RPS27P29, RPL13P12, RPS2P8, RPS27P21, RPS2P5, RPS27P23, RPL39P20, RPS18, RPS19, RPS16, RPS15, RPS12, RPS29P3, RPS13, RPS10, RPS11, RPL13AP7, RPL31P17, RPS4XP13, RPS29P9, RPL21P20, RPL21P29, RPL13AP5, RPL21P28, RPS25, RPS26, RPS27, RPS28, RPL39P13, RPL12P32, RPS29, RPL39P10, RPL12P35, RPS9P4, RPS7P4, RPS20, RPS21, RPS23, RPS24, RPSA, RPL21P14, RPS9, RPSAP8, RPSAP9, RPS6, RPL21P16, RPS5, RPS8, RPS7, RPL18A, RPS26P6, RPL29P11, RPS26P2, RPL29P12, RPLP0P6, RPS26P8, RPL21P128, RPS19P3, RPLP0P2, RPL21P125, RPLP0P3, RPL23AP37, RPL23AP44, RPL21P120, RPS26P39, RPS26P38, RPL12P6, RPL23AP43, RPS26P35, RPL12P2, RPLP2P3, RPS26P31, RPL24P6, RPL26P6, RPS15P5, RPS16P1, RPL21P119, RPS3P3, RPL31P49, RPL41, RPS26P25, LOC100131699, RPL3L, RPS26P20, RPL10P9, RPL10P6, RPL27A, RPL17P7, RPL37, RPL21P105, RPL38, RPL39, RPL17P9, RPL13AP18, RPL30, RPL13AP16, RPL32, RPS11P5, RPL31, RPL34, RPS6P1, RPS12P4, RPS26P50, RPS12P9, RPS26P53, RPS26P54, RPS16P10, RPSAP19, RPSAP18, RPSAP15, RPL26, RPL27, RPL24, RPSAP12, RPL28, RPL29, LOC100130107, RPL23, RPL22, RPL21, RPS15AP24, RPL36A, RPL17P39, RPL7AP27, RPS27L, RPL21P93, RPL21P87, RPS27A, RPL36AL, RPS15AP12, RPS15AP11, RPL35A, RPL7AP30, RPL26P33, RPS15AP17, RPL21P80, LOC729046, RPL9P25, RPS6P25, RPS3AP5, RPL15P7, RPS15AP19, RPL15P3, LOC653881, RPSAP29, RPL22P11, UBA52, RPL17P18, RPS2P55, RPL21P131, RPL21P134, RPSAP61, RPL7, RPL6, RPL9, RPSAP58, RPL8, RPL3, RPL17P20, RPL5, RPL26P19, RPL4, RPL7A, RPL10A, RPL17P22, RPS2P51, RPL26P16, RPS29P11, RPL23A, RPL7AP11, RPS29P17, RPS29P16, HNRNPH2, RPL21P98, RPL21P97, RPS7P10, RPL37A, RPS7P11, RPL17P33, RPL17P34, RPL17P36, RPL10P15, RPL8P2, RPL7AP66, RPL6P27, RPL7AP62, RPS2, RPL10P16, RPS3, RPL5P1, RPL7P20, RPS3A, RPL7P24, RPL4P4, RPL7P23, RPL4P5, RPL7P26, RPL21P46, RPL21P45, RPS10P11, RPS10P13, RPS12P11, RPL15P22, RPS4X, RPL6P10, RPL7AP70, RPL23AP65, RPL15P18, RPL15P17, RPL21P39, RPL7P32, RPL23AP63, RPL5P34, RPL6P19, RPL21P37, RPS18P5, RPS2P17, RPS3AP49, RPS10P22, RPS3AP47, RPS27AP11, RPS15A, RPS2P11, RPS27AP12, RPS2P12, RPL36AP49, RPS27AP16, RPL36AP51, RPL23AP75, RSL24D1, RPS13P8, RPL21P69, RPS13P2, RPS10P7, RPS10P4, RPS8P8, RPS2P20, RPL36AP37, RPS28P6, RPL13A, RPS28P9, RPL29P9, RPL7P16, RPL19P12, RPL18AP6, RPL21P53	2450	87	5085	1.884658691062632	2.1871393585115584E-14	2.1871393585115584E-14	1.4432899320127035E-13
KEGG_PATHWAY	hsa04310:Wnt signaling pathway	108	1.0996843498625395	8.137446992258879E-9	PPP2R5B, PPP2R5A, WNT3A, BTRC, PPP2R5D, PPP2R5C, PRKX, MAP3K7, WNT4, WNT3, PRKACA, PRKACB, WNT6, CUL1, WNT10A, WNT10B, ROCK1, VANGL1, ROCK2, VANGL2, CHP2, SKP1, MAPK9, MAPK8, PPP2R5E, LOC728622, WNT5A, WNT5B, CXXC4, RBX1, RAC2, RAC3, RAC1, AXIN2, AXIN1, TCF7, LY6G5B, SMAD4, SMAD3, SMAD2, PORCN, SFRP5, SFRP1, SFRP2, SFRP4, PPARD, PLCB3, PLCB4, MYC, PLCB2, FOSL1, PRKCA, PPP2R1B, PPP2R1A, TBL1XR1, TP53, LEF1, PRKCG, PRKCB, SENP2, CTNNBIP1, CCND1, PSEN1, CCND3, CCND2, WNT9B, SIAH1, WNT11, RUVBL1, WNT9A, CER1, WNT16, NKD1, NKD2, CAMK2G, PPP3R1, PPP3R2, TCF7L2, TCF7L1, CHD8, PPP2CA, PPP2CB, PPP3CB, CAMK2D, PPP3CC, NFATC4, PPP3CA, NFATC2, NFATC3, CAMK2A, NFATC1, WNT8B, FZD9, FZD8, NLK, FZD1, CSNK2B, FZD3, MAPK10, FZD5, FZD4, FZD7, WNT2B, FZD6, WNT7B, ROCK1P1, LRP6, TBL1X, WNT7A, LRP5	2450	151	5085	1.4844708744424924	1.6030757684637464E-6	8.015382054749054E-7	1.0174201214852019E-5
KEGG_PATHWAY	hsa03050:Proteasome	38	0.3869259749516343	1.5930973261547138E-5	PSMB10, SHFM1, PSMA7, PSMB5, PSMB4, PSMF1, PSMB7, PSMB6, PSMB1, PSMB3, PSMD1, PSMB2, PSMD2, PSMD3, PSMD4, PSMD6, PSMD7, PSMD8, LOC643668, PSMB8, PSMB9, PSMA2, PSMA1, PSMC6, PSMD13, PSMC5, PSMA6, PSME1, PSMC4, PSMD12, PSMA5, PSMD11, PSME2, PSMC3, PSMC2, PSMA4, PSMA3, PSMC1, POMP, LOC652826	2450	47	5085	1.6780720798957882	0.0031335070185841696	0.0010455952278695113	0.019916576530909502
KEGG_PATHWAY	hsa04370:VEGF signaling pathway	55	0.560024437429997	2.107292307025757E-5	PTGS2, LOC100271831, CDC42, CASP9, CDC42P2, PIK3CA, NOS3, PRKCA, PIK3CG, PIK3CB, PIK3CD, CHP2, PRKCG, PRKCB, MAPK1, SH2D2A, MAPK3, VEGFA, PLA2G2A, PLA2G6, PLA2G3, PPP3R1, MAPKAPK3, PPP3R2, MAPKAPK2, SRC, PXN, LOC407835, JMJD7-PLA2G4B, PTK2, RAC2, RAC3, PLA2G12A, RAC1, PPP3CB, PPP3CC, NFATC4, PPP3CA, PIK3R3, NFATC2, NFATC3, PIK3R1, NFATC1, PIK3R2, PLA2G10, SPHK2, MAP2K1, MAP2K2, SPHK1, RAF1, MAPK11, BAD, NRAS, PLA2G4A, PLCG1, MAPK12, MAPK13, JMJD7, PLCG2, PLA2G4B	2450	75	5085	1.5220408163265304	0.00414280439739978	0.001037314014013857	0.026344157793289913
KEGG_PATHWAY	hsa04110:Cell cycle	84	0.8553100498930863	2.3954100264774342E-5	MAD1L1, CDC14A, CDC14B, TGFB3, PKMYT1, TTK, PTTG2, CDC16, PTTG1, TGFB1, TGFB2, CCNE2, LOC440917, CCNE1, CDC45, RAD21, MCM7, ORC4L, CCNA1, MYC, CCNA2, CUL1, CDC7, LOC651610, ANAPC1, CDC6, CDK1, ANAPC5, RBL2, CCNH, RBL1, TP53, SKP2, ESPL1, LOC651921, RB1, MCM2, SKP1, MCM3, MCM4, WEE1, MCM5, ORC1L, WEE2, MCM6, CCND1, MAD2L1, CCND3, CCND2, BUB1B, ORC5L, MDM2, ANAPC7, GADD45B, LOC728622, YWHAZ, FZR1, LOC100133012, PRKDC, ANAPC11, CHEK2, ZBTB17, LOC100133898, RBX1, ORC2L, LOC648152, LOC100133982, BUB1, TFDP2, BUB3, TFDP1, SMAD4, YWHAB, SMAD3, CDC23, CDC20, SMAD2, ATR, CDC25C, CDC27, YWHAE, SMC3, ATM, CDC25A, CDC25B, CCNB1, YWHAG, CCNB2, YWHAH, PLK1, LOC646096, PCNA, LOC731751, SMC1A	2450	125	5085	1.394742857142857	0.004707897218461987	9.433576126224308E-4	0.02994554378170644
KEGG_PATHWAY	hsa04350:TGF-beta signaling pathway	62	0.6313002749210874	2.4023647037061845E-5	NOG, LTBP1, ACVRL1, LOC100271831, TGFB3, RPS6KB2, RPS6KB1, TGFB1, TGFB2, ACVR1B, ZFYVE9, ZFYVE16, LOC643778, MYC, CUL1, PITX2, PPP2R1B, PPP2R1A, ROCK1, RBL2, ROCK2, NODAL, RBL1, SKP1, MAPK1, ACVR2A, ACVR2B, INHBE, MAPK3, LOC728622, ACVR1, TNF, BMPR2, RBX1, PPP2CA, PPP2CB, LEFTY2, THBS1, THBS2, THBS3, THBS4, TFDP1, BMP4, BMP2, SMAD9, SMAD7, SMAD6, TGFBR1, SMAD5, TGFBR2, SMAD4, SMAD3, SMAD2, SMAD1, SP1, ROCK1P1, SMURF2, SMURF1, BMPR1B, BMP7, CHRD, BMP8B, BMP5, BMP6, BMPR1A	2450	87	5085	1.4790992258972555	0.004721533664745592	7.884748760355054E-4	0.030032473707719554
KEGG_PATHWAY	hsa04120:Ubiquitin mediated proteolysis	90	0.9164036248854495	4.3961141082434046E-5	BTRC, CDC16, CUL3, CUL2, CUL5, CUL7, KLHL9, LOC100132973, ITCH, CUL1, ANAPC1, ANAPC5, UBE2MP1, SOCS3, SOCS1, SKP2, UBE2J1, SKP1, TRIM37, PIAS4, UBR5, PIAS2, PIAS1, ANAPC7, LOC728622, FZR1, SYVN1, UBA6, KEAP1, CDC34, ANAPC11, RBX1, UBE2D4, FBXW7, UBE2D3, UBE2D2, UBE2D3P, LOC652346, LOC100133982, TRAF6, UBE2D1, CDC23, UBE2L6, CDC20, UBE2L3, CDC27, BRCA1, CBLB, RNF7, UBA1, NEDD4, UBA3, SMURF2, SMURF1, UBE2E2, UBE2E1, UBE2G1, UBE2G2, LOC730429, FANCL, UBE2A, UBE2I, HERC3, UBE2H, HERC2, HERC1, UBE2B, RFWD2, UBE2N, UBE2O, UBE2M, KLHL13, MDM2, UBE2W, SIAH1, UBE2Z, UBE3B, UBE3A, PML, UBE3C, LOC100133898, UBE2R2, MAP3K1, TRIP12, UBE4A, VHL, CBL, BIRC6, PARK2, UBE2Q2, MID1, UBE2Q1, CUL4A, TCEB2, DET1, TCEB1, CUL4B	2450	137	5085	1.3634738566959632	0.008623140753237668	0.0012364542680363133	0.054950459124736284
KEGG_PATHWAY	hsa04722:Neurotrophin signaling pathway	82	0.8349455248956318	7.240378513554554E-5	LOC100271831, NFKB1, LOC442113, MAGED1, LOC440917, CDC42, MAP3K5, BDNF, CDC42P2, PIK3CA, SHC1, SHC3, MAP2K7, MAP2K5, PIK3CG, IRS4, IRS2, BRAF, PIK3CB, RELA, PIK3CD, TP53, LOC100127984, ATF4C, KIDINS220, PRKCD, MAPK1, CAMK4, PSEN1, MAPK3, MAPK9, SORT1, RIPK2, MAPK8, NGFR, MAPK7, NGF, YWHAZ, NFKBIE, NFKBIB, CAMK2G, NFKBIA, MAPKAPK2, IRAK4, LOC407835, MAP3K3, SOS1, BCL2, MAP3K1, RAC1, SOS2, CAMK2D, TRAF6, PIK3R3, CAMK2A, PIK3R1, PIK3R2, PDK1, NTF4, MAP2K1, NTF3, MAP2K2, YWHAB, LOC344593, RAF1, MAPK11, BAD, MAPK10, YWHAE, TP73, PTPN11, RPS6KA5, NTRK3, NRAS, RPS6KA3, ATF4, YWHAG, YWHAH, RPS6KA4, RPS6KA1, MAPK12, PLCG1, RPS6KA2, MAPK13, BAX, PLCG2, NTRK2, CALM3, RAP1A, RAP1B, CALM2, CALM1	2450	124	5085	1.3725148123765636	0.014162812313291306	0.0017814191439743388	0.09048833554802238
KEGG_PATHWAY	hsa05210:Colorectal cancer	59	0.6007534874249058	7.69320820466602E-5	LOC100271831, TGFB3, MLH1, TGFB1, TGFB2, ACVR1B, CASP3, CASP9, PIK3CA, MYC, PIK3CG, BRAF, PIK3CB, PIK3CD, CYCS, TP53, LEF1, MAPK1, CCND1, MAPK3, PDGFRA, PDGFRB, MAPK9, MAPK8, TCF7L2, TCF7L1, RAC2, RAC3, BCL2, SOS1, SOS2, RAC1, PIK3R3, AXIN2, PIK3R1, AXIN1, PIK3R2, FZD9, FZD8, TCF7, MSH3, MAP2K1, MSH2, TGFBR1, MET, TGFBR2, FZD1, SMAD4, SMAD3, RAF1, FZD3, SMAD2, BAD, MAPK10, FZD5, FZD4, RALGDS, FZD7, FZD6, BAX	2450	84	5085	1.457798833819242	0.01504192598704479	0.0016826054040330884	0.09614517741303175
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	160	1.629161999796355	8.216776861258895E-5	MEF2C, FGF19, FGF18, PDGFB, ZAK, PDGFA, FGF17, FGF16, TGFB3, PRKX, TGFB1, TGFB2, MAP3K7, MAP3K6, MAP3K5, BDNF, MAP3K4, CDC42P2, RRAS, PRKACA, PRKACB, RAPGEF2, MAP2K7, MAP2K6, MAP2K5, MAPKSP1, BRAF, RELA, RELB, CHP2, PTPRR, FGF23, ATF4C, STK4, STK3, MAP4K3, MAP4K4, MAPK1, ARRB2, RASGRF2, RASGRF1, ARRB1, MAPK3, PDGFRA, PLA2G2A, MAPK9, PDGFRB, MAPK8, MAPK7, PPP5C, NGF, TRAF2, MAPKAPK5, CACNB1, MAPKAPK3, MAP4K2, CACNB2, CACNB3, CACNB4, MAPKAPK2, SRF, LOC407835, RAC2, RAC3, RAC1, DUSP16, TRAF6, PTPN7, CACNA2D1, NTF4, NTF3, TAOK2, MAP2K1, TAOK1, MAP2K2, PTPN5, TGFBR1, MAP2K3, TAOK3, MAP2K4, CACNA1I, TGFBR2, LOC100131098, CACNA2D3, CACNA1S, CACNA2D2, CACNA2D4, PLA2G4A, ATF4, IKBKG, NTRK2, CACNA1G, RAP1A, CACNA1H, RAP1B, CACNA1E, CACNA1F, CACNA1C, CACNA1D, PLA2G4B, CACNA1A, CACNA1B, LOC100271831, NFKB1, NFKB2, CDC42, MAX, ACVR1B, CASP3, PAK2, MAPT, PAK1, MYC, PRKCA, CACNG8, CACNG7, CACNG6, TP53, LOC100127984, PRKCG, CACNG1, ECSIT, PRKCB, PLA2G6, PLA2G3, GADD45B, MAP3K14, MAP3K13, MAP3K12, LOC100133567, MAP3K11, TNF, PPM1A, PPP3R1, MKNK1, PPP3R2, GNG12, PPM1B, TNFRSF1A, JMJD7-PLA2G4B, MAP3K3, SOS1, MAP3K1, PLA2G12A, SOS2, PPP3CB, PPP3CC, NFATC4, PPP3CA, NFATC2, RASA1, RASA2, PLA2G10, NLK, NF1, RAF1, MAPK11, MAPK10, CDC25B, RPS6KA5, NRAS, RPS6KA3, RPS6KA4, MAPK12, RPS6KA1, MAPK13, RPS6KA2, JMJD7, MAPK8IP1	2450	267	5085	1.2437514331575328	0.016057398539184753	0.001617462044030682	0.10268533770381172
