Term	Enrichment	Bonferroni
neuron differentiation	2.3022577828641335	3.8236757459336486E-33
cell adhesion	1.8650671330829776	7.173150188100601E-25
biological adhesion	1.8624065522939859	9.320020629266016E-25
cell projection organization	2.223920088929248	4.4471080910264635E-24
neuron development	2.2704665270877613	1.1646831566321716E-23
cell morphogenesis involved in differentiation	2.5155817399363625	2.5718942225859402E-23
neuron projection development	2.3976638458768456	7.129911336042915E-21
cell morphogenesis involved in neuron differentiation	2.563917897011163	7.620125613525636E-21
neuron projection morphogenesis	2.5386398332378137	1.3382314734391507E-20
cell motion	1.9793446164926176	1.7585675468134374E-20
axonogenesis	2.599786178471941	6.188059534525056E-20
cell morphogenesis	2.1346777097587326	7.18602890951203E-20
cell projection morphogenesis	2.366129944956016	6.181797999647845E-19
cellular component morphogenesis	2.0246555685465983	2.894121401629617E-18
cell part morphogenesis	2.2644602988836873	5.74169110091584E-17
cell migration	1.976817856825998	1.8004597812648626E-10
localization of cell	1.9041474935457496	4.790412511113118E-10
cell motility	1.9041474935457496	4.790412511113118E-10
cell-cell adhesion	1.9591676973900518	4.822853227892665E-10
regulation of neurogenesis	2.25964571284779	8.391332073642843E-10
