Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0030182~neuron differentiation	207	5.133928571428571	7.851490238056774E-37	S100A6, TUBB2B, EFNA2, L1CAM, RORB, PRKG1, SHH, ATP2B2, MC1R, CD44, NKX6-2, ILK, EMX1, EFNB3, MDGA1, RXRA, EFNB1, KIF5C, BARHL2, NKX2-8, PTPRR, CTNNA2, THY1, HES1, RND1, HES5, TRAPPC4, CDK5R1, LPPR4, EPHB3, EPHB1, OTP, ARX, LIF, PVRL1, LHX1, KAL1, BAI1, NKX2-1, LHX5, OLFM3, LAMB1, NKX2-2, CELSR3, ALMS1, PCDH12, EN1, CELSR2, EN2, GAS1, NKX6-1, NOTCH3, NTRK3, DLX2, EPHA4, SEMA6A, DLX1, NOTCH1, EPHA7, SEMA6C, DLX5, NTRK2, MAP2, CHRNB2, NRP2, CCKAR, NRP1, FOXA2, RTN1, DFNB31, EFHD1, DYNLL2, SEMA3B, SEMA3A, TUBB3, STX3, SLIT1, GPR98, SLIT2, SLIT3, SLC26A6, ADM, CLIC5, VCAN, RAB3A, TH, HPRT1, BCL11B, BCL2, PCSK9, CD24, SNAP25, DFNA5, PLA2G10, LMX1B, PTPRZ1, RTN4R, NTNG2, LMX1A, NEUROD4, APBB2, WNT7A, WNT3A, JAG1, CXCL12, NR2E1, TGFB2, NRCAM, WNT1, GATA2, UNC5B, ROBO1, OLIG1, ROBO2, UNC5C, OLIG2, SS18L1, DSCAM, EGFR, STMN2, BAIAP2, LOC642132, VAX1, FOXN4, SLITRK2, ASCL1, SLITRK1, NCAM2, SLITRK3, RASGRF1, RELN, SLITRK6, IGSF9, SLITRK5, C1ORF187, KALRN, SOX1, PKHD1, SOX2, CLU, ONECUT2, SOX5, DSCAML1, CRB1, B3GNT1, B3GNT2, C17ORF28, FSCN2, GSX2, SPTBN4, FOXA1, NR4A2, NEUROG1, NEUROG2, NTN1, NTN3, CDKN1C, FEZF1, SALL3, FEZF2, ULK1, NEDD4, LOC100129095, OPCML, ATL1, PAX3, PAX2, GPC2, SLC1A3, CXCR4, CNTNAP2, POU4F1, PRKCA, EGR2, NRXN3, OTX2, NRXN1, VASP, SMO, PRKCQ, BTG2, PSD, CNTN2, CNTN4, NGFR, CUX1, GAP43, DCC, IRX5, RTN4RL1, CD24L4, BRSK2, BRSK1, SCARF1, ALDH1A2, LINGO1, IGF1R, POU3F4, POU3F2, TNN, DCX, NEFL, DCLK1, ACTB, GNAO1, CEBPB, DPYSL5, NFASC, ISL1, ID4, ID3, BMPR1B, NTM	2777	438	13528	2.3022577828641335	3.8236757459336486E-33	3.8236757459336486E-33	1.4900402363303472E-33
GOTERM_BP_FAT	GO:0007155~cell adhesion	268	6.646825396825397	1.4729261166531008E-28	DLC1, ITGB3BP, CADM3, CADM1, NELL2, POSTN, L1CAM, RADIL, CD2AP, CDH22, CD44, LOC100129652, ILK, ADAM9, EFNB1, CDHR1, PTPRS, CDHR5, PTPRT, SSPN, MYH9, SSPO, SIRPA, CTNNA3, THY1, CTNNA2, JUP, HES1, NME2, PGM5, HES5, NME1, CD34, NPTN, ROR2, LAMC2, RAB13, LAMC1, TGFB1I1, UNCX, DCBLD2, DCBLD1, CDK5R1, PCDH20, ITGA10, ARF6, SCRIB, PXN, NPHP4, LAMB3, PVRL1, KAL1, PVRL3, BAI1, LAMB1, BMP1, PPFIBP1, CELSR3, PCDH12, PCDH15, CELSR2, CELSR1, COL16A1, MCAM, ECM2, PCDH19, PCDH18, EMILIN1, LAMA2, LAMA1, LAMA4, COL14A1, LAMA5, NLGN4X, FCGBP, ENG, NRP2, PCDHA6, PCDHA7, PCDHA8, NRP1, PCDHA9, PCDHA3, PCDHA4, NPNT, PCDHA5, FERMT1, PCDHA1, CD151, SRPX, COL11A2, CEACAM1, LOC730351, ICAM1, PCDHB8, PCDHB5, PCDHB3, SDK2, PCDHB4, SDK1, CPXM2, CD164, GPR98, ARVCF, SLC26A6, CPXM1, SUSD5, VCAN, ADAM12, CHL1, PARVB, PARVA, ADAM15, PPFIA2, DCHS2, COL3A1, COL2A1, NEO1, PCDHB11, EZR, FAT3, COL7A1, FAT4, BCL2, COL6A3, PKD1, TSTA3, CD24, THBS2, THBS4, LOC284620, FLRT3, FLRT2, FLRT1, HAPLN4, LRRN2, NLGN1, CLDN22, NLGN2, NLGN3, NID1, NID2, CDH12, CDH13, CDH18, FBLN7, COL29A1, PERP, CDH10, CTNNAL1, MTSS1, LMO7, MMRN1, CXCL12, VCL, NRCAM, DAB1, ROBO1, TGFBI, ROBO2, DSCAM, CIB1, SPON1, EGFR, LOC642132, COL22A1, ACTN1, AJAP1, ACTN3, NCAM2, PODXL2, GPR56, TESK2, RELN, MFAP4, PKHD1, TNFRSF12A, ASTN1, NEDD9, ITGB5, DSCAML1, ITGB3, CX3CL1, SOX9, ITGB1, LOC100131294, PCDHAC2, PCDHAC1, TEK, TTYH1, PCDHA10, PCDHA11, SSX2IP, PCDHA13, B4GALT1, EFS, ITGA2, ITGA3, ITGA4, TPBG, ITGA6, DSG2, TMEM8B, ITGA5, FREM2, FREM1, TROAP, CYFIP2, ADAM22, PDZD2, ABL2, MUC5B, AEBP1, CLSTN2, CLDN4, OPCML, CLSTN3, CLDN6, CLDN5, BCAN, BCAM, DDR2, PCDH1, CD93, DGCR6, CNTNAP3, CNTNAP2, RHOB, ESAM, MSN, LOXL2, KIRREL2, DLG1, CNTNAP4, NRXN2, CNTN5, NRXN3, CNTN6, CNTNAP5, LEF1, IGFALS, PCDH9, PCDH8, NRXN1, PCDH7, DDR1, ITGB1BP1, CNTN2, CNTN4, CNTN3, JAM2, NCAN, LOC100133944, CD24L4, CTNND2, KITLG, CNTNAP3B, SPOCK1, CDH3, SCARF1, CDH5, APLP1, VCAM1, CDH8, CDH7, CD9, COL9A1, COMP, TNN, COL8A1, GPNMB, COL8A2, COL4A3, SVEP1, TNXB, GMDS, TNXA, COL13A1, NFASC, CD99, COL4A6, SNED1, NME1-NME2, BMPR1B, NTM	2777	700	13528	1.8650671330829776	7.173150188100601E-25	3.5865750940503005E-25	2.795289954405032E-25
GOTERM_BP_FAT	GO:0022610~biological adhesion	268	6.646825396825397	1.913761936194254E-28	DLC1, ITGB3BP, CADM3, CADM1, NELL2, POSTN, L1CAM, RADIL, CD2AP, CDH22, CD44, LOC100129652, ILK, ADAM9, EFNB1, CDHR1, PTPRS, CDHR5, PTPRT, SSPN, MYH9, SSPO, SIRPA, CTNNA3, THY1, CTNNA2, JUP, HES1, NME2, PGM5, HES5, NME1, CD34, NPTN, ROR2, LAMC2, RAB13, LAMC1, TGFB1I1, UNCX, DCBLD2, DCBLD1, CDK5R1, PCDH20, ITGA10, ARF6, SCRIB, PXN, NPHP4, LAMB3, PVRL1, KAL1, PVRL3, BAI1, LAMB1, BMP1, PPFIBP1, CELSR3, PCDH12, PCDH15, CELSR2, CELSR1, COL16A1, MCAM, ECM2, PCDH19, PCDH18, EMILIN1, LAMA2, LAMA1, LAMA4, COL14A1, LAMA5, NLGN4X, FCGBP, ENG, NRP2, PCDHA6, PCDHA7, PCDHA8, NRP1, PCDHA9, PCDHA3, PCDHA4, NPNT, PCDHA5, FERMT1, PCDHA1, CD151, SRPX, COL11A2, CEACAM1, LOC730351, ICAM1, PCDHB8, PCDHB5, PCDHB3, SDK2, PCDHB4, SDK1, CPXM2, CD164, GPR98, ARVCF, SLC26A6, CPXM1, SUSD5, VCAN, ADAM12, CHL1, PARVB, PARVA, ADAM15, PPFIA2, DCHS2, COL3A1, COL2A1, NEO1, PCDHB11, EZR, FAT3, COL7A1, FAT4, BCL2, COL6A3, PKD1, TSTA3, CD24, THBS2, THBS4, LOC284620, FLRT3, FLRT2, FLRT1, HAPLN4, LRRN2, NLGN1, CLDN22, NLGN2, NLGN3, NID1, NID2, CDH12, CDH13, CDH18, FBLN7, COL29A1, PERP, CDH10, CTNNAL1, MTSS1, LMO7, MMRN1, CXCL12, VCL, NRCAM, DAB1, ROBO1, TGFBI, ROBO2, DSCAM, CIB1, SPON1, EGFR, LOC642132, COL22A1, ACTN1, AJAP1, ACTN3, NCAM2, PODXL2, GPR56, TESK2, RELN, MFAP4, PKHD1, TNFRSF12A, ASTN1, NEDD9, ITGB5, DSCAML1, ITGB3, CX3CL1, SOX9, ITGB1, LOC100131294, PCDHAC2, PCDHAC1, TEK, TTYH1, PCDHA10, PCDHA11, SSX2IP, PCDHA13, B4GALT1, EFS, ITGA2, ITGA3, ITGA4, TPBG, ITGA6, DSG2, TMEM8B, ITGA5, FREM2, FREM1, TROAP, CYFIP2, ADAM22, PDZD2, ABL2, MUC5B, AEBP1, CLSTN2, CLDN4, OPCML, CLSTN3, CLDN6, CLDN5, BCAN, BCAM, DDR2, PCDH1, CD93, DGCR6, CNTNAP3, CNTNAP2, RHOB, ESAM, MSN, LOXL2, KIRREL2, DLG1, CNTNAP4, NRXN2, CNTN5, NRXN3, CNTN6, CNTNAP5, LEF1, IGFALS, PCDH9, PCDH8, NRXN1, PCDH7, DDR1, ITGB1BP1, CNTN2, CNTN4, CNTN3, JAM2, NCAN, LOC100133944, CD24L4, CTNND2, KITLG, CNTNAP3B, SPOCK1, CDH3, SCARF1, CDH5, APLP1, VCAM1, CDH8, CDH7, CD9, COL9A1, COMP, TNN, COL8A1, GPNMB, COL8A2, COL4A3, SVEP1, TNXB, GMDS, TNXA, COL13A1, NFASC, CD99, COL4A6, SNED1, NME1-NME2, BMPR1B, NTM	2777	701	13528	1.8624065522939859	9.320020629266016E-25	3.1066735430886724E-25	3.6318994244749513E-25
GOTERM_BP_FAT	GO:0030030~cell projection organization	168	4.166666666666666	9.131638790608754E-28	MTSS1, S100A6, PDGFB, CROCC, WNT3A, EFNA2, L1CAM, LPAR1, PRKG1, CXCL12, CD2AP, NR2E1, SHH, VCL, NRCAM, ATP2B2, UNC5B, CD44, ROBO1, ILK, ROBO2, UNC5C, SS18L1, DSCAM, EGFR, EFNB3, LOC642132, RXRA, EFNB1, BAIAP2, NKX2-8, KIF5C, VANGL2, VAX1, MYH9, CTNNA2, SLITRK2, SLITRK1, NCAM2, SLITRK3, SPAG6, RASGRF1, TRAPPC4, RELN, SLITRK6, SLITRK5, IGSF9, C1ORF187, KALRN, CDK5R1, LPPR4, ONECUT1, PKHD1, CLU, ONECUT2, DSCAML1, ARF6, FXYD5, EPHB3, EPHB1, ARX, PVRL1, RAC2, KAL1, BAI1, B3GNT1, NKX2-1, B3GNT2, LAMB1, FGD6, FGD3, FGD4, KLF5, VAV3, SPTBN4, NR4A2, CELSR3, ALMS1, NEUROG2, CELSR2, GAS1, VAV2, NTN1, NTN3, FEZF1, FEZF2, EPHA4, SEMA6A, EPHA7, NOTCH1, SEMA6C, ITGA6, ULK1, LAMA5, NEDD4, DLX5, MAP2, CHRNB2, NRP2, CCKAR, LIMA1, NEURL, LOC100129095, NRP1, ATL1, MTSS1L, PAX2, DFNB31, EFHD1, CXCR4, SEMA3B, POU4F1, SEMA3A, PRKCA, EGR2, STX3, NRXN3, FOXJ1, OTX2, NRXN1, SLIT1, GPR98, SLIT2, VASP, SLIT3, SMO, SLC26A6, ADM, CLIC5, CNTN2, VCAN, CNTN4, NGFR, GAP43, DCC, RAB3A, DNAH9, RTN4RL1, CD24L4, HPRT1, TPM1, SCARF1, IGF1R, LINGO1, DNAI1, BCL11B, BCL2, TEKT2, TNN, CD24, DCX, SNAP25, NEFL, DCLK1, THBS4, ACTB, DNM3, GNAO1, PLA2G10, PTPRZ1, BAIAP2L1, DPYSL5, NFASC, RTN4R, NTNG2, LMX1A, WWTR1, ISL1, CDH13, CAPG, IFT172, APBB2, BMPR1B	2777	368	13528	2.223920088929248	4.4471080910264635E-24	1.1117770227566159E-24	1.732984288217063E-24
GOTERM_BP_FAT	GO:0048666~neuron development	158	3.9186507936507935	2.3915465228586684E-27	S100A6, WNT3A, EFNA2, RORB, L1CAM, PRKG1, CXCL12, NR2E1, SHH, TGFB2, NRCAM, ATP2B2, UNC5B, CD44, ROBO1, ILK, ROBO2, UNC5C, SS18L1, DSCAM, EGFR, EFNB3, LOC642132, RXRA, EFNB1, BAIAP2, NKX2-8, KIF5C, VAX1, CTNNA2, THY1, SLITRK2, HES1, ASCL1, SLITRK1, NCAM2, SLITRK3, RND1, RASGRF1, TRAPPC4, RELN, SLITRK6, SLITRK5, IGSF9, C1ORF187, KALRN, CDK5R1, LPPR4, SOX1, PKHD1, CLU, ONECUT2, DSCAML1, EPHB3, EPHB1, ARX, LIF, CRB1, PVRL1, KAL1, BAI1, B3GNT1, NKX2-1, B3GNT2, OLFM3, LAMB1, FSCN2, SPTBN4, NR4A2, CELSR3, ALMS1, PCDH12, EN1, NEUROG2, CELSR2, GAS1, EN2, NTN1, NTN3, CDKN1C, SALL3, FEZF1, FEZF2, EPHA4, SEMA6A, EPHA7, NOTCH1, SEMA6C, ULK1, NEDD4, DLX5, NTRK2, MAP2, CHRNB2, NRP2, CCKAR, LOC100129095, NRP1, OPCML, ATL1, PAX2, DFNB31, EFHD1, SLC1A3, CXCR4, DYNLL2, CNTNAP2, SEMA3B, POU4F1, SEMA3A, PRKCA, EGR2, STX3, NRXN3, OTX2, NRXN1, SLIT1, GPR98, SLIT2, VASP, SLIT3, SMO, SLC26A6, ADM, CLIC5, CNTN2, VCAN, CNTN4, NGFR, GAP43, DCC, RAB3A, IRX5, RTN4RL1, TH, CD24L4, HPRT1, SCARF1, IGF1R, LINGO1, BCL11B, BCL2, TNN, CD24, DCX, SNAP25, NEFL, DCLK1, ACTB, GNAO1, PLA2G10, LMX1B, PTPRZ1, DPYSL5, NFASC, RTN4R, NTNG2, LMX1A, ISL1, NEUROD4, APBB2, BMPR1B, NTM	2777	339	13528	2.2704665270877613	1.1646831566321716E-23	2.329366313264343E-24	4.538629531554139E-24
GOTERM_BP_FAT	GO:0000904~cell morphogenesis involved in differentiation	126	3.125	5.281096966295565E-27	S100A4, S100A6, NOG, WNT3A, EFNA2, L1CAM, CXCL12, NR2E1, TGFB1, SHH, CITED1, TGFB2, NRCAM, ATP2B2, UNC5B, ROBO1, ILK, ROBO2, UNC5C, DSCAM, EFNB3, EFNB1, LOC642132, RXRA, BAIAP2, KIF5C, NKX2-8, VAX1, MYH9, PROX1, CTNNA2, SLITRK2, HES1, SLITRK1, NCAM2, SLITRK3, HIF1A, RELN, LAMC1, SLITRK6, SLITRK5, C1ORF187, KALRN, CDK5R1, LPPR4, PKHD1, DSCAML1, EPHB3, SOX9, EPHB1, ARX, PVRL1, KAL1, BAI1, B3GNT1, NKX2-1, B3GNT2, LAMB1, SPTBN4, NR4A2, CELSR3, NEUROG2, CELSR2, GAS1, NTN1, NTN3, FEZF1, EPHA4, SEMA6A, FEZF2, EPHA7, NOTCH1, SEMA6C, ULK1, LAMA5, DLX5, NOTCH4, CHRNB2, NRP2, CCKAR, LOC100129095, NRP1, ATL1, PAX2, SLC1A3, CXCR4, SEMA3B, POU4F1, SEMA3A, PRKCA, EGR2, NRXN3, OTX2, LEF1, NRXN1, SLIT1, SLIT2, VASP, SLIT3, SLC26A6, CLIC5, CNTN2, CNTN4, VCAN, NGFR, GAP43, DCC, RAB3A, RTN4RL1, HPRT1, IGF1R, BCL11B, BCL2, TNN, DCX, SNAP25, NEFL, DCLK1, ACTB, PLA2G10, PTPRZ1, TRIM28, DPYSL5, NFASC, RTN4R, NTNG2, LMX1A, ISL1, APBB2, BMPR1B	2777	244	13528	2.5155817399363625	2.5718942225859402E-23	4.286490370976567E-24	1.0022361020842453E-23
GOTERM_BP_FAT	GO:0031175~neuron projection development	126	3.125	1.4640475022675392E-24	S100A6, WNT3A, EFNA2, L1CAM, PRKG1, CXCL12, NR2E1, SHH, NRCAM, UNC5B, CD44, ROBO1, ILK, ROBO2, UNC5C, SS18L1, DSCAM, EGFR, EFNB3, LOC642132, RXRA, EFNB1, BAIAP2, KIF5C, NKX2-8, VAX1, CTNNA2, SLITRK2, SLITRK1, NCAM2, SLITRK3, RASGRF1, TRAPPC4, RELN, SLITRK6, SLITRK5, IGSF9, C1ORF187, KALRN, CDK5R1, LPPR4, PKHD1, CLU, DSCAML1, EPHB3, EPHB1, ARX, PVRL1, KAL1, BAI1, B3GNT1, NKX2-1, B3GNT2, LAMB1, SPTBN4, NR4A2, CELSR3, NEUROG2, CELSR2, GAS1, NTN1, NTN3, FEZF1, EPHA4, SEMA6A, FEZF2, EPHA7, NOTCH1, SEMA6C, ULK1, NEDD4, DLX5, MAP2, CHRNB2, NRP2, CCKAR, LOC100129095, NRP1, ATL1, PAX2, EFHD1, CXCR4, SEMA3B, POU4F1, SEMA3A, PRKCA, EGR2, STX3, NRXN3, OTX2, NRXN1, SLIT1, SLIT2, VASP, SLIT3, SMO, SLC26A6, ADM, CNTN2, CNTN4, VCAN, NGFR, GAP43, DCC, RAB3A, RTN4RL1, CD24L4, HPRT1, SCARF1, LINGO1, IGF1R, BCL11B, BCL2, TNN, CD24, DCX, SNAP25, NEFL, DCLK1, ACTB, GNAO1, PLA2G10, PTPRZ1, DPYSL5, NFASC, RTN4R, NTNG2, LMX1A, ISL1, APBB2, BMPR1B	2777	256	13528	2.3976638458768456	7.129911336042915E-21	1.018558762291845E-21	2.7784402962175655E-21
GOTERM_BP_FAT	GO:0048667~cell morphogenesis involved in neuron differentiation	110	2.7281746031746033	1.5647075181777487E-24	S100A6, WNT3A, EFNA2, L1CAM, CXCL12, NR2E1, SHH, NRCAM, ATP2B2, UNC5B, ROBO1, ROBO2, UNC5C, DSCAM, EFNB3, EFNB1, LOC642132, RXRA, BAIAP2, KIF5C, NKX2-8, VAX1, CTNNA2, HES1, SLITRK2, SLITRK1, NCAM2, SLITRK3, RELN, SLITRK6, SLITRK5, C1ORF187, KALRN, CDK5R1, LPPR4, PKHD1, DSCAML1, EPHB3, EPHB1, ARX, PVRL1, KAL1, BAI1, B3GNT1, NKX2-1, B3GNT2, SPTBN4, NR4A2, CELSR3, CELSR2, NEUROG2, GAS1, NTN1, NTN3, FEZF1, SEMA6A, EPHA4, FEZF2, EPHA7, NOTCH1, SEMA6C, ULK1, DLX5, CHRNB2, NRP2, CCKAR, LOC100129095, NRP1, ATL1, PAX2, SLC1A3, CXCR4, POU4F1, SEMA3B, SEMA3A, PRKCA, EGR2, NRXN3, OTX2, NRXN1, SLIT1, SLIT2, VASP, SLIT3, SLC26A6, CLIC5, CNTN2, CNTN4, VCAN, NGFR, GAP43, DCC, RAB3A, RTN4RL1, HPRT1, IGF1R, BCL11B, BCL2, TNN, DCX, SNAP25, NEFL, DCLK1, ACTB, PLA2G10, PTPRZ1, NFASC, RTN4R, DPYSL5, NTNG2, LMX1A, ISL1, APBB2, BMPR1B	2777	209	13528	2.563917897011163	7.620125613525636E-21	9.525157016907045E-22	2.9694708768439858E-21
GOTERM_BP_FAT	GO:0048812~neuron projection morphogenesis	111	2.7529761904761902	2.747908569690248E-24	S100A6, WNT3A, EFNA2, L1CAM, CXCL12, NR2E1, SHH, NRCAM, UNC5B, ROBO1, ILK, ROBO2, UNC5C, DSCAM, EGFR, EFNB3, EFNB1, LOC642132, RXRA, BAIAP2, KIF5C, NKX2-8, VAX1, CTNNA2, SLITRK2, SLITRK1, NCAM2, SLITRK3, RELN, SLITRK6, SLITRK5, C1ORF187, KALRN, CDK5R1, LPPR4, PKHD1, CLU, DSCAML1, EPHB3, EPHB1, ARX, PVRL1, KAL1, BAI1, B3GNT1, NKX2-1, B3GNT2, SPTBN4, NR4A2, CELSR3, CELSR2, NEUROG2, GAS1, NTN1, NTN3, FEZF1, SEMA6A, EPHA4, FEZF2, EPHA7, NOTCH1, SEMA6C, ULK1, DLX5, CHRNB2, NRP2, CCKAR, NRP1, LOC100129095, ATL1, PAX2, CXCR4, POU4F1, SEMA3B, SEMA3A, PRKCA, EGR2, NRXN3, OTX2, NRXN1, SLIT1, SLIT2, VASP, SLIT3, SMO, SLC26A6, ADM, CNTN2, CNTN4, VCAN, NGFR, GAP43, DCC, RAB3A, RTN4RL1, HPRT1, IGF1R, BCL11B, BCL2, TNN, DCX, SNAP25, NEFL, DCLK1, ACTB, PLA2G10, PTPRZ1, NFASC, RTN4R, DPYSL5, NTNG2, LMX1A, ISL1, APBB2, BMPR1B	2777	213	13528	2.5386398332378137	1.3382314734391507E-20	1.486923859376834E-21	5.2149263521326396E-21
GOTERM_BP_FAT	GO:0006928~cell motion	193	4.78670634920635	3.6110216567011035E-24	PTGS2, EFNA2, L1CAM, PRKG1, CD2AP, SHH, CTTNBP2, CD44, GAB2, TWIST1, EFNB3, MDGA1, EFNB1, BARHL2, KIF5C, DCDC2, MYH9, CTNNA2, PLAUR, VEGFC, CD34, LAMC1, PALM, CDK5R1, ENPP2, ARF6, EPHB3, EPHB1, SCRIB, ARX, PVRL1, LOC652799, KAL1, SBDSP1, NKX2-1, PLAT, GAS1, SERPINI2, SEMA6A, EPHA4, LAMA1, EPHA7, SEMA6C, PARP9, ETS1, LAMA5, ENG, PLAU, NRP2, CCKAR, NEURL, NRP1, WASF1, ACTR3, EDNRB, ACTR2, RSPH4A, SEMA3C, SEMA3B, CAP1, SEMA3A, CEACAM1, NR2F1, ICAM1, MMP14, SLIT1, SLIT2, SLIT3, TXN, VCAN, TNFSF12-TNFSF13, CER1, FUT8, CXCL3, ABI3, KIT, DNALI1, TEKT2, CD24, THBS4, PLA2G10, LMX1B, TBX1, LMX1A, LSP1, CDH13, FOXE1, AMOT, NEUROD4, APBB2, FGF19, MTSS1, PDGFB, PLXNA2, LOC729841, CAPZA1, TNFSF13, TNFSF12, NR2E1, CXCL12, TGFB1, TGFB2, VCL, NRCAM, WNT1, DAB1, UNC5B, ROBO1, ROBO2, UNC5C, PLXNB1, LOC642132, VAX1, ARPC1B, ASCL1, TNS1, HIF1A, SIX1, CELF3, HSPB1, RELN, LOC653882, C1ORF187, SOX1, TNFRSF12A, ASTN1, GIPC1, CX3CL1, ITGB1, DOCK2, ARPC3, ARPC2, B3GNT1, ADRA2A, B3GNT2, STRBP, ARHGDIB, B4GALT1, VAV3, MET, NR4A2, ITGA2, NEUROG2, ITGA4, VAV2, NTN1, NTN3, FEZF1, FEZF2, ITGA6, ULK1, ITGA5, TLN1, PAX3, DSTN, SBDS, SPINT2, CXCR4, LOC729494, POU4F1, MSN, PRKCA, EGR2, FOXJ1, NRXN3, OTX2, NRXN1, VASP, SMO, BTG1, ITGB1BP1, CNTN2, CNTN4, NGFR, GAP43, DCC, DNAH9, CALD1, CD24L4, HSPBL2, KITLG, SPOCK1, DNAH2, DNAH7, TPM1, TPM4, DNAH5, LOC653888, TPM3, VCAM1, CD9, DNER, POU3F3, TNN, POU3F2, DCX, PPAP2B, DCLK1, ACTB, ANXA1, NFASC, DPYSL5, ISL1, ID1, BMPR1B	2777	475	13528	1.9793446164926176	1.7585675468134374E-20	1.7585675468134373E-21	6.852925240440206E-21
