Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04510:Focal adhesion	77	1.9097222222222223	4.5917513470933485E-9	TLN1, PDGFB, PGF, VCL, PAK7, PAK3, ILK, PDGFC, PDGFD, SHC3, COL11A2, SHC2, PRKCA, EGFR, PIK3CG, ACTN4, ACTN1, PRKCG, ACTN3, FLNB, VASP, PRKCB, VEGFC, CCND3, CCND2, RASGRF1, JUN, COL1A2, PDGFRA, LAMC2, RELN, LAMC1, PARVB, PARVA, CAV1, COL3A1, ITGA10, ITGB5, COL2A1, ITGB3, ITGB1, PXN, MYL9, IGF1R, LAMB3, RAC2, COMP, BCL2, COL6A3, TNN, EGF, LAMB1, THBS2, PIK3R1, THBS4, ACTB, COL4A4, TNXB, VAV3, TNXA, MET, ITGA2, MYL12B, ITGA3, ITGA4, MYL12A, MAPK10, CAPN2, VAV2, COL4A6, LAMA2, LAMA1, LAMA4, ITGA6, LAMA5, ITGA5, RAP1A, MYLK	1037	201	5085	1.8784812677211822	8.540653814170795E-7	8.540653814170795E-7	5.6868415310162845E-6
KEGG_PATHWAY	hsa04360:Axon guidance	55	1.3640873015873016	1.5275358893092148E-8	NRP1, PLXNA2, EFNA2, EFNA3, L1CAM, LRRC4C, FES, CXCL12, PAK7, UNC5B, ROBO1, PAK3, CXCR4, SEMA7A, SEMA3D, SEMA3C, ROBO2, SEMA3B, RHOD, UNC5C, SEMA3A, EFNB3, PLXNB1, LOC642132, EFNB1, SLIT1, SLIT2, SLIT3, RND1, CFL2, SRGAP3, SEMA4A, DCC, ABLIM2, EPHB3, ITGB1, EPHB1, SEMA5B, EPHB6, RAC2, NFAT5, NFATC4, PPP3CA, MET, DPYSL5, NTN1, EPHA3, NTN3, EPHA5, EPHA4, SEMA6A, SEMA6B, EPHA7, SEMA6C, SEMA6D, RGS3	1037	129	5085	2.090668520553475	2.841212734638887E-6	1.4206073764011506E-6	1.8918389510513833E-5
KEGG_PATHWAY	hsa05200:Pathways in cancer	109	2.703373015873016	2.353974425982139E-8	FGF19, FGF18, PTGS2, PDGFB, FGF14, PGF, WNT3A, FGF17, MMP9, ARNT2, FOXO1, FGF12, MMP2, TGFB1, SHH, TGFB2, WNT1, WNT4, WNT3, CDKN2A, RALB, CCNA1, PIK3CG, EGFR, WNT10B, PLD1, BCR, RXRA, RXRG, MECOM, CTNNA3, CTNNA2, JUP, VEGFC, HIF1A, JUN, PDGFRA, LOC653882, LAMC2, PIAS1, LAMC1, FGFR2, WNT5B, FGFR3, ITGB1, LAMB3, RAC2, LOC652799, AXIN2, LAMB1, RUNX1, EGF, TRAF5, EPAS1, TGFBR2, MET, ITGA2, ITGA3, LAMA2, LAMA1, LAMA4, CBLB, ITGA6, ETS1, LAMA5, E2F1, E2F2, FGF8, FGF9, PPARG, MITF, GLI1, FOS, PAX8, TGFA, NOS2, HHIP, FGF1, MYC, PRKCA, AR, LEF1, PRKCG, PRKCB, SMO, DCC, APC2, EGLN3, KITLG, KIT, ZBTB16, TPM3, IGF1R, BCL2, PIK3R1, WNT8B, FZD9, COL4A4, FZD8, FZD1, FZD3, MAPK10, FZD5, COL4A6, FZD7, WNT2B, FZD10, HSP90B1, PTCH1, PTCH2, WNT7A	1037	328	5085	1.6295393607262978	4.378382899683508E-6	1.459463096598057E-6	2.91537523788854E-5
KEGG_PATHWAY	hsa04810:Regulation of actin cytoskeleton	71	1.7609126984126984	1.2329423326562823E-5	FGF19, FGF18, FGF8, PDGFB, FGF9, FGF14, INS-IGF2, FGF17, LOC729841, WASF1, PIP5K1B, IQGAP2, FGF12, IQGAP1, VCL, PAK7, TIAM2, GSN, LOC100129652, PAK3, LOC729494, RRAS, PDGFC, PDGFD, MSN, FGF1, ARHGEF4, EGFR, PIK3CG, ARHGEF1, ACTN4, BAIAP2, ACTN1, ACTN3, MYH9, ARPC1B, CFL2, LOC100133211, RRAS2, PDGFRA, TMSB4X, FGFR2, FGFR4, FGFR3, APC2, SSH1, DIAPH3, ITGA10, ITGB5, ITGB3, GNG12, ITGB1, PXN, LOC653888, MYL9, PFN1, EZR, RAC2, ARPC3, ARPC2, INS, EGF, TMSL2, FGD3, PIK3R1, ACTB, TMSL1, VAV3, ITGA2, MYL12B, IGF2, ITGA3, ITGA4, MYL12A, VAV2, ITGA6, ITGA5, CYFIP2, MYLK, F2R	1037	215	5085	1.6193177995559642	0.002290659302842446	5.731574015603869E-4	0.015268805473511726
KEGG_PATHWAY	hsa04670:Leukocyte transendothelial migration	45	1.1160714285714286	1.3388146008431448E-5	CLDN4, CLDN6, MMP9, SIPA1, CLDN5, ITGB1, CXCL12, MMP2, CDH5, PXN, MYL9, VCL, VCAM1, EZR, RAC2, CXCR4, LOC100129652, ESAM, MSN, PIK3R1, LOC284620, RHOH, PIK3CG, PRKCA, ACTB, ICAM1, NOX3, VAV3, ACTN4, ACTN1, CD99, CLDN22, PRKCG, MYL12B, MAPK11, ACTN3, MYL12A, ITGA4, VAV2, VASP, CTNNA3, PRKCB, THY1, CTNNA2, CYBA, RAP1A, JAM2	1037	118	5085	1.8700047398787245	0.0024871138218998112	4.979183629432171E-4	0.016579831811591728
KEGG_PATHWAY	hsa05217:Basal cell carcinoma	25	0.6200396825396826	7.311188735376467E-5	FZD9, FZD8, WNT10B, WNT5B, APC2, WNT3A, FZD1, LEF1, FZD3, FZD5, SHH, FZD7, WNT2B, GLI1, SMO, WNT1, FZD10, WNT4, WNT3, PTCH1, HHIP, PTCH2, AXIN2, WNT7A, WNT8B	1037	55	5085	2.228894538441308	0.013507255355220349	0.0022639846769000327	0.09051072310900521
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	81	2.0089285714285716	8.594757422630605E-5	FGF19, FGF18, FGF8, PDGFB, FGF9, FGF14, FGF17, FGF12, TGFB1, TGFB2, FOS, MAP3K5, MAPT, RRAS, FGF1, MYC, PRKCA, EGFR, CACNG7, PTPRR, CACNG4, PRKCG, MECOM, ECSIT, FLNB, PRKCB, RASGRF2, ARRB2, RASGRF1, ARRB1, RRAS2, LOC100133211, JUN, GADD45G, PDGFRA, PLA2G6, HSPB1, FGFR2, FGFR4, FGFR3, HSPBL2, CACNB1, DUSP10, HSPA1A, CACNB4, GNG12, HSPA1B, TNFRSF1A, JMJD7-PLA2G4B, RAC2, RASGRP1, DUSP16, JUND, NFATC4, PPP3CA, EGF, PLA2G10, PTPN5, TGFBR2, TAOK3, NR4A1, LOC100131098, MAPK11, MAPK10, CACNA2D2, CACNA2D4, CDC25B, DUSP5, RPS6KA5, DUSP4, PLA2G4A, RPS6KA4, DUSP1, JMJD7, NTRK2, MAPK8IP2, CACNA1G, CACNA1H, RAP1A, CACNA1E, MAPK8IP1, CACNA1C, DUSP8, CACNA1D, PLA2G4B, DUSP7, CACNA1B	1037	267	5085	1.4875992762181314	0.01585982305915301	0.0022812419799322914	0.10639321528898016
KEGG_PATHWAY	hsa04512:ECM-receptor interaction	32	0.7936507936507936	3.0905584733970104E-4	COL3A1, ITGB5, ITGA10, COL2A1, ITGB3, SDC4, ITGB1, LAMB3, CD44, COMP, COL6A3, TNN, LAMB1, COL11A2, THBS2, THBS4, COL4A4, TNXB, TNXA, ITGA2, ITGA3, ITGA4, COL4A6, LAMA2, LAMA1, LAMA4, ITGA6, ITGA5, LAMA5, COL1A2, LAMC2, RELN, LAMC1	1037	84	5085	1.8680258988841438	0.05587175789785748	0.007160896765086133	0.3820901486648598
KEGG_PATHWAY	hsa05414:Dilated cardiomyopathy	34	0.8432539682539683	3.6789987172342417E-4	ADCY1, ADCY2, ADCY5, CACNB1, ITGB5, ITGA10, ITGB3, CACNB4, TPM2, ITGB1, TPM1, TGFB1, TPM4, TPM3, TGFB2, ACTB, ACTC1, CACNG7, LMNA, CACNG4, LOC100131098, ITGA2, MYH7, ITGA3, ITGA4, CACNA2D2, CACNA2D4, TNNT2, LAMA2, ADCY9, ITGA6, ITGA5, RYR2, CACNA1C, CACNA1D	1037	92	5085	1.8121881682109764	0.06615234730892727	0.007575820687443557	0.4546875873548739
KEGG_PATHWAY	hsa05410:Hypertrophic cardiomyopathy (HCM)	32	0.7936507936507936	3.936173470496658E-4	PRKAG2, CACNB1, ITGB5, ITGA10, ITGB3, CACNB4, TPM2, ITGB1, TPM1, TGFB1, TPM4, TPM3, TGFB2, PRKAA1, ACTB, ACTC1, CACNG7, LMNA, CACNG4, LOC100131098, ITGA2, MYH7, ITGA3, ITGA4, CACNA2D2, CACNA2D4, TNNT2, LAMA2, ITGA6, ITGA5, RYR2, CACNA1C, CACNA1D	1037	85	5085	1.8460491236031542	0.07061038777273776	0.00729597810632876	0.4864006459105452
