Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0030182~neuron differentiation	36	7.2434607645875255	3.2302210594786477E-9	OPCML, RTN4RL1, GDF7, WNT3A, ONECUT2, L1CAM, PAX3, JAG1, WNT1, LINGO1, TUBB, DGKG, GBX2, ROBO3, NEFL, SNAP25, PTPRM, EMX1, MDGA2, EMX2, NFASC, LIFR, NR4A2, EN1, LMX1A, EN2, NRXN1, LOC442308, SLIT1, SLIT2, SLIT3, CDKN1C, FEZF1, SLITRK3, TUBBP2, PSD, TUBBP1, PHGDH, C1ORF187	352	438	13528	3.1587795765877957	7.167834922605643E-6	7.167834922605643E-6	5.6211600707456455E-6
GOTERM_BP_FAT	GO:0048666~neuron development	28	5.633802816901409	2.366665708785581E-7	PTPRM, OPCML, RTN4RL1, GDF7, WNT3A, ONECUT2, NFASC, LIFR, NR4A2, L1CAM, EN1, LMX1A, NRXN1, EN2, SLIT1, SLIT2, SLIT3, FEZF1, CDKN1C, LINGO1, SLITRK3, DGKG, PHGDH, GBX2, ROBO3, NEFL, SNAP25, C1ORF187	352	339	13528	3.1743094663448645	5.250253089155166E-4	2.625471199528828E-4	4.118412002651617E-4
GOTERM_BP_FAT	GO:0051173~positive regulation of nitrogen compound metabolic process	41	8.249496981891348	2.6535427548669854E-7	MEF2C, GDF7, INS-IGF2, ONECUT2, TP63, FOXO1, PAX3, PRDM16, FOXH1, PLAGL1, CCNE1, WNT1, TDGF3, FOS, NPAS2, MYOCD, INS, PAX8, TDGF1, POU3F3, PDGFC, PTX3, NFATC2, KLF5, ICAM1, IKZF1, RFX4, SIX3, NR4A2, NR4A1, NPR1, IGF2, CREB5, NR4A3, MECOM, PROX1, JUNB, EBF3, JUN, HES3, EBF2, EBF1, NFIC, NR5A1	352	644	13528	2.4467461885940147	5.886478941362627E-4	1.962544780126363E-4	4.6176271185638385E-4
GOTERM_BP_FAT	GO:0031328~positive regulation of cellular biosynthetic process	42	8.450704225352112	4.946298658329499E-7	MEF2C, GDF7, INS-IGF2, ONECUT2, TP63, FOXO1, PAX3, PRDM16, FOXH1, PLAGL1, CCNE1, WNT1, TDGF3, FOS, NPAS2, MYOCD, INS, PAX8, TDGF1, POU3F3, PDGFC, PTX3, NFATC2, KLF5, ICAM1, IKZF1, RFX4, SIX3, NR4A2, NR4A1, NPR1, IGF2, CREB5, NR4A3, MECOM, PROX1, JUNB, EBF3, JUN, HES3, EBF2, EBF1, AVPR1A, NFIC, NR5A1	352	685	13528	2.3564034505640348	0.0010969818188136804	2.743583428035379E-4	8.607406019156549E-4
GOTERM_BP_FAT	GO:0009891~positive regulation of biosynthetic process	42	8.450704225352112	7.313944067514173E-7	MEF2C, GDF7, INS-IGF2, ONECUT2, TP63, FOXO1, PAX3, PRDM16, FOXH1, PLAGL1, CCNE1, WNT1, TDGF3, FOS, NPAS2, MYOCD, INS, PAX8, TDGF1, POU3F3, PDGFC, PTX3, NFATC2, KLF5, ICAM1, IKZF1, RFX4, SIX3, NR4A2, NR4A1, NPR1, IGF2, CREB5, NR4A3, MECOM, PROX1, JUNB, EBF3, JUN, HES3, EBF2, EBF1, AVPR1A, NFIC, NR5A1	352	695	13528	2.3224983649444084	0.001621648486848093	3.245402818043974E-4	0.0012727489441588524
GOTERM_BP_FAT	GO:0045935~positive regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	39	7.847082494969819	8.794402224421136E-7	MEF2C, GDF7, INS-IGF2, ONECUT2, TP63, FOXO1, PAX3, PRDM16, FOXH1, PLAGL1, CCNE1, WNT1, TDGF3, FOS, NPAS2, MYOCD, INS, PAX8, TDGF1, POU3F3, PDGFC, NFATC2, KLF5, IKZF1, RFX4, SIX3, NR4A2, NR4A1, NPR1, IGF2, CREB5, NR4A3, MECOM, PROX1, JUNB, EBF3, JUN, HES3, EBF2, EBF1, NFIC, NR5A1	352	624	13528	2.4019886363636367	0.0019495758151026887	3.2519356505034125E-4	0.0015303716371373177
GOTERM_BP_FAT	GO:0045941~positive regulation of transcription	36	7.2434607645875255	1.5942229065750557E-6	MEF2C, GDF7, ONECUT2, TP63, FOXO1, PAX3, PRDM16, FOXH1, PLAGL1, CCNE1, WNT1, FOS, TDGF3, NPAS2, MYOCD, PAX8, TDGF1, POU3F3, NFATC2, KLF5, IKZF1, RFX4, SIX3, NR4A2, NR4A1, CREB5, NR4A3, MECOM, PROX1, JUNB, EBF3, JUN, HES3, EBF2, EBF1, NFIC, NR5A1	352	564	13528	2.4530947775628626	0.003531333573201123	5.052413867835392E-4	0.002774195625687703
GOTERM_BP_FAT	GO:0048858~cell projection morphogenesis	22	4.426559356136821	1.657357070234519E-6	PTPRM, RTN4RL1, GDF7, FOXJ1, WNT3A, ONECUT2, NR4A2, LIFR, NFASC, L1CAM, NRXN1, LMX1A, SLIT1, SLIT2, SLIT3, FEZF1, SLITRK3, GBX2, ROBO3, SNAP25, NEFL, C1ORF187	352	245	13528	3.451020408163265	0.003670924010021004	4.596041479533186E-4	0.0028840573893185173
GOTERM_BP_FAT	GO:0007409~axonogenesis	19	3.8229376257545273	2.8145345380843188E-6	PTPRM, RTN4RL1, GDF7, WNT3A, NR4A2, NFASC, L1CAM, NRXN1, LMX1A, SLIT1, SLIT2, SLIT3, FEZF1, SLITRK3, GBX2, ROBO3, SNAP25, NEFL, C1ORF187	352	193	13528	3.783443240697127	0.006225998576168346	6.936993824824267E-4	0.004897678506621261
GOTERM_BP_FAT	GO:0048812~neuron projection morphogenesis	20	4.0241448692152915	2.8945823719372342E-6	PTPRM, RTN4RL1, GDF7, WNT3A, NR4A2, LIFR, NFASC, L1CAM, NRXN1, LMX1A, SLIT1, SLIT2, SLIT3, FEZF1, SLITRK3, GBX2, ROBO3, SNAP25, NEFL, C1ORF187	352	213	13528	3.6086214255228337	0.006402503646691371	6.421025218216192E-4	0.005036969477612008
GOTERM_BP_FAT	GO:0010628~positive regulation of gene expression	36	7.2434607645875255	3.11197457147784E-6	MEF2C, GDF7, ONECUT2, TP63, FOXO1, PAX3, PRDM16, FOXH1, PLAGL1, CCNE1, WNT1, FOS, TDGF3, NPAS2, MYOCD, PAX8, TDGF1, POU3F3, NFATC2, KLF5, IKZF1, RFX4, SIX3, NR4A2, NR4A1, CREB5, NR4A3, MECOM, PROX1, JUNB, EBF3, JUN, HES3, EBF2, EBF1, NFIC, NR5A1	352	581	13528	2.38131747770302	0.006881694263425997	6.275741128433099E-4	0.0054152520027050954
GOTERM_BP_FAT	GO:0031175~neuron projection development	22	4.426559356136821	3.338617390940285E-6	PTPRM, RTN4RL1, GDF7, WNT3A, NR4A2, LIFR, NFASC, L1CAM, NRXN1, LMX1A, SLIT1, SLIT2, SLIT3, FEZF1, LINGO1, SLITRK3, GBX2, PHGDH, ROBO3, SNAP25, NEFL, C1ORF187	352	256	13528	3.3027343749999996	0.00738102977234667	6.171764979807648E-4	0.005809630025566115
GOTERM_BP_FAT	GO:0032990~cell part morphogenesis	22	4.426559356136821	3.338617390940285E-6	PTPRM, RTN4RL1, GDF7, FOXJ1, WNT3A, ONECUT2, NR4A2, LIFR, NFASC, L1CAM, NRXN1, LMX1A, SLIT1, SLIT2, SLIT3, FEZF1, SLITRK3, GBX2, ROBO3, SNAP25, NEFL, C1ORF187	352	256	13528	3.3027343749999996	0.00738102977234667	6.171764979807648E-4	0.005809630025566115
GOTERM_BP_FAT	GO:0032989~cellular component morphogenesis	28	5.633802816901409	4.989094966280661E-6	RTN4RL1, GDF7, WNT3A, ONECUT2, L1CAM, WNT1, GBX2, ROBO3, SNAP25, NEFL, ACTC1, PTPRM, FOXJ1, NR4A2, LIFR, NFASC, NRXN1, LMX1A, SLIT1, PROX1, SLIT2, SLIT3, FEZF1, TNNT2, KRT19, SLITRK3, ANTXR1, C1ORF187	352	397	13528	2.7105564460728186	0.011009773237304343	8.512397471620581E-4	0.008681558923251398
GOTERM_BP_FAT	GO:0000904~cell morphogenesis involved in differentiation	21	4.225352112676056	5.799176559388396E-6	PTPRM, RTN4RL1, GDF7, WNT3A, NR4A2, NFASC, L1CAM, NRXN1, LMX1A, SLIT1, PROX1, SLIT2, SLIT3, FEZF1, SLITRK3, GBX2, ANTXR1, ROBO3, SNAP25, NEFL, C1ORF187	352	244	13528	3.307656482861401	0.012785966129063242	9.187498405703876E-4	0.01009112051075789
GOTERM_BP_FAT	GO:0001568~blood vessel development	21	4.225352112676056	6.166498826097673E-6	KLF5, LMO2, SMAD7, COL3A1, FOXO1, ELK3, JAG1, TNNI3, PROX1, JUNB, SLIT2, CDH5, TDGF3, MYOCD, HEY1, JUN, TDGF1, COL1A2, GBX2, SEMA3C, RHOB, COL1A1	352	245	13528	3.2941558441558443	0.013590309512298004	9.118175804692097E-4	0.010730263977754007
GOTERM_BP_FAT	GO:0010557~positive regulation of macromolecule biosynthetic process	38	7.645875251509055	6.859452573605905E-6	MEF2C, GDF7, INS-IGF2, ONECUT2, TP63, FOXO1, PAX3, PRDM16, FOXH1, PLAGL1, CCNE1, WNT1, FOS, TDGF3, NPAS2, MYOCD, INS, PAX8, TDGF1, POU3F3, PDGFC, NFATC2, KLF5, IKZF1, RFX4, SIX3, NR4A2, NR4A1, IGF2, CREB5, NR4A3, MECOM, PROX1, JUNB, EBF3, JUN, HES3, EBF2, EBF1, NFIC, NR5A1	352	654	13528	2.233041423408396	0.015105920865057798	9.508712267584096E-4	0.011935998150958138
GOTERM_BP_FAT	GO:0045893~positive regulation of transcription, DNA-dependent	31	6.237424547283702	7.062399632855382E-6	MEF2C, ONECUT2, TP63, FOXO1, PAX3, PRDM16, PLAGL1, FOXH1, CCNE1, FOS, TDGF3, WNT1, NPAS2, MYOCD, PAX8, TDGF1, POU3F3, NFATC2, IKZF1, RFX4, SIX3, NR4A2, NR4A1, CREB5, NR4A3, MECOM, PROX1, JUNB, JUN, HES3, NFIC, NR5A1	352	477	13528	2.497665332570993	0.015549360826343839	9.214293480062086E-4	0.012289121873476638
GOTERM_BP_FAT	GO:0051254~positive regulation of RNA metabolic process	31	6.237424547283702	8.346910815462603E-6	MEF2C, ONECUT2, TP63, FOXO1, PAX3, PRDM16, PLAGL1, FOXH1, CCNE1, FOS, TDGF3, WNT1, NPAS2, MYOCD, PAX8, TDGF1, POU3F3, NFATC2, IKZF1, RFX4, SIX3, NR4A2, NR4A1, CREB5, NR4A3, MECOM, PROX1, JUNB, JUN, HES3, NFIC, NR5A1	352	481	13528	2.4768947268947272	0.018351396653661478	0.001028463679430991	0.014524117733483166
GOTERM_BP_FAT	GO:0048667~cell morphogenesis involved in neuron differentiation	19	3.8229376257545273	8.634552821434692E-6	PTPRM, RTN4RL1, GDF7, WNT3A, NR4A2, NFASC, L1CAM, NRXN1, LMX1A, SLIT1, SLIT2, SLIT3, FEZF1, SLITRK3, GBX2, ROBO3, SNAP25, NEFL, C1ORF187	352	209	13528	3.493801652892562	0.018977766377523242	0.001007920939299356	0.015024596368928833
GOTERM_BP_FAT	GO:0001944~vasculature development	21	4.225352112676056	8.854171551652346E-6	KLF5, LMO2, SMAD7, COL3A1, FOXO1, ELK3, JAG1, TNNI3, PROX1, JUNB, SLIT2, CDH5, TDGF3, MYOCD, HEY1, JUN, TDGF1, COL1A2, GBX2, SEMA3C, RHOB, COL1A1	352	251	13528	3.2154110829409634	0.01945573953359081	9.818923106753585E-4	0.015406717279220494
