Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04510:Focal adhesion	88	2.002275312855518	4.96061438417798E-11	TLN1, PDGFA, PGF, VCL, PAK7, ILK, PDGFC, SHC1, PAK1, ZYX, COL11A2, COL11A1, SHC2, PIK3CG, PRKCA, EGFR, ACTN4, ACTN1, PRKCG, ACTN3, FLNB, VASP, PRKCB, VEGFC, CCND1, CRKL, CCND3, CCND2, RASGRF1, COL1A2, PDGFRA, PDGFRB, LAMC2, COL1A1, LAMC1, PARVB, ITGA2B, PARVA, CAV2, CAV1, ERBB2, COL3A1, ITGA11, ITGA10, COL2A1, ITGB3, ITGB1, MYL9, LAMB3, RAC2, ITGB8, BCL2, COL6A3, COL6A2, THBS1, EGF, PIK3R3, LAMB1, THBS2, PIK3R1, FN1, THBS4, ACTB, COL4A4, COL4A1, TNXB, VAV3, TNXA, MET, ITGA1, ITGA2, MYL12B, ITGA3, ITGA4, MYL12A, MAPK10, CAPN2, COL5A2, COL5A1, COL4A6, VWF, LAMA1, ITGA6, LAMA5, ITGA5, ITGA8, ITGA7, RAP1A, MYLK	1166	201	5085	1.9093213179386088	9.375552334489612E-9	9.375552334489612E-9	6.159981413844662E-8
KEGG_PATHWAY	hsa04360:Axon guidance	63	1.4334470989761092	1.9497909000627656E-10	NRP1, PLXNA2, EFNA2, EFNA3, L1CAM, LRRC4C, CXCL12, PAK7, UNC5B, UNC5A, ROBO1, CXCR4, SEMA3G, SEMA3F, SEMA7A, SEMA3E, SEMA3D, SEMA3C, UNC5D, ROBO2, SEMA3B, PAK1, RHOD, UNC5C, EFNB3, PLXNB1, LOC642132, EFNB1, EFNB2, CDK5, SLIT1, SLIT2, SLIT3, RND1, CFL2, SRGAP3, EFNA5, SEMA4D, SEMA4A, ABLIM1, ABLIM2, ITGB1, SEMA5A, SEMA5B, EPHB6, RAC2, PPP3CC, NFATC4, PPP3CA, NFATC2, NFATC1, NGEF, MET, NTNG1, DPYSL5, NTN1, EPHA1, SEMA6A, EPHA4, EPHA7, SEMA6B, SEMA6C, SEMA6D, RGS3	1166	129	5085	2.1298216921297217	3.685105753881146E-8	1.8425528880428033E-8	2.421210343328539E-7
KEGG_PATHWAY	hsa04512:ECM-receptor interaction	42	0.955631399317406	1.4328748439772293E-7	COL3A1, ITGA11, ITGA10, COL2A1, ITGB3, ITGB1, LAMB3, CD44, ITGB8, COL6A3, COL6A2, LAMB1, COL11A2, THBS1, COL11A1, THBS2, SV2C, THBS4, FN1, COL4A4, TNXB, COL4A1, TNXA, ITGA1, ITGA2, ITGA3, ITGA4, COL5A2, COL5A1, COL4A6, VWF, LAMA1, SDC1, ITGA6, ITGA5, LAMA5, ITGA8, ITGA7, COL1A2, LAMC2, LAMC1, COL1A1, ITGA2B	1166	84	5085	2.180531732418525	2.708096980197361E-5	9.027071421807698E-6	1.7793126406706605E-4
KEGG_PATHWAY	hsa05200:Pathways in cancer	113	2.5711035267349263	1.0759480310580364E-6	PTGS2, PDGFA, PGF, WNT3A, FGF17, ARNT2, TGFB3, FOXO1, FGF12, MMP2, TGFB1, TGFB2, WNT1, WNT3, CDKN2A, CDKN2B, RALB, FAS, PIK3CG, EGFR, WNT10B, PLD1, RXRA, CTNNA3, CTNNA2, JUP, VEGFC, EP300, HIF1A, PIAS4, PDGFRA, PDGFRB, LAMC2, LAMC1, ITGA2B, FGFR2, WNT5A, FGFR1, TRAF2, FGFR3, ERBB2, BCL2L1, ITGB1, LAMB3, RAC2, LAMB1, RUNX1, EGF, FN1, AXIN1, EPAS1, TGFBR2, MET, CREBBP, BRCA2, ITGA2, ITGA3, LAMA1, CDKN1A, ITGA6, PLCG1, ETS1, LAMA5, PLCG2, E2F1, E2F2, FGF8, FGF9, PPARG, MITF, GLI2, GLI3, FOS, PAX8, NOS2, FGF1, PRKCA, AR, RUNX1T1, LEF1, CDK6, PRKCG, PRKCB, SMO, CCND1, CRKL, NCOA4, MDM2, APC2, EGLN3, KITLG, EGLN1, CDH1, ZBTB16, TCF7L1, TPM3, BCL2, PIK3R3, PIK3R1, WNT8B, COL4A4, FZD8, COL4A1, FZD1, FZD3, MAPK10, FZD5, COL4A6, FZD7, FZD6, HSP90B1, JAK1, PTCH1	1166	328	5085	1.5024395473371543	2.0333361217750312E-4	5.0837279556459336E-5	0.0013360816169760703
KEGG_PATHWAY	hsa05410:Hypertrophic cardiomyopathy (HCM)	39	0.8873720136518772	6.1980730390517225E-6	PRKAG1, PRKAG2, ITGA11, TGFB3, ITGA10, ITGB3, CACNB4, TPM2, ITGB1, TPM1, TGFB1, TPM4, TPM3, TGFB2, ITGB8, DMD, PRKAA1, PRKAA2, ACTB, CACNA2D1, ACTC1, SLC8A1, CACNG7, ITGA1, LMNA, CACNG4, LOC100131098, ITGA2, ITGA3, ITGA4, CACNA2D2, TNNT2, ITGA6, ITGA5, ITGA8, ITGA7, RYR2, CACNA1F, CACNA1C, ITGA2B	1166	85	5085	2.0009585309252347	0.0011707535673832759	2.3426044367913512E-4	0.007696365493492507
KEGG_PATHWAY	hsa05412:Arrhythmogenic right ventricular cardiomyopathy (ARVC)	36	0.8191126279863481	6.370920629319101E-6	ITGA11, GJA1, ITGA10, ITGB3, CACNB4, ITGB1, TCF7L1, ITGB8, DMD, ACTB, CACNA2D1, SLC8A1, ACTN4, CACNG7, ITGA1, LMNA, LEF1, CACNG4, LOC100131098, ACTN1, ITGA2, ITGA3, ACTN3, ITGA4, CACNA2D2, CTNNA3, CTNNA2, JUP, DSG2, ITGA6, ITGA5, ITGA8, ITGA7, RYR2, CACNA1F, CACNA1C, ITGA2B	1166	76	5085	2.0657669043964972	0.0012033831876159251	2.0066450328060093E-4	0.007910988625070559
KEGG_PATHWAY	hsa05414:Dilated cardiomyopathy	40	0.9101251422070534	2.1790110404005843E-5	ADCY3, ADCY1, ADCY5, ADCY6, ITGA11, TGFB3, ITGA10, ITGB3, CACNB4, TPM2, ITGB1, TPM1, TGFB1, TPM4, TPM3, TGFB2, ITGB8, DMD, ACTB, CACNA2D1, ACTC1, SLC8A1, CACNG7, ITGA1, LMNA, CACNG4, LOC100131098, ITGA2, ITGA3, ITGA4, CACNA2D2, TNNT2, ITGA6, ITGA5, ITGA8, PLN, ITGA7, RYR2, CACNA1F, CACNA1C, ITGA2B	1166	92	5085	1.896114549929152	0.00410990685710233	5.881663532396608E-4	0.027055138868548045
KEGG_PATHWAY	hsa04810:Regulation of actin cytoskeleton	73	1.6609783845278725	1.9368528393648953E-4	FGF8, FGF9, PDGFA, INS-IGF2, FGF17, LOC729841, WASF1, PIP5K1B, IQGAP2, FGF12, IQGAP1, VCL, PAK7, GSN, LOC100129652, TIAM1, LOC729494, RRAS, PDGFC, PAK1, MSN, FGF1, ARHGEF4, EGFR, PIK3CG, ARHGEF1, ACTN4, BAIAP2, ACTN1, ACTN3, MYH9, ARPC1B, CRKL, CFL2, PDGFRA, PDGFRB, TMSB4X, ITGA2B, FGFR2, FGFR1, FGFR3, APC2, SSH1, ITGA11, ITGA10, ABI2, ITGB3, ARPC5, GNG12, ITGB1, LOC653888, MYL9, PFN1, EZR, RAC2, ARPC3, ARPC2, ITGB8, INS, PIK3R3, EGF, TMSL2, PIK3R1, FN1, ACTB, TMSL1, VAV3, ITGA1, ITGA2, MYL12B, IGF2, ITGA3, ITGA4, MYL12A, ITGA6, ITGA5, ITGA8, ITGA7, MYH14, MYLK, F2R	1166	215	5085	1.4807331764330447	0.03594801954721916	0.004565802909985872	0.24024858097916324
KEGG_PATHWAY	hsa04310:Wnt signaling pathway	51	1.1604095563139931	0.0023492697456913934	WNT3A, MMP7, WNT1, CSNK2A1, PLCB4, WNT3, FRAT1, FRAT2, FOSL1, PLCB2, PRKCA, WNT10B, VANGL1, VANGL2, LEF1, PRKCG, PRKCB, CTNNBIP1, CCND1, EP300, CCND3, CCND2, WNT5A, NKD1, NKD2, APC2, CXXC4, DAAM2, TCF7L1, RAC2, PPP3CC, NFATC4, PPP3CA, NFATC2, CAMK2A, WNT8B, NFATC1, AXIN1, FZD8, CREBBP, FZD1, FZD3, MAPK10, CSNK2A1P, FZD5, FZD7, FZD6, DKK2, DKK1, SFRP2, PRICKLE2, SFRP4	1166	151	5085	1.4729419649449638	0.3588772560552924	0.04819272393958285	2.8784658921238937
KEGG_PATHWAY	hsa03030:DNA replication	17	0.38680318543799774	0.0033605581829902697	LIG1, POLE, POLA1, MCM2, MCM3, RNASEH2A, MCM5, RPA3, POLD3, PRIM1, RPA2, DNA2, RFC3, RFC4, MCM7, POLE2, POLD1	1166	36	5085	2.059391080617496	0.47070805333413357	0.061639909197350295	4.09393732076283
