Term	Sample	Enrichment	Bonferroni
Ribosome	H9	1.884658691062632	2.1871393585115584E-14
Wnt signaling pathway	H9	1.4844708744424924	1.6030757684637464E-6
Proteasome	H9	1.6780720798957882	0.0031335070185841696
VEGF signaling pathway	H9	1.5220408163265304	0.00414280439739978
Cell cycle	H9	1.394742857142857	0.004707897218461987
TGF-beta signaling pathway	H9	1.4790992258972555	0.004721533664745592
Ubiquitin mediated proteolysis	H9	1.3634738566959632	0.008623140753237668
Neurotrophin signaling pathway	H9	1.3725148123765636	0.014162812313291306
Colorectal cancer	H9	1.457798833819242	0.01504192598704479
MAPK signaling pathway	H9	1.2437514331575328	0.016057398539184753
Pancreatic cancer	H9	1.4701530612244897	0.036953875427188754
Alzheimer's disease	H9	1.2987855264805308	0.04260195536585676
p53 signaling pathway	H9	1.4650660264105642	0.06715799010533108
Pyrimidine metabolism	H9	1.376390977443609	0.09744888865474932
Apoptosis	H9	1.383673469387755	0.13724774810773144
Epithelial cell signaling in Helicobacter pylori infection	H9	1.4345438175270109	0.15533301101614772
DNA replication	H9	1.6142857142857143	0.16708551070367839
Homologous recombination	H9	1.7048833819241984	0.1730797837186696
Amyotrophic lateral sclerosis (ALS)	H9	1.4881016557566424	0.19665870664653085
T cell receptor signaling pathway	H9	1.3260204081632654	0.21833136260888186
Ribosome	EB	1.901529918245432	3.9075658546303994E-15
Wnt signaling pathway	EB	1.492732468106079	7.5198722204739E-7
VEGF signaling pathway	EB	1.5440422936152907	0.0016130500645925583
Proteasome	EB	1.6719302951381378	0.0034782897070517738
Neurotrophin signaling pathway	EB	1.4008448228364534	0.003533655197402008
Ubiquitin mediated proteolysis	EB	1.3735777703238217	0.004891732294218132
Cell cycle	EB	1.3896380642537616	0.005580455161607434
TGF-beta signaling pathway	EB	1.449916562662142	0.013712055694842906
Colorectal cancer	EB	1.452463254516935	0.017117912822872228
MAPK signaling pathway	EB	1.2391992725644387	0.020296812824609822
Thyroid cancer	EB	1.7826842983550923	0.026358414430531663
Pancreatic cancer	EB	1.4647722651484343	0.041320630167293926
Pyrimidine metabolism	EB	1.3931208664198111	0.05254581945809622
p53 signaling pathway	EB	1.459703849006052	0.0743991993525962
Alzheimer's disease	EB	1.2813453521182983	0.08879765863959965
Basal cell carcinoma	EB	1.5039372989759323	0.10203257405088073
Oocyte meiosis	EB	1.33474435284114	0.14346382160739546
Apoptosis	EB	1.378609190727938	0.1525038197377162
Epithelial cell signaling in Helicobacter pylori infection	EB	1.4292933521517595	0.17012658533748437
B cell receptor signaling pathway	EB	1.406181374542497	0.17259080257394754
Ribosome	R3	1.871671582125435	4.374278717023117E-14
Wnt signaling pathway	R3	1.5288429789781408	3.8240949851164885E-8
TGF-beta signaling pathway	R3	1.492598856631676	0.0023237749811206854
Proteasome	R3	1.6665085511733608	0.0038144936381466765
VEGF signaling pathway	R3	1.511552492906364	0.005305558898732743
Ubiquitin mediated proteolysis	R3	1.369123525426136	0.005729921722954945
Cell cycle	R3	1.3851317389541955	0.006481883338312566
Neurotrophin signaling pathway	R3	1.3796795114871139	0.009031912146012733
Colorectal cancer	R3	1.447753199374602	0.01918335576956398
MAPK signaling pathway	R3	1.2351807909347203	0.02491354928991152
Pancreatic cancer	R3	1.4600222942845562	0.0455895444454667
Pyrimidine metabolism	R3	1.388603247071875	0.058704506753155306
p53 signaling pathway	R3	1.4549703140275163	0.08140437261098621
Alzheimer's disease	R3	1.2771901989699617	0.10191934962506677
Basal cell carcinoma	R3	1.4990603235435014	0.11026338172447392
Thyroid cancer	R3	1.7058272647219155	0.12080462734954978
Apoptosis	R3	1.3741386299148763	0.16720337749802072
Epithelial cell signaling in Helicobacter pylori infection	R3	1.4246584324852762	0.18420487708096167
DNA replication	R3	1.6031617349006893	0.18872103328708312
Homologous recombination	R3	1.693135097573687	0.1924923748329972
Ribosome	R5	1.919055672812155	4.523385020297516E-16
Wnt signaling pathway	R5	1.5288429789781408	3.8240949851164885E-8
VEGF signaling pathway	R5	1.5390352655046615	0.0018228418071106756
Neurotrophin signaling pathway	R5	1.3963021562038263	0.004117021523801334
Ubiquitin mediated proteolysis	R5	1.369123525426136	0.005729921722954945
TGF-beta signaling pathway	R5	1.4689068112883161	0.006155768274546669
Cell cycle	R5	1.3851317389541955	0.006481883338312566
MAPK signaling pathway	R5	1.2506205508214046	0.00906573385848164
Proteasome	R5	1.6226530629845883	0.014263362981677075
Colorectal cancer	R5	1.447753199374602	0.01918335576956398
Thyroid cancer	R5	1.7769034007519953	0.028086625371676943
Basal cell carcinoma	R5	1.5365368316320889	0.04078237075819391
Pancreatic cancer	R5	1.4600222942845562	0.0455895444454667
Pyrimidine metabolism	R5	1.388603247071875	0.058704506753155306
p53 signaling pathway	R5	1.4549703140275163	0.08140437261098621
