Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0005509~calcium ion binding	104	10.743801652892563	2.7178504062624103E-13	CADM3, LTBP1, NELL2, FSTL1, SYT6, ENPEP, SYT7, MMP2, CALB2, GRIN2B, ELTD1, ASPH, RET, SCUBE2, NCALD, CDHR1, SCUBE1, GRIN2A, DLL1, PTHLH, PLCE1, CAMK4, VSNL1, RYR2, FRAS1, CACNB4, PLCH2, ITGAV, DMD, HEG1, EGF, CACNA2D1, TRPC4, TESC, EFEMP1, S100A11, S100A10, ITGA3, ITGA4, CACNA2D3, PCDH19, NOTCH1, ITGA6, ATP2A3, PLCG2, ATP2A1, ITGA7, RHBDL3, SYT17, CACNA1D, CACNA1B, PXDN, CACHD1, ARSG, ARSJ, PCDHGA8, PCDHGA1, GSN, GALNTL4, SNTB1, NOS2, WBSCR17, CACNG7, CACNG4, PCDH9, PRKCG, PCDH8, PCDH7, ANXA2P1, SLIT1, SLIT2, ANXA2P3, PRKCB, SLIT3, PLA2G3, LCP1, TBC1D9, CD248, SPOCK1, S100A11P1, CDH5, CDH6, PLCL2, SMOC2, CDH9, GALNT10, FAT3, FAT4, NPTX2, PCSK9, FBN2, THBS1, THBS2, THBS4, DTNA, SLC8A1, ANXA1, NID1, SPARC, MAN1C1, ANXA3, ANXA2, CADPS, CDH13, SULF1, PLSCR3, CDH10, CDH11	697	919	12983	2.1079490369889293	2.1362112079259532E-10	2.1362112079259532E-10	4.162226119319712E-10
GOTERM_MF_FAT	GO:0043565~sequence-specific DNA binding	72	7.43801652892562	3.1196087255196125E-10	FOSL2, FOXA3, PRRX1, ZEB2, ZEB1, GLI1, FOS, PAX7, PAX8, CREB3L1, POU4F1, FOXB1, FOSL1, NR2F1, EGR1, GSC, EMX1, OTX1, BARHL1, OTX2, ZHX1, FOSB, VAX1, SIX6, JUNB, FOXD4L3, FOXG1, SIX1, FOXD4L6, HMX3, IRX3, IRX5, SOX1, IRX2, ONECUT2, IRX1, SOX6, ELK3, PRDM16, SOX9, MEIS1, ARX, FOXH1, HOXA2, HAND1, LHX2, LHX4, GBX2, LHX5, BCL6, POU3F1, ETV5, FOXD1, ETV4, DBX1, DMBX1, MAF, MAFB, NR4A1, CREB5, LMX1A, TRIM24, NKX6-1, HOXB3, DLX3, NOTCH1, DLX6, ETS1, DLX5, TRPS1, ETS2, HOXB9	697	607	12983	2.209459699016023	2.452012386466862E-7	1.2260062676183736E-7	4.777503281871986E-7
GOTERM_MF_FAT	GO:0003700~transcription factor activity	92	9.50413223140496	9.540625782735615E-8	FOSL2, SOX21, LMO1, FOXA3, ZFP42, PRRX1, DMRTA2, ZEB2, ZEB1, DMRTA1, GLI1, FOS, HEY1, PAX7, PAX8, CREB3L1, POU4F1, FOXB1, FOSL1, NR2F1, EGR1, EGR3, GSC, EMX1, OTX1, BARHL1, DMRT3, OTX2, ZHX1, RUNX1T1, FOSB, VAX1, MECOM, SIX6, JUNB, MYCN, FOXD4L3, ZSCAN10, SIX1, FOXG1, HMX3, FOXD4L6, IRX3, IRX5, SOX1, IRX2, ONECUT2, IRX1, SOX6, ELK3, ZBTB16, SOX9, SOX8, MEIS1, ARX, FOXH1, HOXA2, CIR1, HAND1, LHX2, LHX4, GBX2, LHX5, BCL6, BHLHE40, POU3F1, ETV5, FOXD1, ETV4, DBX1, DMBX1, KLF5, MAF, KLF9, MAFB, KLF11, NR4A1, RCAN1, CREB5, DACH1, LMX1A, TRIM22, NKX6-1, HOXB3, DLX3, NOTCH1, DLX6, ETS1, DLX5, TRPS1, ETS2, HOXB9	697	975	12983	1.7576220431887577	7.498651056569994E-5	2.499612832307374E-5	1.4610914184087775E-4
GOTERM_MF_FAT	GO:0019838~growth factor binding	21	2.169421487603306	6.223326707024501E-7	FGFBP3, LTBP1, NTF3, PDGFB, IL6ST, IGFBP6, COL3A1, COL2A1, CTGF, NTRK2, PDGFRA, PDGFRB, COL1A1, NGFR, IGFBP2, IL1RAPL2, THBS1, IGFBP3, CRIM1, CYR61, IGFBP5	697	105	12983	3.7253945480631274	4.890340152686745E-4	1.2228093092792047E-4	9.530627408715908E-4
GOTERM_MF_FAT	GO:0008201~heparin binding	20	2.066115702479339	1.966295700223389E-6	FGFR2, COL13A1, FGF9, CCDC80, COL25A1, FSTL1, APLP1, C4ORF31, CTGF, APOE, SERPINA5, LOC100129500, RSPO2, LIPG, PTN, HBEGF, ODZ1, THBS1, THBS2, CYR61, THBS4	697	103	12983	3.6168879107409007	0.001544316254414202	3.0905422087645906E-4	0.003011227325233623
GOTERM_MF_FAT	GO:0030528~transcription regulator activity	122	12.603305785123966	2.8546541007485153E-6	LMO1, PDLIM1, ANKRD1, TGFB1, MYOCD, OLIG3, CREB3L1, ATOH8, EMX1, BARHL1, ZHX1, VAX1, MECOM, SIX6, PPARGC1B, JUNB, CAMK4, HES5, HES4, HES3, SIX1, FOXG1, VGLL1, HMX3, SOX1, ONECUT2, ELK3, SOX6, SOX9, SOX8, MEIS1, ARX, FOXH1, HOXA2, LHX2, LHX4, LHX5, BHLHE40, DBX1, KLF5, DMBX1, BMP2, IKZF2, RFX4, KLF9, MAFB, KLF11, MAML2, NR4A1, NKX6-1, DLX3, HOXB3, NOTCH1, DLX6, ETS1, TRPS1, DLX5, ETS2, HIVEP3, HOXB9, FOSL2, HTATIP2, SOX21, FOXA3, ZFP42, PRRX1, DMRTA2, ZEB2, ZEB1, DMRTA1, GLI1, FOS, HEY1, PAX7, PAX8, POU4F1, FOXB1, FOSL1, NR2F1, EGR1, EGR3, GSC, ARID5B, OTX1, DMRT3, OTX2, RUNX1T1, TLE1, FOSB, IFI16, NRIP1, MYCN, FOXD4L3, ZSCAN10, NAB1, FOXD4L6, DCC, IRX3, IRX5, IRX2, IRX1, ZBTB16, PRDM16, CIR1, HAND1, BCL2, LOC645381, GBX2, BCL6, POU3F1, ETV5, FOXD1, ETV4, MAF, RCAN1, CREB5, TRIM24, LMX1A, DACH1, TRIM22, ID2, MAPK15, ID4	697	1512	12983	1.5029700226974259	0.002241245974978545	3.7389030655654576E-4	0.004371650599999111
GOTERM_MF_FAT	GO:0005539~glycosaminoglycan binding	23	2.37603305785124	5.073986677473852E-6	FGFR2, HAPLN1, MAMDC2, COL13A1, FGF9, CCDC80, COL25A1, FSTL1, APLP1, C4ORF31, BGN, CTGF, APOE, SERPINA5, LOC100129500, RSPO2, LIPG, PTN, HBEGF, ODZ1, THBS1, THBS2, CYR61, THBS4	697	140	12983	3.060145521623283	0.003980221483543378	5.695753940950787E-4	0.00777023898019813
GOTERM_MF_FAT	GO:0004714~transmembrane receptor protein tyrosine kinase activity	15	1.5495867768595042	9.841936621346319E-6	FGFR2, NRP2, RET, FGFRL1, AXL, DDR2, EPHA2, EPHA4, EPHA7, TEK, NTRK2, PDGFRA, ROR1, PDGFRB, CRIM1	697	67	12983	4.170217777682606	0.007705955955389032	9.665076618098345E-4	0.015071302865776737
GOTERM_MF_FAT	GO:0001871~pattern binding	23	2.37603305785124	2.4012977312219765E-5	FGFR2, HAPLN1, MAMDC2, COL13A1, FGF9, CCDC80, COL25A1, FSTL1, APLP1, C4ORF31, BGN, CTGF, APOE, SERPINA5, LOC100129500, RSPO2, LIPG, PTN, HBEGF, ODZ1, THBS1, THBS2, CYR61, THBS4	697	154	12983	2.7819504742029846	0.01869742017287912	0.0020949610310314615	0.03676818538519422
GOTERM_MF_FAT	GO:0030247~polysaccharide binding	23	2.37603305785124	2.4012977312219765E-5	FGFR2, HAPLN1, MAMDC2, COL13A1, FGF9, CCDC80, COL25A1, FSTL1, APLP1, C4ORF31, BGN, CTGF, APOE, SERPINA5, LOC100129500, RSPO2, LIPG, PTN, HBEGF, ODZ1, THBS1, THBS2, CYR61, THBS4	697	154	12983	2.7819504742029846	0.01869742017287912	0.0020949610310314615	0.03676818538519422
