Term	Sample	Enrichment	Bonferroni
Ribosome	EB	1.901529918245432	3.9075658546303994E-15
Wnt signaling pathway	EB	1.492732468106079	7.5198722204739E-7
VEGF signaling pathway	EB	1.5440422936152907	0.0016130500645925583
Proteasome	EB	1.6719302951381378	0.0034782897070517738
Neurotrophin signaling pathway	EB	1.4008448228364534	0.003533655197402008
Ubiquitin mediated proteolysis	EB	1.3735777703238217	0.004891732294218132
Cell cycle	EB	1.3896380642537616	0.005580455161607434
TGF-beta signaling pathway	EB	1.449916562662142	0.013712055694842906
Colorectal cancer	EB	1.452463254516935	0.017117912822872228
MAPK signaling pathway	EB	1.2391992725644387	0.020296812824609822
Thyroid cancer	EB	1.7826842983550923	0.026358414430531663
Pancreatic cancer	EB	1.4647722651484343	0.041320630167293926
Pyrimidine metabolism	EB	1.3931208664198111	0.05254581945809622
p53 signaling pathway	EB	1.459703849006052	0.0743991993525962
Alzheimer's disease	EB	1.2813453521182983	0.08879765863959965
Basal cell carcinoma	EB	1.5039372989759323	0.10203257405088073
Oocyte meiosis	EB	1.33474435284114	0.14346382160739546
Apoptosis	EB	1.378609190727938	0.1525038197377162
Epithelial cell signaling in Helicobacter pylori infection	EB	1.4292933521517595	0.17012658533748437
B cell receptor signaling pathway	EB	1.406181374542497	0.17259080257394754
