Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0005509~calcium ion binding	215	8.610332398878654	3.0628710209556605E-18	PDP1, S100A6, LTBP2, MASP2, LTBP4, OVCH2, SNCA, FAM20C, UTRN, SYT9, FSTL1, SYT7, EDIL3, CDH20, HMCN1, GRIN2B, GRIN2D, CDH24, PLS3, MATN2, GRIN2A, F8, SSPO, PITPNM3, RYR2, LOC645822, CACNB3, DMD, TRPC6, RASEF, PCDH10, S100A11, S100A10, TKT, CELSR2, CELSR1, PCDH17, PCDH19, PCDH18, NOTCH2, CBLC, NOTCH1, CLGN, PLA2G4B, SGSH, PCDHA7, PCDHA2, CACHD1, PCDHA3, ARSI, ARSJ, KCNIP2, MMP25, CANT1, MMP24, NOS2, PCDHB9, KCNMA1, PCDHB7, PCDHB8, PCDHB3, PCDHB4, VIL1, MMP17, CACNG4, MMP16, ANXA2P1, MMP14, SLIT1, GPR98, ANXA2P3, ANXA2P2, EFHC1, VCAN, PLA2G3, NKD1, EPDR1, PCDHB15, PCDHB12, PCDHB11, PCDHB10, DCHS1, NECAB2, NECAB1, DGKA, GALNT10, FAT3, FAT4, PCDHB16, PCSK9, THBS1, USP32, DTNA, THBS4, GALNT14, SLC8A1, MEX3B, NID2, ITPR2, CDH12, ACCN2, CDH13, PLSCR1, FBLN1, DRP2, FBLN5, JMJD7, PLSCR3, FBLN7, LRP8, LRP2, LRP4, CDH11, VLDLR, F13A1, DLK1, JAG1, ENPEP, MMP2, CALB1, CALB2, ELTD1, ASPH, PCDHGA12, PCDHGA11, SCUBE3, ACTN4, SCUBE2, NCALD, SCUBE1, PNCK, ACTN1, ACTN2, PLCE1, RASGRF2, VSNL1, RELN, MYL7, MYL9, CRB2, TTYH2, PLCH1, RUNX1, CACNA2D1, TESC, SYT11, CACNA1I, DMP1, ITGA1, ITGA2, ITGA3, MYL12B, ITGA4, FURIN, CACNA2D4, EPS15, SLC25A12, ITGA9, ITGA5, FREM1, CACNA1G, CACNA1E, SYT17, MYLK, ANO1, ANO3, ANO4, ANO9, TRPM3, NRXN2, NRXN3, PCDHGB7, PCDHGB6, PADI2, GALNTL1, CHGA, BSPRY, CAPN12, CAPN13, NUCB2, SCIN, NCAN, LCP1, GALNT3, ADAMTS13, GALNT4, CABP7, PCDHGC5, SPOCK1, CDH1, PCDHGC4, C1S, CDH2, PCDHGC3, CDH3, S100A11P1, PKD1L2, CDH5, CDH6, CDH7, NPTX1, JMJD7-PLA2G4B, CDH9, PRRG1, NPTX2, SYN3, SMOC1, DNER, TGM2, HRC, SCG2, GUCA1A, SVEP1, FBN1, ANXA1, SPARC, ANXA4, ANXA3, ANXA2, SULF2, SNED1, ANXA11, SULF1, DSC2, ALOX5, RCN3	1724	919	12983	1.7618167886510356	4.024612521535738E-15	4.024612521535738E-15	5.007555236539154E-15
GOTERM_MF_FAT	GO:0003700~transcription factor activity	190	7.609130957148579	1.6457433983930457E-8	RORB, FLI1, CSDAP1, CREB3L1, RARA, RARB, PITX2, L3MBTL4, EMX1, RCOR2, BARHL1, EMX2, PROX1, NME2, UHRF1, MSX1, NME1, JUN, NANOGP8, PRDM1, TFCP2L1, MYT1, HESX1, FOXH1, ARX, NKX1-2, LHX2, LHX4, LHX5, ZNF71, LHX6, ZNF70, PLAGL2, KLF5, KLF7, SMAD9, SMAD7, SMAD6, KLF11, ZSCAN1, GAS7, NKX6-1, DLX3, DLX2, ZFHX4, NOTCH1, FOXI2, FOXI3, CSRNP3, DLX6, ETS1, ETS2, CSRNP1, ZNF213, RBPJ, KLF4, ZNF19, ELF3, ELF4, ZEB2, ZEB1, GLI2, GLI3, HSF2, FOXB1, NR2F2, MYC, NR2F1, ZNF287, GTF2H4, FOSB, ZNF138, ZSCAN10, LOC152845, FOXC2, ZBTB16, MYCL1, ZFP36L2, BCL3, MEIS3P2, ZSCAN23, ETV5, ETV4, FOXD3, LZTR1, TBX3, TBX1, LMX1A, TRIM22, TP73, ZNF165, PKNOX2, BNC1, NR5A2, PBX3, JDP2, LMO1, HMX1, THRA, THRB, ARNT2, FOXO1, ZIC1, GATA2, CDKN2A, GATA3, ZNF446, SATB2, SIX3, MLXIPL, SIX5, CSDA, SIX6, FOXN3, TFAP2B, TFAP2A, TFAP2C, NFE2L3, HMX3, CCRN4L, SOX1, SOX2, SOX5, ELK3, SOX9, SOX8, MEIS3, HOXA2, MEIS2, TEAD4, BHLHE40, RUNX1, RUNX2, DBX1, ZNF423, SREBF1, EPAS1, TEAD3, MAFK, FOXP4, HOXB3, ATF3, SALL1, ATF7, EBF1, RFX3, HOXB9, SOX21, POU6F2, NR6A1, PRRX1, PAX6, PAX3, CBFA2T3, FOS, POU5F1, PAX7, HOMEZ, SOX15, POU4F1, FOSL1, EGR1, SOX10, NANOG, RAX, GSC, SOX14, OTX1, SOX11, OTX2, RUNX1T1, LEF1, NRK, GLIS3, IRX5, IRX1, NR3C2, NR3C1, GRAMD4, MSX2, NPAS1, TSC22D3, HAND1, POU3F2, NFATC4, POU3F1, MAF, FOXL1, CREB5, DACH1, ISL1, NME1-NME2, DBP, IRF6, HEYL, SCAND1, NFIB	1724	975	12983	1.46752929977988	2.1624834596001286E-5	1.081247575274169E-5	2.690661757842605E-5
GOTERM_MF_FAT	GO:0005178~integrin binding	26	1.0412494993992791	3.200833375783171E-8	LYN, ACTN4, ADAMTS13, LTBP4, COL3A1, DMP1, ITGA1, ACTN1, ITGA2, ACTN2, L1CAM, EDIL3, COL16A1, ITGB1, THY1, VCAM1, VWF, ADAMTS8, CTGF, LAMA5, ITGA5, FBLN5, TGFBI, THBS1, ADAMTS5, ADAM9	1724	59	12983	3.3186322702426363	4.2058066770156444E-5	1.401955213697903E-5	5.233111641800292E-5
GOTERM_MF_FAT	GO:0001871~pattern binding	47	1.8822587104525432	4.9236565146194184E-8	MAMDC2, ENPP1, ENPP2, PGF, LTBP4, SUSD2, HSD17B12, FSTL1, POSTN, APLP1, C4ORF31, APOB, CD44, CTGF, ANG, CRISPLD2, SERPINA5, RSPO3, RSPO2, PTN, PTX3, ODZ1, THBS1, FGF1, FGF2, FN1, THBS4, CYR61, BMP4, LPL, HAPLN1, COL13A1, CCDC80, CHODL, COL25A1, TINAGL1, ADAMTS8, NAV2, LAYN, LIPG, FBLN7, HBEGF, PTCH1, VCAN, LAMC2, NCAN, ADAMTS3	1724	154	12983	2.2983434778678395	6.469475541481806E-5	1.6174081250874828E-5	8.049791350162039E-5
GOTERM_MF_FAT	GO:0030247~polysaccharide binding	47	1.8822587104525432	4.9236565146194184E-8	MAMDC2, ENPP1, ENPP2, PGF, LTBP4, SUSD2, HSD17B12, FSTL1, POSTN, APLP1, C4ORF31, APOB, CD44, CTGF, ANG, CRISPLD2, SERPINA5, RSPO3, RSPO2, PTN, PTX3, ODZ1, THBS1, FGF1, FGF2, FN1, THBS4, CYR61, BMP4, LPL, HAPLN1, COL13A1, CCDC80, CHODL, COL25A1, TINAGL1, ADAMTS8, NAV2, LAYN, LIPG, FBLN7, HBEGF, PTCH1, VCAN, LAMC2, NCAN, ADAMTS3	1724	154	12983	2.2983434778678395	6.469475541481806E-5	1.6174081250874828E-5	8.049791350162039E-5
GOTERM_MF_FAT	GO:0043565~sequence-specific DNA binding	128	5.12615138165799	5.953996552808969E-8	HSPD1P6, JDP2, THRA, HMX1, THRB, LOC646316, FOXO1, HSPD1P1, RORB, HSPD1P5, HSPD1P4, GATA2, FLI1, LOC646127, GATA3, CREB3L1, RARA, RARB, PITX2, SATB2, EMX1, BARHL1, EMX2, SIX3, SIX5, SIX6, PROX1, FOXN3, MSX1, JUN, TFAP2B, NANOGP8, NFE2L3, HMX3, SOX1, SOX2, ELK3, SOX9, ARX, FOXH1, HESX1, HOXA2, MEIS3, MEIS2, OVOL2, NKX1-2, LHX2, LHX4, LHX5, LHX6, DNMT3B, DBX1, SREBF1, EPAS1, SMAD7, MAFK, FOXP4, NKX6-1, DLX3, HOXB3, DLX2, FOXI2, NOTCH1, ZFHX4, FOXI3, ATF3, ETS1, DLX6, ETS2, ATF7, HOXB9, RFX3, HSPD1, LOC283523, KLF4, LOC646359, ELF3, ELF4, POU6F2, NR6A1, PAX6, PRRX1, ZEB2, ZEB1, PAX3, GLI2, GLI3, FOS, POU5F1, HSF2, PAX7, HOMEZ, POU4F1, FOXB1, NR2F2, MYC, FOSL1, NR2F1, EGR1, SOX10, NANOG, RAX, GSC, SOX14, OTX1, OTX2, LEF1, FOSB, MCM2, FOXC2, ORC5L, KDM6B, IRX5, IRX1, NR3C2, NR3C1, PRDM16, MSX2, HAND1, POU3F2, POU3F1, MEIS3P2, ETV5, ETV4, FOXD3, TERF1, MAF, FOXL1, TBX3, TBX1, CREB5, LMX1A, ISL1, PKNOX2, DBP, PBX3, TBL1X, NR5A2	1724	607	12983	1.5880313588184254	7.823245669547063E-5	1.564698098743822E-5	9.734315542520022E-5
GOTERM_MF_FAT	GO:0030528~transcription regulator activity	270	10.812975570684822	6.473775413691655E-8	RORB, PDLIM1, FLI1, CSDAP1, CREB3L1, RARA, RARB, TWIST1, PITX2, L3MBTL4, EMX1, RCOR2, BARHL1, EMX2, MED14, TAF6L, PROX1, NME2, UHRF1, MSX1, PTRF, MED16, NME1, JUN, HES3, VGLL1, PRDM1, TGFB1I1, NANOGP8, TFCP2L1, MYT1, FOXH1, HESX1, ARX, NKX1-2, LHX2, LHX4, LHX5, ZNF71, LHX6, MAML3, DNMT3B, ZNF70, NAT14, PLAGL2, KLF5, ZNF398, AEBP2, KLF7, UTF1, BMP2, SMAD9, SMAD7, SMAD6, MAML2, KLF11, ZSCAN1, TAX1BP3, GAS7, NKX6-1, DLX3, DLX2, NOTCH2, ZFHX4, NOTCH1, FOXI2, FOXI3, CSRNP3, ETS1, DLX6, CSRNP1, ETS2, ZNF213, JAZF1, BCL6B, RBPJ, KLF4, ZNF19, ZNF488, ELF3, ELF4, EZH2, ZEB2, ZEB1, GLI2, GLI3, ZNF345, HSF2, FOXB1, NR2F2, MYB, SIK1, MYC, NR2F1, ZBTB22, BRF2, ZNF287, GTF2H4, FOSB, MXD4, ZNF138, ZSCAN10, LOC152845, FOXC2, THAP7, ZBTB16, SUFU, MYCL1, ZFP36L2, BCL11A, BCL3, TCEA1, TCEA2, ZSCAN23, MEIS3P2, ETV5, ETV4, FOXD3, LZTR1, TBX3, JARID2, TBX1, LMX1A, TRIM22, TP73, ZNF165, PKNOX2, BNC1, NR5A2, PBX3, JDP2, THRA, LMO1, HMX1, THRB, ARNT2, CBX4, FOXO1, CBX2, ANKRD1, ZIC1, TGFB1, IL31RA, GATA2, GTF2E2, CDKN2A, MYOCD, OLIG3, SMARCD3, GATA3, ZNF446, SATB2, SIX3, MLXIPL, SIX5, ACTN2, CSDA, ELL3, SIX6, FOXN3, ELL2, TFAP2B, TFAP2A, TFAP2C, NFE2L3, SMARCA2, HMX3, CCRN4L, SOX1, SOX2, SOX5, ELK3, SOX9, SOX8, MED12L, MEIS3, HOXA2, MEIS2, TEAD4, BHLHE40, SKIL, RUNX1, RUNX2, DBX1, ZNF423, SREBF1, EPAS1, RFX4, LMCD1, TEAD3, MAFK, FOXP4, HOXB3, ATF3, SALL1, DYRK1B, ATF7, EBF1, HOXB9, RFX3, RFX2, DNAJB6, HDAC6, SOX21, POU6F2, NR6A1, PAX6, PRRX1, PAWR, PAX3, CBFA2T3, SAP30, FOS, POU5F1, PAX7, HOMEZ, SOX15, POU4F1, LRRFIP1, NRG1, FOSL1, EGR1, ELP4, SOX10, NANOG, GSC, RAX, SSBP2, SOX14, SOX11, ARID5B, OTX1, OTX2, SOX12, RING1, RUNX1T1, LEF1, NPAS4, BTG1, NCOA6, MDM2, NRK, ING4, GLIS3, IRX5, IRX1, TCEA1P2, NR3C2, HCFC2, CDH1, NR3C1, PRDM16, GRAMD4, MSX2, NPAS1, TSC22D3, HAND1, NFATC4, POU3F2, POU3F1, MAF, FOXL1, NACC2, KAT2B, CREB5, DACH1, ISL1, PPP1R13L, NME1-NME2, IRF6, DBP, ID1, HEYL, ID4, ID3, TBL1X, SCAND1, NFIB	1724	1512	12983	1.3447754391779911	8.506179375677991E-5	1.4177468118159453E-5	1.058411263632486E-4
GOTERM_MF_FAT	GO:0005539~glycosaminoglycan binding	42	1.682018422106528	4.6698237248789706E-7	MAMDC2, PGF, LTBP4, HSD17B12, FSTL1, POSTN, APLP1, C4ORF31, APOB, CD44, CTGF, ANG, CRISPLD2, SERPINA5, RSPO3, RSPO2, PTN, ODZ1, THBS1, FGF1, FGF2, THBS4, CYR61, FN1, BMP4, LPL, HAPLN1, COL13A1, CCDC80, CHODL, COL25A1, ADAMTS8, NAV2, LAYN, LIPG, FBLN7, HBEGF, PTCH1, VCAN, LAMC2, NCAN, ADAMTS3	1724	140	12983	2.2592227378190253	6.134267574856578E-4	8.765544098832123E-5	7.634770213149622E-4
GOTERM_MF_FAT	GO:0008201~heparin binding	34	1.3616339607529035	6.505082263316428E-7	PGF, HSD17B12, FSTL1, POSTN, APLP1, C4ORF31, APOB, CTGF, ANG, CRISPLD2, SERPINA5, RSPO3, RSPO2, PTN, THBS1, FGF1, ODZ1, FGF2, THBS4, CYR61, FN1, BMP4, LPL, COL13A1, CCDC80, COL25A1, ADAMTS8, NAV2, LIPG, FBLN7, HBEGF, PTCH1, LAMC2, ADAMTS3	1724	103	12983	2.4858761516455297	8.544028771783063E-4	1.0684030308771852E-4	0.00106352490528705
GOTERM_MF_FAT	GO:0043167~ion binding	652	26.111333600320386	8.481870959090962E-7	PDP1, ALPPL2, LTBP2, MASP2, LTBP4, PTGS1, ZNF781, FSTL1, RORB, MAP3K6, CDH20, ZNF777, MAP3K5, HMCN1, GRIN2B, ZNF775, KCNK6, GRIN2D, CH25H, KCNK5, DDAH1, PLS3, CDH24, ADAM9, L3MBTL4, ADAMTS20, GRIN2A, F8, ZNF503, SSPO, MARK1, ADAMTS6, NME2, ADAMTS9, PITPNM3, ADAMTS8, NME1, ZNF785, RPS29P3, RYR2, LOC645822, ADAMTS3, UNC13A, ADAMTS5, ZNF516, CYP1B1, RPS29P9, ZNF76, CACNB3, ZNF230, KCNJ2, ZNF618, ADAP1, RPS29, PAPPAS, ZNF71, ZNF70, DNMT3B, ZNF398, RECQL4, RASEF, TGFBR1, SPHK1, KLF11, PCDH10, ASXL1, ZNF521, PCDH17, KCNK1, ZSCAN1, ZNF497, PCDH19, ZNF525, ZNF585B, PCDH18, CDC42BPG, ADAP2, CLGN, KCNJ6, LASP1, ZNF214, ZNF213, NLGN4X, SYTL5, PAPPA2, SYTL2, ZNF385B, ZNF385C, ZNF385A, SGSH, KCNH1, ZNF19, ZNF488, ZNF536, NEURL, CACHD1, ZNF10, ZNF346, ZNF16, ZNF345, KCNK12, MMP25, MMP24, KCNK10, ZNF343, SMAP2, P4HA2, GUCY1A3, KCNG3, SIK1, CDC7, AIFM3, BRF2, ZNF287, MICAL2, CACNG4, CPXM2, MMP17, PDE10A, MMP16, SLC3A1, ZNF689, ANXA2P1, MMP14, ZNF688, GPR98, ANXA2P3, ANXA2P2, ZSWIM5, ZNF138, NAALAD2, KSR2, ZSCAN10, LOC152845, CPXM1, CLIC6, USP20, GUCY1B3, CHSY1, VCAN, KCNH2, ZNF740, KCNH5, BCMO1, ZNF469, NKD1, EPDR1, ECEL1, PCDHB15, ZNF658, EEA1, PCDHB12, PCDHB11, PCDHB10, NECAB2, NECAB1, DGKA, ZNF30, GALNT10, SORBS2, PCDHB16, REXO2, KCNE1, C21ORF57, SLC4A7, PCSK9, TCEA1, TCEA2, ZSCAN23, RASA3, USP32, C1GALT1, ZNF267, GALNT14, SLC8A1, ZNF771, ZNF770, DGKK, MARCH9, ZFP3, DGKI, LMX1A, NID2, TRIM22, ZNF358, TRIM21, TP73, MARCH4, ZNF165, ZNF664, PLEKHF1, ACCN2, CDH12, CDH13, PLSCR1, PHF17, ACCN1, ZNF362, BNC2, ZNF862, PHF15, BNC1, PLSCR3, AOX1, KCNF1, LRP8, LRP2, NR5A2, LRP4, CDH11, USP44, KCNC1, ZNF584, LMO1, LMO3, LMO7, RPS27L, ENPEP, JAG1, DLK1, ZIC1, MOBKL2B, FDFT1, LNX1, ZIC2, LOC643778, CYGB, ASPH, ZNF446, LONRF2, NMNAT2, KCND1, ACTN4, NCALD, FBP1, PDXP, ACTN1, PDE4D, ACTN2, WEE1, ZNF439, RASGRF2, VSNL1, RELN, TNFAIP3, LRRK1, SRXN1, ZNF436, TRAF1, ME1, PAM, ELAC1, ME3, CXXC4, DOCK2, PEG10, OVOL2, ZNF428, CRB2, RNF165, ZNF697, TTYH2, TTYH1, OVOL1, FBXO43, DYRK3, MBNL3, FGD5, HCN4, ZNF423, GABRP, TEC, ADAM28, HCN2, CACNA2D1, VAV3, KCNB1, SYT11, CACNA1I, LMCD1, MYL12B, FURIN, IDH3A, CACNA2D4, FEZF1, EPS15, FEZF2, CDKN1A, RNF152, FREM1, ZIC5, ATF7, EBF1, CACNA1G, CACNA1E, SYT17, HDAC6, RAI1, KDM6A, SEC24A, FIGNL1, CYP2S1, ANO1, RHOU, TRIM2, HMOX1, LIMS3-LOC440895, ANO3, ANO4, LOXL3, SEC24D, LOXL1, ANO9, TRPM3, PADI2, LOC100131509, CHGA, BSPRY, CAPN12, CAPN13, PKM2, CA4, JMJD1C, CA2, NCAN, WIZ, LCP1, KDM6B, GALNT3, ABLIM2, ADAMTS13, ADAMTS16, TCEA1P2, GALNT4, EGLN3, NR3C2, CABP7, CDH1, PPM1B, CDH2, NR3C1, PRDM16, CDH3, S100A11P1, CDH5, PKD1L2, ZNF204P, APLP1, CDH6, CDH7, STK32A, CDH9, PRDM14, PRRG1, DNER, SMOC1, ADAT3, CYBASC3, RNF122, CHD5, SCNN1A, TYW1B, GUCA1A, RNF144B, SLC12A4, FBN1, ANXA1, CREB5, IDO1, ISL1, ANXA4, ANXA3, XPNPEP1, ANXA2, CYP4A11, SNED1, ZBED3, SCN4B, DSC2, RCN3, KDM4D, MOCOS, ATP1B1, S100A6, ADCY2, B3GALT6, ADCY8, OVCH2, FAM20C, UTRN, SNCA, SYT9, PDLIM2, PDLIM1, RNF215, EDIL3, SYT7, SLC26A10, GTF2IRD2B, STAC, PLOD2, NT5C2, RARA, RARB, MATN2, ESCO1, UHRF1, PGM1, NEK9, TGFB1I1, PRDM1, SIVA1, CHKA, CLCN2, ENPP1, ENPP2, MME, MOSC2, ASAP3, MYT1, RIMS2, PXN, SFXN5, LOC652797, PLAGL1, ACE, DMD, LHX2, LHX4, CDA, LHX5, LHX6, PLAGL2, COL18A1, KLF5, AEBP2, ZBTB47, KLF7, AGBL1, TRPC6, ANKMY2, S100A11, S100A10, CELSR2, TKT, CSRP1, CELSR1, ZBTB44, CBLC, NOTCH2, NOTCH1, ZFHX4, JAZF1, BCL6B, IDI1, PLA2G4B, CLCN4, KLF4, STEAP3, PCDHA7, KCNJ18, ZCCHC24, ZMAT5, PCDHA2, ZMAT4, PCDHA3, ZMAT3, ARSI, ARSJ, SOBP, ANPEP, ZEB2, ZEB1, KCNJ12, KCNIP2, GLI2, GLI3, CANT1, NEURL1B, NOS2, NR2F2, NT5E, NR2F1, ZFP36, PCDHB9, KCNMA1, ZBTB22, PCDHB7, ZBTB20, PCDHB8, PCDHB3, VIL1, PCDHB4, DNAJC21, CDS1, ZBTB26, SLIT1, ZDHHC14, EFHC1, PLA2G3, ADAM12, STEAP2, MAP3K12, THAP8, THAP7, LIMS2, CA14, ZBTB16, DCHS1, ZFP36L2, ZDHHC23, ZDHHC22, FAT3, FAT4, BCL11A, THBS1, LIMS3, TES, DTNA, THBS4, ZFP57, MEX3B, RBM20, ATP1A2, ITPR2, MICALL1, FBLN1, JMJD7, FBLN5, DRP2, FBLN7, VLDLR, THRA, GABRB3, PSTK, THRB, ZNF821, F13A1, MMP2, CALB1, CLYBL, PNP, CALB2, APOBEC3C, GATA2, PAPPA, GATA3, ELTD1, LOX, PHC1B, NQO2, PCDHGA12, PCDHGA11, SCUBE3, SCUBE2, SCUBE1, CA12, FA2H, PNCK, ZDBF2, TNS3, PLCE1, PYGO2, SLC38A4, GAL3ST3, MYL7, ZFAND5, SLC38A2, RRM2B, HEXDC, KCNRG, LIN28B, MYL9, RASAL1, MRS2, KCNS1, GMIP, RNFT2, PLCH1, B3GNT1, GALC, B3GNT2, RUNX1, TESC, RPS29P11, GABRA5, DMP1, ITGA1, GALT, EPHX2, ITGA2, ITGA3, ITGA4, RPS29P17, FOXP4, ZNF837, RPS29P16, SLC25A12, ITGA9, PRICKLE4, PRICKLE1, ITGA5, SALL1, ANTXR1, FPGT, MYLK, BMI1, MLPH, NR6A1, CBFA2T3, ANG, PAK3, LOC732229, GEFT, ZYX, PHC1, PHC2, HPD, EGR1, NRXN2, NRXN3, RUNX1T1, RING1, PCDHGB7, PCDHGB6, PRKCH, MCM2, GALNTL1, ARHGAP29, PRKCE, XRCC6BP1, EYA1, EYA2, ITGB1BP3, NUCB2, SCIN, MDM2, ZNF710, TNNI3K, ZADH2, PRNP, INPP1, LOC100130667, ING4, GLIS3, PCDHGC5, PCDHGC4, SPOCK1, COMT, PCDHGC3, C1S, CPZ, JMJD7-PLA2G4B, NPTX1, ZNF703, ZNF600, NPTX2, SYN3, TGM2, SLC39A8, ENO3, ZNF608, SCO2, HRC, ZNF804A, SCG2, ZC3H12C, DTX4, INSM1, SVEP1, PAPLN, SPARC, SLC17A7, NME1-NME2, SULF2, SLC6A8, SULF1, ANXA11, SP5, SP8, ALOX5, ARAP2, CYB5D1, ATP8A1, BMPR1A	1724	4241	12983	1.157756209272974	0.0011138974717922467	1.2382770123531284E-4	0.0013867107222398367
