Term	Enrichment	Bonferroni
cell adhesion	1.706313065976714	3.1448283609181517E-19
biological adhesion	1.7038789531864476	4.00949255311058E-19
cell motion	1.7961190168175936	1.164789824270981E-15
neuron projection development	2.1192189521345406	1.4375905704529888E-15
neuron development	1.935912260014425	8.104480728073349E-15
cell projection organization	1.8784661679509536	2.888746552951011E-14
cell morphogenesis involved in differentiation	2.0799949101859903	1.2786489642289144E-13
neuron differentiation	1.7680447996597493	5.626610288800293E-13
neuron projection morphogenesis	2.1362291905811754	1.1253220577600587E-12
cell morphogenesis	1.8311772315653299	6.189271317680323E-12
cell projection morphogenesis	1.9822161206008924	6.301803523456329E-11
cellular component morphogenesis	1.7522687947445426	6.52686793500834E-11
cell morphogenesis involved in neuron differentiation	2.0515112313301187	1.8849144467480983E-10
cell part morphogenesis	1.9312237225097024	3.207167864616167E-10
axonogenesis	2.085569311410359	3.6347902465649895E-10
vasculature development	1.830246929487741	1.4200719367085668E-7
blood vessel development	1.8393536974945217	1.5762159755183802E-7
ear development	2.3948253557567916	3.1234265363000446E-7
axon guidance	2.289804258200239	5.192470944326288E-7
cell-cell adhesion	1.759575904156589	6.510385475166913E-7
