Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007155~cell adhesion	273	6.21160409556314	6.205265116255232E-23	DLC1, ITGB3BP, PVR, CADM3, CADM1, NELL2, L1CAM, EDIL3, RADIL, MEGF10, CDH20, CD44, CTGF, LOC100129652, ILK, COL12A1, ADAM9, PDPN, EFNB1, F8, PTPRS, CDHR5, PTPRT, SSPN, MYH9, SSPO, CTNNA3, BCL2L11, CTNNA2, JUP, RND3, HES5, CD34, NPTN, ROR2, LAMC2, RAB13, TGFB1I1, LAMC1, ITGA2B, DCBLD2, DCBLD1, CDK5R1, ITGA11, ITGA10, SCRIB, ALCAM, SEMA5A, LGALS3BP, LAMB3, NPHP4, PVRL1, KAL1, BAI1, LAMB1, NPHP1, BMP1, CELSR3, CELSR2, CELSR1, COL16A1, MCAM, ECM2, PCDH19, PCDH18, EMILIN1, LAMA1, LAMA5, NLGN4X, CD58, FCGBP, ENG, PCDHA6, PCDHA7, PCDHA8, NRP1, PCDHA3, PCDHA5, FERMT1, CD151, CDSN, SRPX, COL11A2, COL11A1, CEACAM1, CYR61, PCDHB8, PCDHB5, PCDH11X, PCDHB3, SDK2, PCDHB4, CPXM2, CD164, GPR98, AMIGO1, AMIGO2, ARVCF, SLC26A6, CPXM1, SUSD5, SGCE, SEMA4D, ADAM12, CHL1, PARVB, PARVA, ADAM15, LIMS1, COL3A1, PCDHB15, COL2A1, PCDHB12, CLDN11, NEO1, PCDHB11, DCHS1, EZR, BCL2, PCDHB17, COL6A3, FAT2, COL6A2, PKD1, TSTA3, CD24, THBS1, THBS2, THBS4, FLRT3, FLRT2, HAPLN1, FLRT1, HAPLN4, HAPLN3, LRRN2, NLGN1, NLGN2, NLGN3, NID2, CDH12, CDH13, CDON, CDH18, FBLN7, COL29A1, CDH10, CDH11, CTNNAL1, MTSS1, LMO7, MMRN1, CXCL12, VCL, PNN, NRCAM, DAB1, ROBO1, TGFBI, ROBO2, NEGR1, DSCAM, CIB1, SPON1, EGFR, PCDHGA12, LOC642132, COL22A1, ACTN1, AJAP1, ACTN3, CERCAM, NCAM1, NCAM2, PODXL2, TESK2, EDA, COL24A1, CXADRP2, DST, C21ORF29, PKHD1, TNFRSF12A, ASTN1, NINJ1, ITGB3, ITGB1, LOC100131294, PCDHAC2, PCDHAC1, ITGB8, TEK, TTYH1, PCDHA10, SSX2IP, SCARB2, PCDHA13, FN1, ADAM23, ITGA1, EFS, ITGA2, ITGA3, ITGA4, TPBG, TMEM8B, DSG2, ITGA6, ITGA5, FREM2, ITGA8, FREM1, ITGA7, TROAP, ANTXR1, ADAM22, ABL2, AEBP1, CLSTN2, OPCML, CLDN3, CLSTN3, IGFBP7, PCDHGA9, BCAN, PCDHGA6, BCAM, PCDHGA5, CXADR, PCDH1, CD93, CNTNAP3, CNTNAP2, RHOB, ESAM, MSN, ZYX, LOXL2, KIRREL2, BOC, NRXN2, NRXN3, LEF1, NRXN1, PCDH7, PCDHGB3, CDK5, ITGB1BP1, CNTN2, CNTN1, CNTN4, CNTN3, NCAN, AOC3, ADAMTS13, LOC100133944, CD24L4, CTNND2, KITLG, CNTNAP3B, PCDHGC5, SPOCK1, CDH1, PCDHGC4, PCDHGC3, CDH3, SCARF1, CDH5, LOC100133690, SCARF2, APLP1, VCAM1, CDH8, CD9, COL9A1, RGMB, ACAN, COL8A1, SVEP1, TNXB, TNXA, COL13A1, NFASC, CD99, COL5A1, COL4A6, VWF, SNED1, NTM, MUC16	3092	700	13528	1.706313065976714	3.1448283609181517E-19	3.1448283609181517E-19	1.1825772541712406E-19
GOTERM_BP_FAT	GO:0022610~biological adhesion	273	6.21160409556314	7.911390199507854E-23	DLC1, ITGB3BP, PVR, CADM3, CADM1, NELL2, L1CAM, EDIL3, RADIL, MEGF10, CDH20, CD44, CTGF, LOC100129652, ILK, COL12A1, ADAM9, PDPN, EFNB1, F8, PTPRS, CDHR5, PTPRT, SSPN, MYH9, SSPO, CTNNA3, BCL2L11, CTNNA2, JUP, RND3, HES5, CD34, NPTN, ROR2, LAMC2, RAB13, TGFB1I1, LAMC1, ITGA2B, DCBLD2, DCBLD1, CDK5R1, ITGA11, ITGA10, SCRIB, ALCAM, SEMA5A, LGALS3BP, LAMB3, NPHP4, PVRL1, KAL1, BAI1, LAMB1, NPHP1, BMP1, CELSR3, CELSR2, CELSR1, COL16A1, MCAM, ECM2, PCDH19, PCDH18, EMILIN1, LAMA1, LAMA5, NLGN4X, CD58, FCGBP, ENG, PCDHA6, PCDHA7, PCDHA8, NRP1, PCDHA3, PCDHA5, FERMT1, CD151, CDSN, SRPX, COL11A2, COL11A1, CEACAM1, CYR61, PCDHB8, PCDHB5, PCDH11X, PCDHB3, SDK2, PCDHB4, CPXM2, CD164, GPR98, AMIGO1, AMIGO2, ARVCF, SLC26A6, CPXM1, SUSD5, SGCE, SEMA4D, ADAM12, CHL1, PARVB, PARVA, ADAM15, LIMS1, COL3A1, PCDHB15, COL2A1, PCDHB12, CLDN11, NEO1, PCDHB11, DCHS1, EZR, BCL2, PCDHB17, COL6A3, FAT2, COL6A2, PKD1, TSTA3, CD24, THBS1, THBS2, THBS4, FLRT3, FLRT2, HAPLN1, FLRT1, HAPLN4, HAPLN3, LRRN2, NLGN1, NLGN2, NLGN3, NID2, CDH12, CDH13, CDON, CDH18, FBLN7, COL29A1, CDH10, CDH11, CTNNAL1, MTSS1, LMO7, MMRN1, CXCL12, VCL, PNN, NRCAM, DAB1, ROBO1, TGFBI, ROBO2, NEGR1, DSCAM, CIB1, SPON1, EGFR, PCDHGA12, LOC642132, COL22A1, ACTN1, AJAP1, ACTN3, CERCAM, NCAM1, NCAM2, PODXL2, TESK2, EDA, COL24A1, CXADRP2, DST, C21ORF29, PKHD1, TNFRSF12A, ASTN1, NINJ1, ITGB3, ITGB1, LOC100131294, PCDHAC2, PCDHAC1, ITGB8, TEK, TTYH1, PCDHA10, SSX2IP, SCARB2, PCDHA13, FN1, ADAM23, ITGA1, EFS, ITGA2, ITGA3, ITGA4, TPBG, TMEM8B, DSG2, ITGA6, ITGA5, FREM2, ITGA8, FREM1, ITGA7, TROAP, ANTXR1, ADAM22, ABL2, AEBP1, CLSTN2, OPCML, CLDN3, CLSTN3, IGFBP7, PCDHGA9, BCAN, PCDHGA6, BCAM, PCDHGA5, CXADR, PCDH1, CD93, CNTNAP3, CNTNAP2, RHOB, ESAM, MSN, ZYX, LOXL2, KIRREL2, BOC, NRXN2, NRXN3, LEF1, NRXN1, PCDH7, PCDHGB3, CDK5, ITGB1BP1, CNTN2, CNTN1, CNTN4, CNTN3, NCAN, AOC3, ADAMTS13, LOC100133944, CD24L4, CTNND2, KITLG, CNTNAP3B, PCDHGC5, SPOCK1, CDH1, PCDHGC4, PCDHGC3, CDH3, SCARF1, CDH5, LOC100133690, SCARF2, APLP1, VCAM1, CDH8, CD9, COL9A1, RGMB, ACAN, COL8A1, SVEP1, TNXB, TNXA, COL13A1, NFASC, CD99, COL5A1, COL4A6, VWF, SNED1, NTM, MUC16	3092	701	13528	1.7038789531864476	4.00949255311058E-19	2.00474627655529E-19	1.507724476477701E-19
GOTERM_BP_FAT	GO:0006928~cell motion	195	4.436860068259386	2.2983224630445564E-19	PVR, PTGS2, GDF7, EFNA2, L1CAM, PRKG1, CTTNBP2, BDNF, APOB, GAB2, CD44, CTGF, EFNB3, EFNB1, BARHL1, EMX2, KIF5C, MYH9, CTNNA2, PLAUR, VEGFC, CD34, FOXG1, PDGFRB, EFNA5, LAMC1, DNAH11, PALM, CDK5R1, ENPP2, ERBB2, ITGA11, SCRIB, ARX, SEMA5A, ALCAM, PVRL1, MACF1, LHX2, KAL1, SBDSP1, PLAT, GAS1, EPHA4, SEMA6A, LAMA1, EPHA7, SEMA6C, PARP9, ETS1, LAMA5, ENG, PLAU, NEURL, NRP1, ACVRL1, WASF1, GLI2, ACTR3, ACTR2, SEMA3F, SEMA3C, SEMA3B, CAP1, NR2F2, CEACAM1, NR2F1, MMP14, SLIT1, SLIT2, SLIT3, FOXC1, TNFSF12-TNFSF13, ALOX12, ABI3, ABI2, DNALI1, GBX2, TEKT2, CD24, THBS1, THBS4, ATP1A4, TBX1, LMX1A, LSP1, CDH13, HBEGF, APBB2, MTSS1, IL16, PLXNA2, LOC729841, CAPZA1, TNFSF13, TNFSF12, GDNF, NR2E1, CXCL12, TGFB1, VCL, TGFB2, NRCAM, WNT1, DAB1, UNC5B, ROBO1, UNC5A, ROBO2, UNC5C, PLXNB1, LOC642132, CERCAM, ARPC1B, ASCL1, HIF1A, TNS1, CELF3, HSPB1, C1ORF187, CAV2, SOX1, TNFRSF12A, ASTN1, GIPC1, ARPC5, ITGB1, DOCK2, ARPC3, ARPC2, ADRA2A, STRBP, ARHGDIA, FN1, ARHGDIB, VAV3, PODXL, MET, ITGA1, NR4A2, ITGA2, NEUROG2, ITGA4, NTN1, FEZF1, FEZF2, ITGA6, ITGA5, TLN1, PAX6, PEX5, DSTN, SBDS, ANG, SPINT2, CXCR4, LOC729494, POU4F1, MSN, PRKCA, EGR2, FOXJ1, NRXN3, ARID5B, OTX2, NRXN1, ESR2, CDK5, VASP, SMO, ITGB1BP1, CNTN2, CNTN4, NGFR, GAP43, DNAH9, CALD1, CD24L4, HSPBL2, VIM, KITLG, SPOCK1, DNAH2, DNAH7, TPM1, LOC653888, TPM4, TPM3, LOC100133690, VCAM1, CD9, DNER, POU3F3, POU3F2, DCX, PPAP2B, SCG2, ACTB, DPYSL5, ANXA1, NFASC, COL5A1, ID1, JAK2, FEZ2	3092	475	13528	1.7961190168175936	1.164789824270981E-15	3.882632747569937E-16	4.380060829999711E-16
GOTERM_BP_FAT	GO:0031175~neuron projection development	124	2.821387940841866	2.8366033355425985E-19	GPRIN1, S100A6, GDF7, WNT3A, EFNA2, L1CAM, PRKG1, GDNF, CXCL12, NR2E1, NRCAM, BDNF, UNC5B, CD44, ROBO1, UNC5A, ILK, ROBO2, UNC5C, DSCAM, EGFR, STMN3, EFNB3, LOC642132, RXRA, EFNB1, BAIAP2, KIF5C, LIFR, CTNNA2, SLITRK2, SLITRK1, NCAM2, RASGRF1, FOXG1, EFNA5, SLITRK5, IGSF9, DST, C1ORF187, NGF, FGFR1, CDK5R1, PKHD1, ERBB2, ARX, SEMA5A, ALCAM, MACF1, PVRL1, KAL1, LHX2, DMD, BAI1, LAMB1, NR4A2, ITGA1, CELSR3, NEUROG2, CELSR2, GAS1, NTN1, ATP7A, FEZF1, FEZF2, EPHA4, SEMA6A, EPHA7, NOTCH1, SEMA6C, NEDD4, DLX5, MAP2, CACNA1F, CACNA1A, LOC100129095, NRP1, UCHL1, PAX6, GJA1, PAX2, GLI2, EFHD1, CXCR4, SEMA3B, POU4F1, PRKCA, EGR2, NRXN3, OTX2, NRXN1, SLIT1, CDK5, SLIT2, VASP, SLIT3, BBS1, AMIGO1, SMO, SLC26A6, ADM, CNTN2, CNTN4, NGFR, GAP43, RTN4RL1, CD24L4, ABI2, CDH1, SCARF1, LOC100133690, LINGO1, BCL2, GBX2, CD24, DCX, NEFL, ACTB, GNAO1, PTPRZ1, MAP1B, DPYSL5, NTNG1, NFASC, RTN4R, LMX1A, JAK2, APBB2, FEZ2	3092	256	13528	2.1192189521345406	1.4375905704529888E-15	3.593976426132472E-16	5.405897283794591E-16
GOTERM_BP_FAT	GO:0048666~neuron development	150	3.4129692832764507	1.5991477363996347E-18	GPRIN1, S100A6, GDF7, WNT3A, EFNA2, RORB, L1CAM, PRKG1, GDNF, CXCL12, NR2E1, TGFB2, NRCAM, ZFP91, BDNF, UNC5B, CD44, ROBO1, UNC5A, ILK, CEP290, ROBO2, UNC5C, DSCAM, EGFR, STMN3, EFNB3, LOC642132, RXRA, EFNB1, BAIAP2, KIF5C, LIFR, CTNNA2, SLITRK2, ASCL1, SLITRK1, NCAM2, RND1, RASGRF1, FOXG1, EFNA5, SLITRK5, IGSF9, DST, C1ORF187, NGF, FGFR1, CDK5R1, SOX1, PKHD1, ERBB2, ONECUT2, ARX, SEMA5A, LIF, ALCAM, MACF1, PVRL1, KAL1, DMD, LHX2, BAI1, OLFM3, LAMB1, NR4A2, ITGA1, CELSR3, ALMS1, EN1, NEUROG2, CELSR2, GAS1, EN2, NTN1, GNAT2, CDKN1C, SALL3, FEZF1, ATP7A, FEZF2, EPHA4, SEMA6A, EPHA7, NOTCH1, SEMA6C, NEDD4, DLX5, MAP2, CACNA1F, CACNA1A, LOC100129095, NRP1, OPCML, MYO7A, UCHL1, PAX6, GJA1, GLI2, PAX2, DFNB31, EFHD1, SLC1A3, CXCR4, DYNLL2, CNTNAP2, SEMA3B, POU4F1, PRKCA, EGR2, NRXN3, OTX2, NRXN1, CDK5, SLIT1, GPR98, SLIT2, VASP, SLIT3, AMIGO1, BBS1, SMO, SLC26A6, ADM, CNTN2, CNTN4, NGFR, CLN5, GAP43, RTN4RL1, CD24L4, ABI2, CDH1, SCARF1, LOC100133690, LINGO1, BCL2, DGKG, GBX2, CD24, DCX, NEFL, ACTB, ZFP91-CNTF, GNAO1, PTPRZ1, MAP1B, DPYSL5, NTNG1, NFASC, RTN4R, LMX1A, CNTF, JAK2, APBB2, NTM, FEZ2	3092	339	13528	1.935912260014425	8.104480728073349E-15	1.6208961456146698E-15	3.047598617779751E-15
GOTERM_BP_FAT	GO:0030030~cell projection organization	158	3.594994311717861	5.699973466754165E-18	GPRIN1, MTSS1, S100A6, GDF7, PDGFA, CROCC, WNT3A, EFNA2, L1CAM, LPAR1, PRKG1, GDNF, CXCL12, NR2E1, VCL, NRCAM, BDNF, UNC5B, CD44, ROBO1, UNC5A, ILK, CEP290, ROBO2, UNC5C, DSCAM, EGFR, STMN3, EFNB3, LOC642132, RXRA, EFNB1, BAIAP2, KIF5C, VANGL2, LIFR, MYH9, CTNNA2, SLITRK2, SLITRK1, NCAM2, RASGRF1, FOXG1, EFNA5, SLITRK5, IGSF9, DST, C1ORF187, NGF, FGFR1, CDK5R1, PKHD1, ERBB2, ONECUT2, FXYD5, ARX, SEMA5A, ALCAM, MACF1, PVRL1, RAC2, KAL1, DMD, LHX2, BAI1, LAMB1, FGD5, FGD4, KLF5, VAV3, NR4A2, ITGA1, CELSR3, ALMS1, NEUROG2, CELSR2, GAS1, NTN1, FEZF1, ATP7A, FEZF2, EPHA4, SEMA6A, EPHA7, NOTCH1, SEMA6C, ITGA6, LAMA5, NEDD4, ITGA8, DLX5, MAP2, TSGA10, CACNA1F, CACNA1A, LIMA1, NEURL, LOC100129095, NRP1, MYO7A, UCHL1, PAX6, GJA1, GLI2, PAX2, DFNB31, EFHD1, CXCR4, SEMA3B, POU4F1, PRKCA, EGR2, NRXN3, FOXJ1, OTX2, NRXN1, CDK5, SLIT1, GPR98, SLIT2, VASP, SLIT3, AMIGO1, BBS1, SMO, SLC26A6, ADM, CNTN2, CNTN4, NGFR, GAP43, DNAH9, RTN4RL1, CD24L4, ABI2, CDH1, TPM1, SCARF1, LOC100133690, LINGO1, DNAI1, BCL2, GBX2, TEKT2, CD24, DCX, NEFL, THBS4, ACTB, GNAO1, PTPRZ1, MAP1B, DPYSL5, NTNG1, NFASC, RTN4R, LMX1A, WWTR1, CDH13, CAPG, JAK2, APBB2, FEZ2	3092	368	13528	1.8784661679509536	2.888746552951011E-14	4.8145775882516845E-15	1.086280577038574E-14
GOTERM_BP_FAT	GO:0000904~cell morphogenesis involved in differentiation	116	2.639362912400455	2.5229853279970687E-17	S100A4, S100A6, NOG, GDF7, WNT3A, EFNA2, L1CAM, CXCL12, NR2E1, TGFB1, TGFB2, NRCAM, BDNF, UNC5B, ROBO1, UNC5A, ILK, ROBO2, UNC5C, DSCAM, EFNB3, EFNB1, LOC642132, RXRA, BAIAP2, KIF5C, MYH9, PROX1, CTNNA2, SLITRK2, SLITRK1, NCAM2, HIF1A, FOXG1, EFNA5, LAMC1, SLITRK5, DST, C1ORF187, CDK5R1, PKHD1, ERBB2, ARX, SEMA5A, ALCAM, PVRL1, MACF1, LHX2, KAL1, BAI1, LAMB1, FN1, ESRRB, NR4A2, CELSR3, NEUROG2, CELSR2, GAS1, NTN1, FEZF1, EPHA4, SEMA6A, FEZF2, EPHA7, NOTCH1, SEMA6C, LAMA5, DLX5, NOTCH4, CACNA1F, ANTXR1, CACNA1A, LOC100129095, NRP1, MYO7A, UCHL1, PAX6, PAX2, GLI2, SLC1A3, CXCR4, SEMA3B, POU4F1, PRKCA, EGR2, NRXN3, OTX2, LEF1, NRXN1, SLIT1, CDK5, SLIT2, VASP, SLIT3, BBS1, AMIGO1, SLC26A6, CNTN2, CNTN4, NGFR, GAP43, RTN4RL1, LOC100133690, BCL2, GBX2, DCX, NEFL, NFATC1, ACTB, PTPRZ1, TRIM28, MAP1B, NTNG1, NFASC, RTN4R, DPYSL5, LMX1A, JAK2, APBB2, FEZ2	3092	244	13528	2.0799949101859903	1.2786489642289144E-13	1.826641377469878E-14	4.808215290723413E-14
GOTERM_BP_FAT	GO:0030182~neuron differentiation	177	4.027303754266211	7.232885507928569E-17	GPRIN1, S100A6, TUBB2A, GDF7, WNT3A, EFNA2, RORB, L1CAM, JAG1, PRKG1, GDNF, CXCL12, NR2E1, TGFB2, NRCAM, WNT1, ZFP91, BDNF, UNC5B, CD44, MC1R, ROBO1, UNC5A, ILK, CEP290, ROBO2, UNC5C, DSCAM, EGFR, EMX1, STMN3, EFNB3, STMN2, BAIAP2, RXRA, LOC642132, EFNB1, MDGA2, KIF5C, EMX2, LIFR, CTNNA2, SLITRK2, ASCL1, SLITRK1, NCAM2, RND1, HES5, RASGRF1, FOXG1, EFNA5, SLITRK5, IGSF9, DST, C1ORF187, NGF, FGFR1, CDK5R1, SOX1, PKHD1, ERBB2, SOX2, ONECUT2, SOX5, ARX, ALCAM, SEMA5A, LIF, MACF1, PVRL1, KAL1, DMD, LHX2, BAI1, LHX5, OLFM3, LAMB1, C17ORF28, ITGA1, NR4A2, CELSR3, ALMS1, EN1, NEUROG2, CELSR2, GAS1, EN2, NTN1, GNAT2, CDKN1C, NOTCH3, SALL3, FEZF1, ATP7A, FEZF2, EPHA4, SEMA6A, EPHA7, NOTCH1, SEMA6C, NEDD4, DLX5, MAP2, CACNA1F, CACNA1A, LOC100129095, NRP1, OPCML, MYO7A, UCHL1, PAX6, PEX5, GJA1, GLI2, PAX2, GLI3, RTN1, DFNB31, EFHD1, GPC2, SLC1A3, CXCR4, DYNLL2, PAX7, CNTNAP2, SEMA3B, POU4F1, TUBB3, KCNMA1, PRKCA, EGR2, NRXN3, OTX2, NRXN1, CDK5, SLIT1, GPR98, SLIT2, VASP, SLIT3, AMIGO1, BBS1, SMO, SLC26A6, BTG2, ADM, CNTN2, CNTN4, NGFR, CLN5, GAP43, RTN4RL1, CD24L4, BRSK2, ABI2, CDH1, BRSK1, SCARF1, LOC100133690, LINGO1, DGKG, BCL2, GBX2, POU3F2, CD24, DCX, NEFL, ACTB, ZFP91-CNTF, DFNA5, GNAO1, CEBPB, PTPRZ1, MAP1B, DPYSL5, NTNG1, NFASC, RTN4R, LMX1A, CNTF, JAK2, ID4, APBB2, NTM, FEZ2	3092	438	13528	1.7680447996597493	5.626610288800293E-13	7.038813976123492E-14	2.1094237467877974E-13
GOTERM_BP_FAT	GO:0048812~neuron projection morphogenesis	104	2.366325369738339	2.397374517229111E-16	S100A6, GDF7, EFNA2, WNT3A, L1CAM, CXCL12, NR2E1, NRCAM, BDNF, UNC5B, UNC5A, ROBO1, ILK, ROBO2, UNC5C, DSCAM, EGFR, EFNB3, EFNB1, LOC642132, RXRA, BAIAP2, KIF5C, LIFR, CTNNA2, SLITRK2, SLITRK1, NCAM2, FOXG1, EFNA5, SLITRK5, DST, C1ORF187, CDK5R1, PKHD1, ERBB2, ARX, SEMA5A, ALCAM, PVRL1, MACF1, LHX2, DMD, KAL1, BAI1, NR4A2, ITGA1, CELSR3, NEUROG2, CELSR2, GAS1, NTN1, ATP7A, FEZF1, SEMA6A, EPHA4, FEZF2, EPHA7, NOTCH1, SEMA6C, DLX5, CACNA1F, CACNA1A, NRP1, LOC100129095, UCHL1, PAX6, GJA1, PAX2, GLI2, CXCR4, POU4F1, SEMA3B, PRKCA, EGR2, NRXN3, OTX2, NRXN1, SLIT1, CDK5, SLIT2, VASP, SLIT3, AMIGO1, SMO, SLC26A6, ADM, CNTN2, CNTN4, NGFR, GAP43, RTN4RL1, LOC100133690, BCL2, GBX2, DCX, NEFL, ACTB, PTPRZ1, MAP1B, NTNG1, NFASC, RTN4R, DPYSL5, LMX1A, JAK2, APBB2, FEZ2	3092	213	13528	2.1362291905811754	1.1253220577600587E-12	1.2501111257279263E-13	4.218847493575595E-13
GOTERM_BP_FAT	GO:0000902~cell morphogenesis	149	3.390216154721274	1.1738898665804338E-15	S100A4, S100A6, NOG, GDF7, WNT3A, EFNA2, L1CAM, CXCL12, NR2E1, TGFB1, TGFB2, NRCAM, WNT1, BDNF, UNC5B, LOC100129652, ROBO1, UNC5A, FOXF1, ILK, ROBO2, UNC5C, IDUA, DSCAM, EGFR, EFNB3, PDPN, LOC642132, RXRA, EFNB1, BAIAP2, KIF5C, VANGL2, LIFR, MYH9, PROX1, CTNNA2, SLITRK2, SLITRK1, NCAM2, HIF1A, FOXG1, EFNA5, LAMC1, SLITRK5, DST, C1ORF187, CDK5R1, SSH1, PKHD1, ERBB2, ONECUT2, SOX6, SCRIB, ARX, SEMA5A, ALCAM, DOCK2, MACF1, PVRL1, KAL1, DMD, LHX2, BAI1, LAMB1, FN1, ESRRB, NR4A2, ITGA1, CELSR3, ALMS1, NEUROG2, CELSR2, GAS1, NTN1, FEZF1, ATP7A, FEZF2, LAMA1, EPHA4, SEMA6A, EPHA7, NOTCH1, SEMA6C, LAMA5, DLX5, NOTCH4, PRICKLE2, MAP7, CACNA1F, ANTXR1, CACNA1A, LOC100129095, NRP1, MYO7A, UCHL1, PAX6, GJA1, GLI2, PAX2, SLC1A3, CXCR4, SEMA3B, POU4F1, CAP1, PRKCA, EGR2, NRXN3, FOXJ1, OTX2, LEF1, NRXN1, CDK5, SLIT1, SLIT2, VASP, SLIT3, AMIGO1, BBS1, SMO, SLC26A6, ADM, CNTN2, CNTN4, NGFR, GAP43, LIMS1, SHROOM3, RTN4RL1, BRSK2, BRSK1, LOC100133690, EZR, CENPA, BCL2, GBX2, BCL6, DCX, NEFL, NFATC1, ACTB, NOX4, PTPRZ1, TRIM28, MAP1B, DPYSL5, NTNG1, NFASC, RTN4R, LMX1A, WWTR1, JAK2, APBB2, FEZ2	3092	356	13528	1.8311772315653299	6.189271317680323E-12	6.189493362285248E-13	2.3314683517128287E-12
