Term	Sample	Enrichment	Bonferroni
Ribosome	R5	1.919055672812155	4.523385020297516E-16
Wnt signaling pathway	R5	1.5288429789781408	3.8240949851164885E-8
VEGF signaling pathway	R5	1.5390352655046615	0.0018228418071106756
Neurotrophin signaling pathway	R5	1.3963021562038263	0.004117021523801334
Ubiquitin mediated proteolysis	R5	1.369123525426136	0.005729921722954945
TGF-beta signaling pathway	R5	1.4689068112883161	0.006155768274546669
Cell cycle	R5	1.3851317389541955	0.006481883338312566
MAPK signaling pathway	R5	1.2506205508214046	0.00906573385848164
Proteasome	R5	1.6226530629845883	0.014263362981677075
Colorectal cancer	R5	1.447753199374602	0.01918335576956398
Thyroid cancer	R5	1.7769034007519953	0.028086625371676943
Basal cell carcinoma	R5	1.5365368316320889	0.04078237075819391
Pancreatic cancer	R5	1.4600222942845562	0.0455895444454667
Pyrimidine metabolism	R5	1.388603247071875	0.058704506753155306
p53 signaling pathway	R5	1.4549703140275163	0.08140437261098621
Apoptosis	R5	1.3741386299148763	0.16720337749802072
Alzheimer's disease	R5	1.2645447514554076	0.17092014129923294
Epithelial cell signaling in Helicobacter pylori infection	R5	1.4246584324852762	0.18420487708096167
DNA replication	R5	1.6031617349006893	0.18872103328708312
Homologous recombination	R5	1.693135097573687	0.1924923748329972
